Expenditure category,RelativeimportanceApr.2014,May2013,Apr.2014,May2014,May2013-May2014,Apr.2014-May2014,Feb.2014-Mar.2014,Mar.2014-Apr.2014,Apr.2014-May2014
All items,100.000,232.945,237.072,237.900,2.1,0.3,0.2,0.3,0.4
Food,13.855,236.526,241.337,242.344,2.5,0.4,0.4,0.4,0.5
Food at home,8.196,233.302,238.103,239.504,2.7,0.6,0.5,0.4,0.7
Cereals and bakery products,1.128,271.041,271.005,271.362,0.1,0.1,0.2,0.0,-0.1
"Meats, poultry, fish, and eggs",1.905,233.724,249.290,251.825,7.7,1.0,1.2,1.5,1.4
Dairy and related products(1),0.868,216.327,224.171,225.491,4.2,0.6,1.0,0.5,0.6
Fruits and vegetables,1.352,289.236,294.509,298.626,3.2,1.4,0.9,0.7,1.1
Nonalcoholic beverages and beverage materials,0.937,166.189,165.387,164.640,-0.9,-0.5,-0.2,-0.1,0.4
Other food at home,2.006,205.498,205.091,205.866,0.2,0.4,-0.1,-0.2,0.3
Food away from home(1),5.658,242.642,247.534,247.952,2.2,0.2,0.3,0.3,0.2
Energy,9.581,247.805,252.717,255.982,3.3,1.3,-0.1,0.3,0.9
Energy commodities,5.816,314.009,320.709,322.394,2.7,0.5,-2.0,1.9,0.6
Fuel oil(1),0.173,357.838,382.025,376.855,5.3,-1.4,-2.9,-3.0,-1.4
Motor fuel,5.545,311.326,316.782,318.840,2.4,0.6,-1.7,2.3,0.8
Gasoline (all types),5.458,310.352,315.335,317.434,2.3,0.7,-1.7,2.3,0.7
Energy services(2),3.765,195.172,198.856,203.781,4.4,2.5,2.6,-1.9,1.4
Electricity(2),2.832,199.557,198.654,206.715,3.6,4.1,1.1,-2.6,2.3
Utility (piped) gas service(2),0.933,179.173,196.872,192.303,7.3,-2.3,7.5,0.3,-1.7
All items less food and energy,76.564,233.462,237.509,238.029,2.0,0.2,0.2,0.2,0.3
Commodities less food and energy commodities,19.549,147.762,147.589,147.454,-0.2,-0.1,0.0,0.1,0.1
Apparel,3.463,127.952,129.629,128.963,0.8,-0.5,0.3,0.0,0.3
New vehicles,3.522,145.955,146.724,146.708,0.5,0.0,0.0,0.3,0.2
Used cars and trucks,1.671,151.099,150.496,151.441,0.2,0.6,0.4,0.5,-0.1
Medical care commodities,1.709,333.064,340.535,341.432,2.5,0.3,-0.3,0.3,0.5
Alcoholic beverages,0.996,234.425,236.530,236.894,1.1,0.2,0.3,0.1,0.0
Tobacco and smoking products(1),0.695,868.983,896.306,898.143,3.4,0.2,0.1,0.1,0.2
Services less energy services,57.015,285.479,292.257,293.208,2.7,0.3,0.3,0.3,0.3
Shelter,31.843,262.289,268.899,269.766,2.9,0.3,0.3,0.2,0.3
Rent of primary residence(2),6.919,266.559,274.100,274.710,3.1,0.2,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),23.677,269.635,276.265,276.748,2.6,0.2,0.3,0.2,0.2
Medical care services,5.835,451.648,464.238,465.014,3.0,0.2,0.3,0.3,0.3
Physicians' services(2),1.561,353.372,358.415,359.547,1.7,0.3,0.2,0.3,0.4
Hospital services(2)(4),1.809,262.060,278.496,278.568,6.3,0.0,0.8,0.5,0.3
Transportation services,5.548,279.948,285.402,288.627,3.1,1.1,0.2,0.7,1.0
Motor vehicle maintenance and repair(1),1.139,261.065,264.508,265.013,1.5,0.2,-0.1,0.1,0.2
Motor vehicle insurance,2.198,414.952,433.113,434.934,4.8,0.4,0.3,0.9,0.6
Airline fare,0.770,326.500,318.331,341.947,4.7,7.4,0.5,2.6,5.8
