Expenditure category,RelativeimportanceJul.2014,Aug.2013,Jul.2014,Aug.2014,Aug.2013-Aug.2014,Jul.2014-Aug.2014,May2014-Jun.2014,Jun.2014-Jul.2014,Jul.2014-Aug.2014
All items,100.000,233.877,238.250,237.852,1.7,-0.2,0.3,0.1,-0.2
Food,13.883,237.406,243.034,243.811,2.7,0.3,0.1,0.4,0.2
Food at home,8.215,233.999,239.820,240.723,2.9,0.4,0.0,0.4,0.2
Cereals and bakery products,1.127,271.285,271.993,272.108,0.3,0.0,-0.2,0.4,0.2
"Meats, poultry, fish, and eggs",1.930,237.494,253.767,258.416,8.8,1.8,0.2,0.3,1.5
Dairy and related products(1),0.867,216.791,225.140,226.390,4.4,0.6,-0.4,0.3,0.6
Fruits and vegetables,1.341,290.779,293.535,291.169,0.1,-0.8,-0.3,0.0,-0.8
Nonalcoholic beverages and beverage materials,0.931,165.884,165.211,165.613,-0.2,0.2,0.0,0.5,-0.2
Other food at home,2.019,204.223,207.390,207.271,1.5,-0.1,0.1,0.7,-0.2
Food away from home(1),5.668,243.811,249.210,249.801,2.5,0.2,0.2,0.3,0.2
Energy,9.729,250.011,257.907,250.951,0.4,-2.7,1.6,-0.3,-2.6
Energy commodities,5.744,313.275,318.294,305.858,-2.4,-3.9,3.0,-0.3,-3.9
Fuel oil(1),0.166,364.124,367.725,363.420,-0.2,-1.2,-1.7,-0.7,-1.2
Motor fuel,5.485,310.351,314.901,302.101,-2.7,-4.1,3.3,-0.3,-4.1
Gasoline (all types),5.400,309.355,313.514,300.640,-2.8,-4.1,3.3,-0.3,-4.1
Energy services(2),3.985,200.406,211.563,209.547,4.6,-1.0,-0.4,-0.4,-0.6
Electricity(2),3.091,208.514,217.930,217.148,4.1,-0.4,0.2,-0.3,0.1
Utility (piped) gas service(2),0.894,173.861,189.659,183.960,5.8,-3.0,-2.6,-0.4,-2.8
All items less food and energy,76.387,234.258,238.138,238.296,1.7,0.1,0.1,0.1,0.0
Commodities less food and energy commodities,19.303,147.088,146.452,146.519,-0.4,0.0,0.1,0.0,-0.1
Apparel,3.314,125.767,124.645,125.726,0.0,0.9,0.5,0.2,-0.2
New vehicles,3.489,145.316,146.086,145.873,0.4,-0.1,-0.3,0.3,0.2
Used cars and trucks,1.688,153.252,152.857,153.277,0.0,0.3,-0.4,-0.3,-0.3
Medical care commodities,1.721,335.985,344.687,344.755,2.6,0.0,0.7,0.3,-0.1
Alcoholic beverages,0.990,235.199,236.387,237.829,1.1,0.6,-0.1,-0.1,0.8
Tobacco and smoking products(1),0.698,885.588,904.614,904.961,2.2,0.0,1.0,-0.3,0.0
Services less energy services,57.085,287.239,294.068,294.284,2.5,0.1,0.1,0.1,0.0
Shelter,31.947,264.024,271.115,271.675,2.9,0.2,0.2,0.3,0.2
Rent of primary residence(2),6.939,268.505,276.248,277.048,3.2,0.3,0.3,0.3,0.2
Owners' equivalent rent of residences(2)(3),23.698,271.352,277.886,278.621,2.7,0.3,0.2,0.3,0.2
Medical care services,5.818,456.062,465.166,464.936,1.9,0.0,0.0,0.1,0.0
Physicians' services(2),1.554,354.712,358.585,359.967,1.5,0.4,-0.3,-0.2,0.4
Hospital services(2)(4),1.807,267.741,279.587,278.608,4.1,-0.4,0.2,0.4,0.0
Transportation services,5.537,279.523,286.239,283.786,1.5,-0.9,0.1,-0.7,-0.6
Motor vehicle maintenance and repair(1),1.141,262.497,266.282,266.129,1.4,-0.1,0.2,0.2,-0.1
Motor vehicle insurance,2.203,420.226,436.342,437.384,4.1,0.2,0.2,0.2,0.1
Airline fare,0.759,303.848,315.012,295.609,-2.7,-6.2,0.4,-5.9,-4.7
