Expenditure category,RelativeimportanceNov.2014,Dec.2013,Nov.2014,Dec.2014,Dec.2013-Dec.2014,Nov.2014-Dec.2014,Sep.2014-Oct.2014,Oct.2014-Nov.2014,Nov.2014-Dec.2014
All items,100.000,233.049,236.151,234.812,0.8,-0.6,0.0,-0.3,-0.4
Food,14.131,237.869,245.192,245.976,3.4,0.3,0.1,0.2,0.3
Food at home,8.348,233.802,241.576,242.457,3.7,0.4,0.1,0.1,0.3
Cereals and bakery products,1.130,269.267,270.344,270.635,0.5,0.1,0.3,-0.2,0.2
"Meats, poultry, fish, and eggs",1.998,239.102,260.457,261.055,9.2,0.2,-0.4,0.6,0.3
Dairy and related products(1),0.888,218.376,228.412,229.870,5.3,0.6,0.5,-0.2,0.6
Fruits and vegetables,1.355,288.136,293.978,297.429,3.2,1.2,0.9,-0.7,0.4
Nonalcoholic beverages and beverage materials,0.953,165.767,167.511,166.978,0.7,-0.3,0.6,0.5,-0.4
Other food at home,2.025,203.720,206.210,206.831,1.5,0.3,-0.4,0.4,0.3
Food away from home(1),5.783,245.300,251.987,252.628,3.0,0.3,0.2,0.4,0.3
Energy,8.443,234.542,221.844,209.785,-10.6,-5.4,-1.9,-3.8,-4.7
Energy commodities,4.691,289.461,257.629,230.195,-20.5,-10.6,-3.0,-6.4,-9.1
Fuel oil(1),0.150,375.607,329.681,303.844,-19.1,-7.8,-4.0,-3.5,-7.8
Motor fuel,4.444,284.445,252.897,225.165,-20.8,-11.0,-3.1,-6.6,-9.3
Gasoline (all types),4.364,282.773,251.172,223.404,-21.0,-11.1,-3.0,-6.6,-9.4
Energy services(2),3.753,192.394,197.459,199.592,3.7,1.1,-0.2,-0.3,1.0
Electricity(2),2.903,198.043,202.889,204.275,3.1,0.7,0.5,0.1,0.8
Utility (piped) gas service(2),0.850,172.898,178.558,182.908,5.8,2.4,-2.7,-1.7,1.5
All items less food and energy,77.426,235.000,239.248,238.775,1.6,-0.2,0.2,0.1,0.0
Commodities less food and energy commodities,19.473,146.277,146.439,145.127,-0.8,-0.9,0.0,-0.4,-0.3
Apparel,3.461,126.461,129.023,123.942,-2.0,-3.9,-0.2,-1.1,-1.2
New vehicles,3.529,145.766,146.481,146.524,0.5,0.0,0.2,-0.1,-0.1
Used cars and trucks,1.606,148.183,144.151,141.957,-4.2,-1.5,-0.9,-1.2,-1.2
Medical care commodities,1.751,333.801,347.616,349.750,4.8,0.6,0.0,0.6,1.0
Alcoholic beverages,1.012,235.804,239.551,238.856,1.3,-0.3,0.1,0.8,-0.3
Tobacco and smoking products(1),0.708,890.438,909.610,916.707,3.0,0.8,0.6,0.0,0.8
Services less energy services,57.953,289.001,295.911,296.021,2.4,0.0,0.3,0.2,0.1
Shelter,32.482,265.881,273.233,273.598,2.9,0.1,0.2,0.3,0.2
Rent of primary residence(2),7.099,271.688,280.123,280.874,3.4,0.3,0.2,0.3,0.2
Owners' equivalent rent of residences(2)(3),24.163,274.135,280.840,281.288,2.6,0.2,0.2,0.2,0.2
Medical care services,5.899,457.296,467.482,468.393,2.4,0.2,0.2,0.4,0.3
Physicians' services(2),1.578,356.469,361.001,361.659,1.5,0.2,0.1,0.5,0.3
Hospital services(2)(4),1.835,269.365,281.491,282.547,4.9,0.4,0.2,0.2,0.5
Transportation services,5.624,281.680,288.174,286.585,1.7,-0.6,0.8,0.3,-0.5
Motor vehicle maintenance and repair(1),1.161,263.081,268.389,268.588,2.1,0.1,0.3,0.1,0.1
Motor vehicle insurance,2.279,428.640,447.271,448.933,4.7,0.4,0.6,0.2,0.3
Airline fare,0.743,301.357,305.885,287.175,-4.7,-6.1,2.4,1.4,-5.0
