Expenditure category,RelativeimportanceMay2014,Jun.2013,May2014,Jun.2014,Jun.2013-Jun.2014,May2014-Jun.2014,Mar.2014-Apr.2014,Apr.2014-May2014,May2014-Jun.2014
All items,100.000,233.504,237.900,238.343,2.1,0.2,0.3,0.4,0.3
Food,13.864,236.792,242.344,242.326,2.3,0.0,0.4,0.5,0.1
Food at home,8.216,233.499,239.504,239.147,2.4,-0.1,0.4,0.7,0.0
Cereals and bakery products,1.126,271.716,271.362,270.860,-0.3,-0.2,0.0,-0.1,-0.2
"Meats, poultry, fish, and eggs",1.918,235.277,251.825,252.865,7.5,0.4,1.5,1.4,0.2
Dairy and related products(1),0.870,216.062,225.491,224.522,3.9,-0.4,0.5,0.6,-0.4
Fruits and vegetables,1.366,286.643,298.626,295.139,3.0,-1.2,0.7,1.1,-0.3
Nonalcoholic beverages and beverage materials,0.929,166.287,164.640,164.700,-1.0,0.0,-0.1,0.4,0.0
Other food at home,2.007,205.789,205.866,205.996,0.1,0.1,-0.2,0.3,0.1
Food away from home(1),5.648,243.016,247.952,248.445,2.2,0.2,0.3,0.2,0.2
Energy,9.671,251.921,255.982,259.858,3.2,1.5,0.3,0.9,1.6
Energy commodities,5.827,315.529,322.394,322.920,2.3,0.2,1.9,0.6,3.0
Fuel oil(1),0.170,355.966,376.855,370.317,4.0,-1.7,-3.0,-1.4,-1.7
Motor fuel,5.562,313.058,318.840,319.692,2.1,0.3,2.3,0.8,3.3
Gasoline (all types),5.475,312.212,317.434,318.334,2.0,0.3,2.3,0.7,3.3
Energy services(2),3.844,202.075,203.781,211.038,4.4,3.6,-1.9,1.4,-0.4
Electricity(2),2.936,208.737,206.715,217.529,4.2,5.2,-2.6,2.3,0.2
Utility (piped) gas service(2),0.908,179.557,192.303,188.769,5.1,-1.8,0.3,-1.7,-2.6
All items less food and energy,76.465,233.640,238.029,238.157,1.9,0.1,0.2,0.3,0.1
Commodities less food and energy commodities,19.463,147.385,147.454,147.087,-0.2,-0.2,0.1,0.1,0.1
Apparel,3.434,126.205,128.963,127.302,0.9,-1.3,0.0,0.3,0.5
New vehicles,3.509,146.076,146.708,146.067,0.0,-0.4,0.3,0.2,-0.3
Used cars and trucks,1.675,151.760,151.441,151.978,0.1,0.4,0.5,-0.1,-0.4
Medical care commodities,1.708,333.837,341.432,343.224,2.8,0.5,0.3,0.5,0.7
Alcoholic beverages,0.994,234.460,236.894,236.569,0.9,-0.1,0.1,0.0,-0.1
Tobacco and smoking products(1),0.694,869.824,898.143,907.216,4.3,1.0,0.1,0.2,1.0
Services less energy services,57.001,286.024,293.208,293.668,2.7,0.2,0.3,0.3,0.1
Shelter,31.835,262.907,269.766,270.314,2.8,0.2,0.2,0.3,0.2
Rent of primary residence(2),6.911,266.905,274.710,275.321,3.2,0.2,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),23.635,270.126,276.748,277.256,2.6,0.2,0.2,0.2,0.2
Medical care services,5.824,453.325,465.014,464.960,2.6,0.0,0.3,0.3,0.0
Physicians' services(2),1.560,355.105,359.547,359.056,1.1,-0.1,0.3,0.4,-0.3
Hospital services(2)(4),1.803,263.287,278.568,278.695,5.9,0.0,0.5,0.3,0.2
Transportation services,5.592,280.184,288.627,289.018,3.2,0.1,0.7,1.0,0.1
Motor vehicle maintenance and repair(1),1.138,261.360,265.013,265.656,1.6,0.2,0.1,0.2,0.2
Motor vehicle insurance,2.200,415.353,434.934,435.654,4.9,0.2,0.9,0.6,0.2
Airline fare,0.825,325.321,341.947,342.697,5.3,0.2,2.6,5.8,0.4
