Expenditure category,RelativeimportanceOct.2014,Nov.2013,Oct.2014,Nov.2014,Nov.2013-Nov.2014,Oct.2014-Nov.2014,Aug.2014-Sep.2014,Sep.2014-Oct.2014,Oct.2014-Nov.2014
All items,100.000,233.069,237.433,236.151,1.3,-0.5,0.1,0.0,-0.3
Food,14.053,237.641,245.166,245.192,3.2,0.0,0.3,0.1,0.2
Food at home,8.322,233.639,242.121,241.576,3.4,-0.2,0.3,0.1,0.1
Cereals and bakery products,1.128,269.750,271.313,270.344,0.2,-0.4,-0.4,0.3,-0.2
"Meats, poultry, fish, and eggs",1.983,238.761,259.840,260.457,9.1,0.2,0.7,-0.4,0.6
Dairy and related products(1),0.884,217.463,228.831,228.412,5.0,-0.2,0.5,0.5,-0.2
Fruits and vegetables,1.364,289.195,297.528,293.978,1.7,-1.2,0.1,0.9,-0.7
Nonalcoholic beverages and beverage materials,0.947,165.228,167.350,167.511,1.4,0.1,0.2,0.6,0.5
Other food at home,2.017,203.422,206.460,206.210,1.4,-0.1,0.5,-0.4,0.4
Food away from home(1),5.731,244.970,251.100,251.987,2.9,0.4,0.3,0.2,0.4
Energy,8.886,233.136,234.745,221.844,-4.8,-5.5,-0.7,-1.9,-3.8
Energy commodities,5.097,286.975,281.453,257.629,-10.2,-8.5,-1.1,-3.0,-6.4
Fuel oil(1),0.155,366.749,341.771,329.681,-10.1,-3.5,-2.1,-4.0,-3.5
Motor fuel,4.847,282.423,277.290,252.897,-10.5,-8.8,-1.1,-3.1,-6.6
Gasoline (all types),4.765,280.742,275.729,251.172,-10.5,-8.9,-1.0,-3.0,-6.6
Energy services(2),3.789,191.984,200.471,197.459,2.9,-1.5,-0.2,-0.2,-0.3
Electricity(2),2.941,197.442,206.667,202.889,2.8,-1.8,-0.7,0.5,0.1
Utility (piped) gas service(2),0.848,173.035,179.226,178.558,3.2,-0.4,1.6,-2.7,-1.7
All items less food and energy,77.061,235.243,239.413,239.248,1.7,-0.1,0.1,0.2,0.1
Commodities less food and energy commodities,19.513,147.191,147.542,146.439,-0.5,-0.7,0.0,0.0,-0.4
Apparel,3.520,129.435,131.961,129.023,-0.3,-2.2,0.0,-0.2,-1.1
New vehicles,3.506,145.643,146.306,146.481,0.6,0.1,0.0,0.2,-0.1
Used cars and trucks,1.639,148.740,147.893,144.151,-3.1,-2.5,-0.1,-0.9,-1.2
Medical care commodities,1.735,337.006,346.324,347.616,3.1,0.4,0.5,0.0,0.6
Alcoholic beverages,1.000,235.470,238.045,239.551,1.7,0.6,0.1,0.1,0.8
Tobacco and smoking products(1),0.705,885.518,909.872,909.610,2.7,0.0,-0.1,0.6,0.0
Services less energy services,57.547,288.792,295.434,295.911,2.5,0.2,0.2,0.3,0.2
Shelter,32.255,265.310,272.788,273.233,3.0,0.2,0.3,0.2,0.3
Rent of primary residence(2),7.032,270.698,278.985,280.123,3.5,0.4,0.3,0.2,0.3
Owners' equivalent rent of residences(2)(3),23.964,273.437,280.046,280.840,2.7,0.3,0.2,0.2,0.2
Medical care services,5.849,456.855,466.038,467.482,2.3,0.3,0.1,0.2,0.4
Physicians' services(2),1.565,355.555,359.855,361.001,1.5,0.3,0.0,0.1,0.5
Hospital services(2)(4),1.819,268.978,280.496,281.491,4.7,0.4,0.3,0.2,0.2
Transportation services,5.565,283.116,286.691,288.174,1.8,0.5,0.1,0.8,0.3
Motor vehicle maintenance and repair(1),1.153,262.934,268.094,268.389,2.1,0.1,0.4,0.3,0.1
Motor vehicle insurance,2.252,426.640,444.443,447.271,4.8,0.6,0.4,0.6,0.2
Airline fare,0.728,318.197,301.466,305.885,-3.9,1.5,-0.5,2.4,1.4
