Expenditure category,RelativeimportanceDec.2013,Jan.2013,Dec.2013,Jan.2014,Jan.2013-Jan.2014,Dec.2013-Jan.2014,Oct.2013-Nov.2013,Nov.2013-Dec.2013,Dec.2013-Jan.2014
All items,100.000,230.280,233.049,233.916,1.6,0.4,0.1,0.2,0.1
Food,13.891,236.341,237.869,238.872,1.1,0.4,0.1,0.0,0.1
Food at home,8.187,234.240,233.802,235.356,0.5,0.7,0.0,0.0,0.1
Cereals and bakery products,1.141,269.078,269.267,271.151,0.8,0.7,0.0,-0.1,0.5
"Meats, poultry, fish, and eggs",1.859,232.461,239.102,240.158,3.3,0.4,-0.1,0.2,0.4
Dairy and related products(1),0.860,220.319,218.376,219.362,-0.4,0.5,0.4,0.4,0.5
Fruits and vegetables,1.346,293.714,288.136,292.095,-0.6,1.4,-0.4,-1.1,-0.3
Nonalcoholic beverages and beverage materials,0.955,169.593,165.767,167.039,-1.5,0.8,-0.3,0.2,-0.2
Other food at home,2.027,205.387,203.720,204.575,-0.4,0.4,0.4,0.2,0.0
Food away from home(1),5.704,240.713,245.300,245.481,2.0,0.1,0.3,0.1,0.1
Energy,9.046,234.624,234.542,239.551,2.1,2.1,-0.4,1.6,0.6
Energy commodities,5.340,292.609,289.461,294.165,0.5,1.6,-0.8,2.6,-0.5
Fuel oil(1),0.173,381.889,375.607,389.522,2.0,3.7,0.4,2.4,3.7
Motor fuel,5.065,288.108,284.445,288.268,0.1,1.3,-0.9,2.5,-0.9
Gasoline (all types),4.979,286.417,282.773,286.607,0.1,1.4,-0.8,2.6,-1.0
Energy services(2),3.705,189.444,192.394,197.919,4.5,2.9,0.0,0.1,2.2
Electricity(2),2.872,194.525,198.043,203.026,4.4,2.5,0.5,0.4,1.8
Utility (piped) gas service(2),0.834,171.597,172.898,179.982,4.9,4.1,-1.5,-1.0,3.6
All items less food and energy,77.063,231.612,235.000,235.367,1.6,0.2,0.2,0.1,0.1
Commodities less food and energy commodities,19.710,146.492,146.277,146.025,-0.3,-0.2,0.0,0.0,-0.1
Apparel,3.437,124.687,126.461,124.275,-0.3,-1.7,-0.1,0.4,-0.3
New vehicles,3.559,145.871,145.766,145.880,0.0,0.1,-0.1,0.0,-0.3
Used cars and trucks,1.673,145.260,148.183,147.386,1.5,-0.5,0.3,0.0,-0.5
Medical care commodities,1.704,334.046,333.801,336.756,0.8,0.9,0.1,-0.6,0.5
Alcoholic beverages,1.010,232.558,235.804,236.340,1.6,0.2,0.2,0.2,-0.1
Tobacco and smoking products(1),0.703,867.646,890.438,896.539,3.3,0.7,-0.2,0.6,0.7
Services less energy services,57.353,283.284,289.001,289.779,2.3,0.3,0.3,0.1,0.2
Shelter,32.029,260.039,265.881,266.754,2.6,0.3,0.3,0.2,0.3
Rent of primary residence(2),6.977,264.700,271.688,272.317,2.9,0.2,0.2,0.3,0.2
Owners' equivalent rent of residences(2)(3),23.900,267.995,274.135,274.740,2.5,0.2,0.3,0.3,0.2
Medical care services,5.847,448.226,457.296,459.618,2.5,0.5,0.0,0.2,0.2
Physicians' services(2),1.579,351.250,356.469,356.796,1.6,0.1,0.2,0.3,-0.2
Hospital services(2)(4),1.780,260.035,269.365,272.485,4.8,1.2,-0.3,0.3,0.9
Transportation services,5.571,277.406,281.680,280.687,1.2,-0.4,0.3,-0.4,0.1
Motor vehicle maintenance and repair(1),1.153,259.752,263.081,263.718,1.5,0.2,-0.1,0.1,0.2
Motor vehicle insurance,2.213,415.510,428.640,429.585,3.4,0.2,0.1,0.4,0.5
Airline fare,0.742,306.603,301.357,291.836,-4.8,-3.2,2.5,-4.2,-2.2
