Expenditure category,RelativeimportanceFeb.2014,Mar.2013,Feb.2014,Mar.2014,Mar.2013-Mar.2014,Feb.2014-Mar.2014,Dec.2013-Jan.2014,Jan.2014-Feb.2014,Feb.2014-Mar.2014
All items,100.000,232.773,234.781,236.293,1.5,0.6,0.1,0.1,0.2
Food,13.890,236.332,239.608,240.398,1.7,0.3,0.1,0.4,0.4
Food at home,8.207,233.777,236.114,236.973,1.4,0.4,0.1,0.5,0.5
Cereals and bakery products,1.138,269.504,270.583,270.660,0.4,0.0,0.5,-0.4,0.2
"Meats, poultry, fish, and eggs",1.870,233.294,242.386,245.301,5.1,1.2,0.4,1.2,1.2
Dairy and related products(1),0.863,218.123,220.861,223.063,2.3,1.0,0.5,0.7,1.0
Fruits and vegetables,1.356,291.284,292.540,292.944,0.6,0.1,-0.3,1.1,0.9
Nonalcoholic beverages and beverage materials,0.949,168.736,165.980,165.703,-1.8,-0.2,-0.2,-0.3,-0.2
Other food at home,2.030,205.264,205.554,205.366,0.0,-0.1,0.0,0.2,-0.1
Food away from home(1),5.682,241.409,246.187,246.878,2.3,0.3,0.1,0.3,0.3
Energy,9.266,249.565,242.041,250.543,0.4,3.5,0.6,-0.5,-0.1
Energy commodities,5.465,324.016,298.403,311.216,-4.0,4.3,-0.5,-1.3,-2.0
Fuel oil(1),0.185,385.552,405.344,393.705,2.1,-2.9,3.7,4.1,-2.9
Motor fuel,5.153,320.739,291.512,306.059,-4.6,5.0,-0.9,-1.7,-1.7
Gasoline (all types),5.065,319.523,289.814,304.464,-4.7,5.1,-1.0,-1.7,-1.7
Energy services(2),3.801,188.856,198.846,203.597,7.8,2.4,2.2,0.7,2.6
Electricity(2),2.911,193.856,202.224,204.131,5.3,0.9,1.8,-0.2,1.1
Utility (piped) gas service(2),0.891,171.248,186.095,199.340,16.4,7.1,3.6,3.6,7.5
All items less food and energy,76.845,233.052,236.075,236.913,1.7,0.4,0.1,0.1,0.2
Commodities less food and energy commodities,19.596,147.717,146.509,147.226,-0.3,0.5,-0.1,-0.1,0.0
Apparel,3.386,128.279,125.493,128.888,0.5,2.7,-0.3,-0.3,0.3
New vehicles,3.549,145.989,146.421,146.348,0.2,0.0,-0.3,0.1,0.0
Used cars and trucks,1.655,148.753,147.616,148.920,0.1,0.9,-0.5,-0.1,0.4
Medical care commodities,1.723,335.198,340.067,339.567,1.3,-0.1,0.5,0.6,-0.3
Alcoholic beverages,1.004,234.015,236.314,236.512,1.1,0.1,-0.1,-0.3,0.3
Tobacco and smoking products(1),0.701,863.888,895.290,895.841,3.7,0.1,0.7,-0.1,0.1
Services less energy services,57.249,284.834,290.621,291.518,2.3,0.3,0.2,0.2,0.3
Shelter,31.977,261.330,267.418,268.431,2.7,0.4,0.3,0.2,0.3
Rent of primary residence(2),6.952,265.821,272.733,273.486,2.9,0.3,0.2,0.2,0.3
Owners' equivalent rent of residences(2)(3),23.814,268.802,275.185,275.817,2.6,0.2,0.2,0.2,0.3
Medical care services,5.872,452.596,462.648,463.678,2.4,0.2,0.2,0.2,0.3
Physicians' services(2),1.570,352.575,356.939,357.465,1.4,0.1,-0.2,-0.1,0.2
Hospital services(2)(4),1.814,264.586,276.555,277.974,5.1,0.5,0.9,0.6,0.8
Transportation services,5.531,278.874,281.759,282.663,1.4,0.3,0.1,0.3,0.2
Motor vehicle maintenance and repair(1),1.151,260.156,264.523,264.146,1.5,-0.1,0.2,0.3,-0.1
Motor vehicle insurance,2.205,415.381,430.310,430.163,3.6,0.0,0.5,0.3,0.3
Airline fare,0.727,315.303,297.679,302.464,-4.1,1.6,-2.2,1.3,0.5
