Expenditure category,RelativeimportanceJan.2014,Feb.2013,Jan.2014,Feb.2014,Feb.2013-Feb.2014,Jan.2014-Feb.2014,Nov.2013-Dec.2013,Dec.2013-Jan.2014,Jan.2014-Feb.2014
All items,100.000,232.166,233.916,234.781,1.1,0.4,0.2,0.1,0.1
Food,13.898,236.301,238.872,239.608,1.4,0.3,0.0,0.1,0.4
Food at home,8.211,234.033,235.356,236.114,0.9,0.3,0.0,0.1,0.5
Cereals and bakery products,1.144,269.304,271.151,270.583,0.5,-0.2,-0.1,0.5,-0.4
"Meats, poultry, fish, and eggs",1.860,233.041,240.158,242.386,4.0,0.9,0.2,0.4,1.2
Dairy and related products(1),0.861,219.526,219.362,220.861,0.6,0.7,0.4,0.5,0.7
Fruits and vegetables,1.359,293.742,292.095,292.540,-0.4,0.2,-1.1,-0.3,1.1
Nonalcoholic beverages and beverage materials,0.959,168.977,167.039,165.980,-1.8,-0.6,0.2,-0.2,-0.3
Other food at home,2.028,204.763,204.575,205.554,0.4,0.5,0.2,0.0,0.2
Food away from home(1),5.687,240.930,245.481,246.187,2.2,0.3,0.1,0.1,0.3
Energy,9.204,248.146,239.551,242.041,-2.5,1.0,1.6,0.6,-0.5
Energy commodities,5.407,320.258,294.165,298.403,-6.8,1.4,2.6,-0.5,-1.3
Fuel oil(1),0.179,393.782,389.522,405.344,2.9,4.1,2.4,3.7,4.1
Motor fuel,5.114,316.580,288.268,291.512,-7.9,1.1,2.5,-0.9,-1.7
Gasoline (all types),5.028,315.243,286.607,289.814,-8.1,1.1,2.6,-1.0,-1.7
Energy services(2),3.797,189.679,197.919,198.846,4.8,0.5,0.1,2.2,0.7
Electricity(2),2.933,194.739,203.026,202.224,3.8,-0.4,0.4,1.8,-0.2
Utility (piped) gas service(2),0.865,171.888,179.982,186.095,8.3,3.4,-1.0,3.6,3.6
All items less food and energy,76.897,232.432,235.367,236.075,1.6,0.3,0.1,0.1,0.1
Commodities less food and energy commodities,19.603,147.093,146.025,146.509,-0.4,0.3,0.0,-0.1,-0.1
Apparel,3.365,126.303,124.275,125.493,-0.6,1.0,0.4,-0.3,-0.3
New vehicles,3.549,145.925,145.880,146.421,0.3,0.4,0.0,-0.3,0.1
Used cars and trucks,1.658,146.718,147.386,147.616,0.6,0.2,0.0,-0.5,-0.1
Medical care commodities,1.713,334.405,336.756,340.067,1.7,1.0,-0.6,0.5,0.6
Alcoholic beverages,1.008,233.898,236.340,236.314,1.0,0.0,0.2,-0.1,-0.3
Tobacco and smoking products(1),0.705,865.607,896.539,895.290,3.4,-0.1,0.6,0.7,-0.1
Services less energy services,57.294,284.231,289.779,290.621,2.2,0.3,0.1,0.2,0.2
Shelter,32.015,260.720,266.754,267.418,2.6,0.2,0.2,0.3,0.2
Rent of primary residence(2),6.967,265.256,272.317,272.733,2.8,0.2,0.3,0.2,0.2
Owners' equivalent rent of residences(2)(3),23.863,268.448,274.740,275.185,2.5,0.2,0.3,0.2,0.2
Medical care services,5.855,451.625,459.618,462.648,2.4,0.7,0.2,0.2,0.2
Physicians' services(2),1.575,352.266,356.796,356.939,1.3,0.0,0.3,-0.2,-0.1
Hospital services(2)(4),1.793,264.071,272.485,276.555,4.7,1.5,0.3,0.9,0.6
Transportation services,5.530,277.960,280.687,281.759,1.4,0.4,-0.4,0.1,0.3
Motor vehicle maintenance and repair(1),1.151,260.234,263.718,264.523,1.6,0.3,0.1,0.2,0.3
Motor vehicle insurance,2.209,416.147,429.585,430.310,3.4,0.2,0.4,0.5,0.3
Airline fare,0.716,309.283,291.836,297.679,-3.8,2.0,-4.2,-2.2,1.3
