Expenditure category,RelativeimportanceAug.2014,Sep.2013,Aug.2014,Sep.2014,Sep.2013-Sep.2014,Aug.2014-Sep.2014,Jun.2014-Jul.2014,Jul.2014-Aug.2014,Aug.2014-Sep.2014
All items,100.000,234.149,237.852,238.031,1.7,0.1,0.1,-0.2,0.1
Food,13.951,237.522,243.811,244.630,3.0,0.3,0.4,0.2,0.3
Food at home,8.259,234.045,240.723,241.578,3.2,0.4,0.4,0.2,0.3
Cereals and bakery products,1.129,270.894,272.108,270.660,-0.1,-0.5,0.4,0.2,-0.4
"Meats, poultry, fish, and eggs",1.968,238.370,258.416,260.805,9.4,0.9,0.3,1.5,0.7
Dairy and related products(1),0.874,217.007,226.390,227.604,4.9,0.5,0.3,0.6,0.5
Fruits and vegetables,1.332,290.580,291.169,293.282,0.9,0.7,0.0,-0.8,0.1
Nonalcoholic beverages and beverage materials,0.935,165.755,165.613,166.080,0.2,0.3,0.5,-0.2,0.2
Other food at home,2.021,203.941,207.271,207.287,1.6,0.0,0.7,-0.2,0.5
Food away from home(1),5.691,244.036,249.801,250.570,2.7,0.3,0.3,0.2,0.3
Energy,9.483,248.513,250.951,247.077,-0.6,-1.5,-0.3,-2.6,-0.7
Energy commodities,5.529,309.888,305.858,299.558,-3.3,-2.1,-0.3,-3.9,-1.1
Fuel oil(1),0.164,367.519,363.420,355.892,-3.2,-2.1,-0.7,-1.2,-2.1
Motor fuel,5.271,306.547,302.101,295.716,-3.5,-2.1,-0.3,-4.1,-1.1
Gasoline (all types),5.187,305.299,300.640,294.222,-3.6,-2.1,-0.3,-4.1,-1.0
Energy services(2),3.954,200.700,209.547,207.824,3.5,-0.8,-0.4,-0.6,-0.2
Electricity(2),3.085,209.106,217.148,215.054,2.8,-1.0,-0.3,0.1,-0.7
Utility (piped) gas service(2),0.869,173.315,183.960,183.376,5.8,-0.3,-0.4,-2.8,1.6
All items less food and energy,76.566,234.782,238.296,238.841,1.7,0.2,0.1,0.0,0.1
Commodities less food and energy commodities,19.344,147.659,146.519,147.268,-0.3,0.5,0.0,-0.1,0.0
Apparel,3.348,129.701,125.726,130.324,0.5,3.7,0.2,-0.2,0.0
New vehicles,3.490,145.457,145.873,145.880,0.3,0.0,0.3,0.2,0.0
Used cars and trucks,1.696,151.750,153.277,151.153,-0.4,-1.4,-0.3,-0.3,-0.1
Medical care commodities,1.724,336.527,344.755,346.347,2.9,0.5,0.3,-0.1,0.5
Alcoholic beverages,0.998,234.999,237.829,237.828,1.2,0.0,-0.1,0.8,0.1
Tobacco and smoking products(1),0.700,886.493,904.961,904.487,2.0,-0.1,-0.3,0.0,-0.1
Services less energy services,57.222,287.720,294.284,294.676,2.4,0.1,0.1,0.0,0.2
Shelter,32.066,264.344,271.675,272.165,3.0,0.2,0.3,0.2,0.3
Rent of primary residence(2),6.971,269.137,277.048,277.998,3.3,0.3,0.3,0.2,0.3
Owners' equivalent rent of residences(2)(3),23.800,271.915,278.621,279.292,2.7,0.2,0.3,0.2,0.2
Medical care services,5.825,457.458,464.936,465.403,1.7,0.1,0.1,0.0,0.1
Physicians' services(2),1.563,354.967,359.967,359.879,1.4,0.0,-0.2,0.4,0.0
Hospital services(2)(4),1.803,269.691,278.608,279.540,3.7,0.3,0.4,0.0,0.3
Transportation services,5.499,279.491,283.786,283.425,1.4,-0.1,-0.7,-0.6,0.1
Motor vehicle maintenance and repair(1),1.143,262.960,266.129,267.256,1.6,0.4,0.2,-0.1,0.4
Motor vehicle insurance,2.212,420.321,437.384,438.496,4.3,0.3,0.2,0.1,0.4
Airline fare,0.713,301.476,295.609,292.397,-3.0,-1.1,-5.9,-4.7,-0.5
