Expenditure category,RelativeimportanceSep.2014,Oct.2013,Sep.2014,Oct.2014,Oct.2013-Oct.2014,Sep.2014-Oct.2014,Jul.2014-Aug.2014,Aug.2014-Sep.2014,Sep.2014-Oct.2014
All items,100.000,233.546,238.031,237.433,1.7,-0.3,-0.2,0.1,0.0
Food,13.987,237.871,244.630,245.166,3.1,0.2,0.2,0.3,0.1
Food at home,8.282,234.418,241.578,242.121,3.3,0.2,0.2,0.3,0.1
Cereals and bakery products,1.122,270.303,270.660,271.313,0.4,0.2,0.2,-0.4,0.3
"Meats, poultry, fish, and eggs",1.985,239.834,260.805,259.840,8.3,-0.4,1.5,0.7,-0.4
Dairy and related products(1),0.878,216.596,227.604,228.831,5.6,0.5,0.6,0.5,0.5
Fruits and vegetables,1.341,291.767,293.282,297.528,2.0,1.4,-0.8,0.1,0.9
Nonalcoholic beverages and beverage materials,0.937,166.361,166.080,167.350,0.6,0.8,-0.2,0.2,0.6
Other food at home,2.019,203.685,207.287,206.460,1.4,-0.4,-0.2,0.5,-0.4
Food away from home(1),5.705,244.350,250.570,251.100,2.8,0.2,0.2,0.3,0.2
Energy,9.330,238.524,247.077,234.745,-1.6,-5.0,-2.6,-0.7,-1.9
Energy commodities,5.411,295.802,299.558,281.453,-4.9,-6.0,-3.9,-1.1,-3.0
Fuel oil(1),0.161,365.450,355.892,341.771,-6.5,-4.0,-1.2,-2.1,-4.0
Motor fuel,5.156,291.812,295.716,277.290,-5.0,-6.2,-4.1,-1.1,-3.1
Gasoline (all types),5.072,290.306,294.222,275.729,-5.0,-6.3,-4.1,-1.0,-3.0
Energy services(2),3.919,194.248,207.824,200.471,3.2,-3.5,-0.6,-0.2,-0.2
Electricity(2),3.053,200.392,215.054,206.667,3.1,-3.9,0.1,-0.7,0.5
Utility (piped) gas service(2),0.866,173.329,183.376,179.226,3.4,-2.3,-2.8,1.6,-2.7
All items less food and energy,76.683,235.162,238.841,239.413,1.8,0.2,0.0,0.1,0.2
Commodities less food and energy commodities,19.428,147.814,147.268,147.542,-0.2,0.2,-0.1,0.0,0.0
Apparel,3.468,131.070,130.324,131.961,0.7,1.3,-0.2,0.0,-0.2
New vehicles,3.487,145.488,145.880,146.306,0.6,0.3,0.2,0.0,0.2
Used cars and trucks,1.671,150.413,151.153,147.893,-1.7,-2.2,-0.3,-0.1,-0.9
Medical care commodities,1.731,337.478,346.347,346.324,2.6,0.0,-0.1,0.5,0.0
Alcoholic beverages,0.997,235.348,237.828,238.045,1.1,0.1,0.8,0.1,0.1
Tobacco and smoking products(1),0.699,887.056,904.487,909.872,2.6,0.6,0.0,-0.1,0.6
Services less energy services,57.255,288.243,294.676,295.434,2.5,0.3,0.0,0.2,0.3
Shelter,32.100,264.719,272.165,272.788,3.0,0.2,0.2,0.3,0.2
Rent of primary residence(2),6.990,269.960,277.998,278.985,3.3,0.4,0.2,0.3,0.2
Owners' equivalent rent of residences(2)(3),23.839,272.623,279.292,280.046,2.7,0.3,0.2,0.2,0.2
Medical care services,5.826,457.135,465.403,466.038,1.9,0.1,0.0,0.1,0.2
Physicians' services(2),1.561,355.354,359.879,359.855,1.3,0.0,0.4,0.0,0.1
Hospital services(2)(4),1.808,269.270,279.540,280.496,4.2,0.3,0.0,0.3,0.2
Transportation services,5.488,281.697,283.425,286.691,1.8,1.2,-0.6,0.1,0.8
Motor vehicle maintenance and repair(1),1.147,263.085,267.256,268.094,1.9,0.3,-0.1,0.4,0.3
Motor vehicle insurance,2.216,424.601,438.496,444.443,4.7,1.4,0.1,0.4,0.6
Airline fare,0.705,310.012,292.397,301.466,-2.8,3.1,-4.7,-0.5,2.4
