Expenditure category,RelativeimportanceSep.2023,Oct.2022,Sep.2023,Oct.2023,Oct.2022-Oct.2023,Sep.2023-Oct.2023,Jul.2023-Aug.2023,Aug.2023-Sep.2023,Sep.2023-Oct.2023
All items,100.000,298.012,307.789,307.671,3.2,0.0,0.6,0.4,0.0
Food,13.372,315.323,324.704,325.731,3.3,0.3,0.2,0.2,0.3
Food at home,8.552,298.401,303.925,304.788,2.1,0.3,0.2,0.1,0.3
Cereals and bakery products,1.157,341.492,355.576,355.752,4.2,0.0,0.5,-0.4,0.2
"Meats, poultry, fish, and eggs",1.780,321.271,320.140,322.536,0.4,0.7,0.8,0.5,0.7
Dairy and related products,0.780,269.355,268.377,268.326,-0.4,0.0,-0.4,0.1,0.3
Fruits and vegetables,1.466,348.021,351.020,351.952,1.1,0.3,-0.2,0.0,0.0
Nonalcoholic beverages and beverage materials,1.033,210.121,216.736,216.952,3.3,0.1,-0.2,0.0,-0.1
Other food at home,2.337,262.814,271.561,272.215,3.6,0.2,0.2,0.3,0.3
Food away from home(1),4.820,340.532,357.488,358.824,5.4,0.4,0.3,0.4,0.4
Energy,7.185,300.359,296.004,286.754,-4.5,-3.1,5.6,1.5,-2.5
Energy commodities,3.915,351.065,346.212,329.191,-6.2,-4.9,10.5,2.3,-4.9
Fuel oil(1),0.136,543.915,431.201,427.572,-21.4,-0.8,9.1,8.5,-0.8
Motor fuel,3.722,341.954,340.600,322.975,-5.6,-5.2,10.7,2.2,-4.9
Gasoline (all types),3.628,339.017,338.893,320.999,-5.3,-5.3,10.6,2.1,-5.0
Energy services,3.270,264.188,260.791,258.236,-2.3,-1.0,0.2,0.6,0.5
Electricity,2.562,262.100,272.401,268.342,2.4,-1.5,0.2,1.3,0.3
Utility (piped) gas service,0.709,264.774,221.045,222.955,-15.8,0.9,0.1,-1.9,1.2
All items less food and energy,79.443,299.315,310.817,311.380,4.0,0.2,0.3,0.3,0.2
Commodities less food and energy commodities,20.954,166.601,167.141,166.759,0.1,-0.2,-0.1,-0.4,-0.1
Apparel,2.555,129.414,133.157,132.786,2.6,-0.3,0.2,-0.8,0.1
New vehicles,4.237,176.157,179.750,179.446,1.9,-0.2,0.3,0.3,-0.1
Used cars and trucks,2.556,199.176,187.587,184.961,-7.1,-1.4,-1.2,-2.5,-0.8
Medical care commodities(1),1.458,390.614,407.250,408.965,4.7,0.4,0.6,-0.3,0.4
Alcoholic beverages,0.834,278.009,287.496,288.303,3.7,0.3,0.0,0.8,0.2
Tobacco and smoking products(1),0.498,"1,371.864","1,443.712","1,471.019",7.2,1.9,0.6,0.2,1.9
Services less energy services,58.489,381.580,401.234,402.549,5.5,0.3,0.4,0.6,0.3
Shelter,34.863,362.093,385.433,386.435,6.7,0.3,0.3,0.6,0.3
Rent of primary residence,7.614,379.436,404.487,406.683,7.2,0.5,0.5,0.5,0.5
Owners' equivalent rent of residences(2),25.696,371.450,395.039,396.881,6.8,0.5,0.4,0.6,0.4
Medical care services,6.324,606.839,593.777,594.974,-2.0,0.2,0.1,0.3,0.3
Physicians' services(1),1.782,414.897,413.966,409.755,-1.2,-1.0,0.1,0.0,-1.0
Hospital services(1)(3),1.941,,397.531,401.752,,1.1,0.7,1.5,1.1
Transportation services,5.966,373.098,402.021,407.526,9.2,1.4,2.0,0.7,0.8
Motor vehicle maintenance and repair(1),1.138,358.597,392.222,392.861,9.6,0.2,1.1,0.2,0.2
Motor vehicle insurance,2.770,637.103,742.292,759.704,19.2,2.3,2.4,1.3,1.9
Airline fares,0.519,294.340,246.151,255.480,-13.2,3.8,4.9,0.3,-0.9
