Expenditure category,RelativeimportanceJan.2023,Feb.2022,Jan.2023,Feb.2023,Feb.2022-Feb.2023,Jan.2023-Feb.2023,Nov.2022-Dec.2022,Dec.2022-Jan.2023,Jan.2023-Feb.2023
All items,100.000,283.716,299.170,300.840,6.0,0.6,0.1,0.5,0.4
Food,13.521,292.794,319.136,320.569,9.5,0.4,0.4,0.5,0.4
Food at home,8.727,274.568,301.435,302.483,10.2,0.3,0.5,0.4,0.3
Cereals and bakery products,1.169,306.193,349.294,350.772,14.6,0.4,0.6,1.0,0.3
"Meats, poultry, fish, and eggs",1.846,301.240,322.737,321.803,6.8,-0.3,0.8,0.7,-0.1
Dairy and related products,0.813,242.386,272.040,272.271,12.3,0.1,0.2,0.0,0.1
Fruits and vegetables,1.508,333.675,351.029,351.249,5.3,0.1,-0.1,-0.5,0.2
Nonalcoholic beverages and beverage materials,1.046,192.210,213.359,215.925,12.3,1.2,0.5,0.4,1.0
Other food at home,2.344,237.143,264.746,266.612,12.4,0.7,0.7,0.7,0.3
Food away from home(1),4.795,320.880,345.677,347.869,8.4,0.6,0.4,0.6,0.6
Energy,7.076,267.771,283.330,281.673,5.2,-0.6,-3.1,2.0,-0.6
Energy commodities,3.556,313.522,305.643,309.280,-1.4,1.2,-7.2,1.9,0.5
Fuel oil(1),0.147,384.179,455.595,419.629,9.2,-7.9,-16.6,-1.2,-7.9
Motor fuel,3.344,307.422,297.413,302.153,-1.7,1.6,-6.9,2.3,0.9
Gasoline (all types),3.246,305.959,294.759,299.774,-2.0,1.7,-7.0,2.4,1.0
Energy services,3.520,235.017,272.840,266.353,13.3,-2.4,1.9,2.1,-1.7
Electricity,2.579,236.453,266.528,266.887,12.9,0.1,1.3,0.5,0.5
Utility (piped) gas service,0.941,226.491,285.407,258.976,14.3,-9.3,3.5,6.7,-8.0
All items less food and energy,79.403,288.059,301.962,304.011,5.5,0.7,0.4,0.4,0.5
Commodities less food and energy commodities,21.325,164.559,165.340,166.246,1.0,0.5,-0.1,0.1,0.0
Apparel,2.525,127.868,127.875,132.039,3.3,3.3,0.2,0.8,0.8
New vehicles,4.299,168.027,177.276,177.817,5.8,0.3,0.6,0.2,0.2
Used cars and trucks,2.605,212.040,185.857,183.241,-13.6,-1.4,-2.0,-1.9,-2.8
Medical care commodities(1),1.459,384.304,395.981,396.560,3.2,0.1,0.1,1.1,0.1
Alcoholic beverages,0.843,269.128,282.286,282.377,4.9,0.0,0.7,0.4,-0.3
Tobacco and smoking products(1),0.493,"1,314.838","1,388.790","1,402.834",6.7,1.0,-0.1,0.7,1.0
Services less energy services,58.078,363.672,387.258,390.070,7.3,0.7,0.6,0.5,0.6
Shelter,34.393,344.607,369.585,372.510,8.1,0.8,0.8,0.7,0.8
Rent of primary residence,7.521,359.627,388.372,391.141,8.8,0.7,0.8,0.7,0.8
Owners' equivalent rent of residences(2),25.385,353.512,379.328,381.844,8.0,0.7,0.8,0.7,0.7
Medical care services,6.591,586.177,601.551,598.778,2.1,-0.5,0.3,-0.7,-0.7
Physicians' services(1),1.838,407.984,415.197,413.034,1.2,-0.5,0.1,-0.1,-0.5
Hospital services(1)(3),1.934,371.745,385.064,384.996,3.6,0.0,1.3,0.5,0.0
Transportation services,5.752,333.919,376.743,382.801,14.6,1.6,0.6,0.9,1.1
Motor vehicle maintenance and repair(1),1.110,331.130,371.780,372.572,12.5,0.2,1.0,1.3,0.2
Motor vehicle insurance,2.528,584.317,658.513,668.806,14.5,1.6,0.7,1.4,0.9
Airline fares,0.574,222.227,264.629,281.216,26.5,6.3,-2.1,-2.1,6.4
