Expenditure category,RelativeimportanceNov.2023,Dec.2022,Nov.2023,Dec.2023,Dec.2022-Dec.2023,Nov.2023-Dec.2023,Sep.2023-Oct.2023,Oct.2023-Nov.2023,Nov.2023-Dec.2023
All items,100.000,296.797,307.051,306.746,3.4,-0.1,0.0,0.1,0.3
Food,13.424,316.839,325.172,325.409,2.7,0.1,0.3,0.2,0.2
Food at home,8.553,299.089,303.224,303.005,1.3,-0.1,0.3,0.1,0.1
Cereals and bakery products,1.162,345.029,356.169,353.844,2.6,-0.7,0.2,0.5,-0.3
"Meats, poultry, fish, and eggs",1.782,320.455,319.860,320.143,-0.1,0.1,0.7,-0.2,0.5
Dairy and related products,0.780,271.376,267.609,267.889,-1.3,0.1,0.3,0.1,0.3
Fruits and vegetables,1.468,349.134,350.736,350.250,0.3,-0.1,0.0,0.3,-0.1
Nonalcoholic beverages and beverage materials,1.030,210.324,215.604,215.872,2.6,0.1,-0.1,0.5,0.2
Other food at home,2.331,262.985,270.250,270.223,2.8,0.0,0.3,-0.1,0.1
Food away from home(1),4.870,343.559,360.383,361.564,5.2,0.3,0.4,0.4,0.3
Energy,6.741,274.937,277.029,269.375,-2.0,-2.8,-2.5,-2.3,0.4
Energy commodities,3.473,297.625,306.419,288.953,-2.9,-5.7,-4.9,-5.8,-0.1
Fuel oil(1),0.131,461.140,416.239,393.189,-14.7,-5.5,-0.8,-2.7,-5.5
Motor fuel,3.283,288.979,299.696,282.246,-2.3,-5.8,-4.9,-6.0,0.1
Gasoline (all types),3.194,285.757,297.598,280.289,-1.9,-5.8,-5.0,-6.0,0.2
Energy services,3.267,263.825,259.944,260.877,-1.1,0.4,0.5,1.7,0.9
Electricity,2.522,260.548,267.545,269.170,3.3,0.6,0.3,1.4,1.3
Utility (piped) gas service,0.745,267.683,231.976,230.862,-13.8,-0.5,1.2,2.8,-0.4
All items less food and energy,79.836,300.113,311.606,311.907,3.9,0.1,0.2,0.3,0.3
Commodities less food and energy commodities,20.781,164.304,165.367,164.590,0.2,-0.5,-0.1,-0.3,0.0
Apparel,2.464,124.587,128.093,125.794,1.0,-1.8,0.1,-1.3,0.1
New vehicles,4.222,176.463,178.700,178.269,1.0,-0.2,-0.1,-0.1,0.3
Used cars and trucks,2.544,188.864,186.270,186.383,-1.3,0.1,-0.8,1.6,0.5
Medical care commodities(1),1.475,391.809,410.847,410.365,4.7,-0.1,0.4,0.5,-0.1
Alcoholic beverages,0.837,280.755,287.731,287.873,2.5,0.0,0.2,-0.1,0.3
Tobacco and smoking products(1),0.515,"1,379.589","1,487.792","1,486.900",7.8,-0.1,1.9,1.1,-0.1
Services less energy services,59.055,384.906,404.143,405.338,5.3,0.3,0.3,0.5,0.4
Shelter,35.170,366.868,387.892,389.433,6.2,0.4,0.3,0.4,0.5
Rent of primary residence,7.714,385.649,408.838,410.606,6.5,0.4,0.5,0.5,0.4
Owners' equivalent rent of residences(2),26.018,376.897,399.032,400.828,6.3,0.5,0.4,0.5,0.5
Medical care services,6.374,602.395,597.016,599.464,-0.5,0.4,0.3,0.6,0.7
Physicians' services(1),1.777,415.611,412.011,412.930,-0.6,0.2,-1.0,0.6,0.2
Hospital services(1)(3),1.968,383.150,402.222,404.407,5.5,0.5,1.1,0.1,0.5
Transportation services,6.127,373.598,411.892,409.749,9.7,-0.5,0.8,1.1,0.1
Motor vehicle maintenance and repair(1),1.145,366.960,393.924,392.897,7.1,-0.3,0.2,0.3,-0.3
Motor vehicle insurance,2.874,648.771,768.249,780.284,20.3,1.6,1.9,1.0,1.5
Airline fares,0.543,268.519,257.222,243.348,-9.4,-5.4,-0.9,-0.4,1.0
