Expenditure category,RelativeimportanceDec.2022,Jan.2022,Dec.2022,Jan.2023,Jan.2022-Jan.2023,Dec.2022-Jan.2023,Oct.2022-Nov.2022,Nov.2022-Dec.2022,Dec.2022-Jan.2023
All items,100.000,281.148,296.797,299.170,6.4,0.8,0.2,0.1,0.5
Food,13.531,289.772,316.839,319.136,10.1,0.7,0.6,0.4,0.5
Food at home,8.728,270.711,299.089,301.435,11.3,0.8,0.6,0.5,0.4
Cereals and bakery products,1.164,302.242,345.029,349.294,15.6,1.2,1.2,0.6,1.0
"Meats, poultry, fish, and eggs",1.847,298.441,320.455,322.737,8.1,0.7,0.0,0.8,0.7
Dairy and related products,0.818,238.675,271.376,272.040,14.0,0.2,1.1,0.2,0.0
Fruits and vegetables,1.512,327.451,349.134,351.029,7.2,0.5,1.1,-0.1,-0.5
Nonalcoholic beverages and beverage materials,1.039,188.719,210.324,213.359,13.1,1.4,0.8,0.5,0.4
Other food at home,2.347,233.956,262.985,264.746,13.2,0.7,0.2,0.7,0.7
Food away from home(1),4.803,319.471,343.559,345.677,8.2,0.6,0.5,0.4,0.6
Energy,6.921,260.653,274.937,283.330,8.7,3.1,-1.4,-3.1,2.0
Energy commodities,3.490,297.454,297.625,305.643,2.8,2.7,-2.1,-7.2,1.9
Fuel oil(1),0.150,356.864,461.140,455.595,27.7,-1.2,1.7,-16.6,-1.2
Motor fuel,3.275,291.767,288.979,297.413,1.9,2.9,-2.2,-6.9,2.3
Gasoline (all types),3.172,290.416,285.757,294.759,1.5,3.2,-2.3,-7.0,2.4
Energy services,3.431,235.941,263.825,272.840,15.6,3.4,-0.6,1.9,2.1
Electricity,2.541,238.183,260.548,266.528,11.9,2.3,0.5,1.3,0.5
Utility (piped) gas service,0.890,225.181,267.683,285.407,26.7,6.6,-3.4,3.5,6.7
All items less food and energy,79.548,285.996,300.113,301.962,5.6,0.6,0.3,0.4,0.4
Commodities less food and energy commodities,21.361,162.991,164.304,165.340,1.4,0.6,-0.2,-0.1,0.1
Apparel,2.479,124.079,124.587,127.875,3.1,2.6,0.1,0.2,0.8
New vehicles,4.313,167.582,176.463,177.276,5.8,0.5,0.5,0.6,0.2
Used cars and trucks,2.668,210.293,188.864,185.857,-11.6,-1.6,-2.0,-2.0,-1.9
Medical care commodities(1),1.455,382.984,391.809,395.981,3.4,1.1,0.2,0.1,1.1
Alcoholic beverages,0.845,266.749,280.755,282.286,5.8,0.5,0.6,0.7,0.4
Tobacco and smoking products(1),0.494,"1,306.913","1,379.589","1,388.790",6.3,0.7,0.7,-0.1,0.7
Services less energy services,58.187,361.397,384.906,387.258,7.2,0.6,0.5,0.6,0.5
Shelter,34.413,342.604,366.868,369.585,7.9,0.7,0.6,0.8,0.7
Rent of primary residence,7.528,357.737,385.649,388.372,8.6,0.7,0.8,0.8,0.7
Owners' equivalent rent of residences(2),25.424,352.005,376.897,379.328,7.8,0.6,0.7,0.8,0.7
Medical care services,6.653,584.111,602.395,601.551,3.0,-0.1,-0.5,0.3,-0.7
Physicians' services(1),1.855,408.335,415.611,415.197,1.7,-0.1,0.0,0.1,-0.1
Hospital services(1)(3),1.940,371.646,383.150,385.064,3.6,0.5,,1.3,0.5
Transportation services,5.750,328.665,373.598,376.743,14.6,0.8,0.3,0.6,0.9
Motor vehicle maintenance and repair(1),1.104,325.448,366.960,371.780,14.2,1.3,1.3,1.0,1.3
Motor vehicle insurance,2.511,574.042,648.771,658.513,14.7,1.5,1.0,0.7,1.4
Airline fares,0.587,210.762,268.519,264.629,25.6,-1.4,-1.6,-2.1,-2.1
