Expenditure category,RelativeimportanceJun.2023,Jul.2022,Jun.2023,Jul.2023,Jul.2022-Jul.2023,Jun.2023-Jul.2023,Apr.2023-May2023,May2023-Jun.2023,Jun.2023-Jul.2023
All items,100.000,296.276,305.109,305.691,3.2,0.2,0.1,0.2,0.2
Food,13.400,308.532,322.556,323.523,4.9,0.3,0.2,0.1,0.2
Food at home,8.582,292.972,302.335,303.455,3.6,0.4,0.1,0.0,0.3
Cereals and bakery products,1.166,332.968,355.074,356.377,7.0,0.4,0.0,0.1,0.0
"Meats, poultry, fish, and eggs",1.770,318.141,315.561,317.445,-0.2,0.6,-1.2,-0.4,0.5
Dairy and related products,0.787,265.638,268.338,269.143,1.3,0.3,-1.1,-0.3,0.5
Fruits and vegetables,1.478,341.839,350.724,351.646,2.9,0.3,1.3,0.8,0.4
Nonalcoholic beverages and beverage materials,1.039,204.944,216.146,216.056,5.4,0.0,0.7,-0.1,0.0
Other food at home,2.344,257.295,269.995,271.276,5.4,0.5,0.4,-0.2,0.2
Food away from home(1),4.818,331.342,354.245,354.862,7.1,0.2,0.5,0.4,0.2
Energy,6.951,325.407,283.854,284.828,-12.5,0.3,-3.6,0.6,0.1
Energy commodities,3.667,405.676,321.491,323.358,-20.3,0.6,-5.6,0.8,0.3
Fuel oil(1),0.112,495.910,353.673,364.304,-26.5,3.0,-7.7,-0.4,3.0
Motor fuel,3.497,399.682,317.170,318.891,-20.2,0.5,-5.6,0.9,0.2
Gasoline (all types),3.415,396.952,316.258,318.071,-19.9,0.6,-5.6,1.0,0.2
Energy services,3.283,262.731,259.564,259.766,-1.1,0.1,-1.4,0.4,-0.1
Electricity,2.574,262.347,271.369,270.268,3.0,-0.4,-1.0,0.9,-0.7
Utility (piped) gas service,0.709,258.666,219.272,223.290,-13.7,1.8,-2.6,-1.7,2.0
All items less food and energy,79.649,295.646,308.910,309.402,4.7,0.2,0.4,0.2,0.2
Commodities less food and energy commodities,21.321,166.746,168.588,168.014,0.8,-0.3,0.6,-0.1,-0.3
Apparel,2.526,125.188,130.510,129.172,3.2,-1.0,0.3,0.3,0.0
New vehicles,4.270,173.618,179.577,179.696,3.5,0.1,-0.1,0.0,-0.1
Used cars and trucks,2.776,213.683,202.007,201.624,-5.6,-0.2,4.4,-0.5,-1.3
Medical care commodities(1),1.460,390.077,404.109,406.169,4.1,0.5,0.6,0.2,0.5
Alcoholic beverages,0.836,274.344,285.633,285.580,4.1,0.0,0.5,0.0,0.1
Tobacco and smoking products(1),0.496,"1,349.636","1,424.290","1,431.302",6.1,0.5,0.6,0.1,0.5
Services less energy services,58.328,375.060,396.646,398.002,6.1,0.3,0.4,0.3,0.4
Shelter,34.728,354.935,380.594,382.226,7.7,0.4,0.6,0.4,0.4
Rent of primary residence,7.569,370.448,398.593,400.210,8.0,0.4,0.5,0.5,0.4
Owners' equivalent rent of residences(2),25.540,363.311,389.223,391.131,7.7,0.5,0.5,0.4,0.5
Medical care services,6.377,601.056,593.503,591.832,-1.5,-0.3,-0.1,0.0,-0.4
Physicians' services(1),1.792,411.846,412.812,413.437,0.4,0.2,-0.5,0.7,0.2
Hospital services(1)(3),1.925,377.415,390.793,389.061,3.1,-0.4,1.0,0.4,-0.4
Transportation services,5.917,363.389,395.238,396.199,9.0,0.2,0.8,0.1,0.3
Motor vehicle maintenance and repair(1),1.121,343.678,383.196,387.159,12.7,1.0,0.6,1.3,1.0
Motor vehicle insurance,2.657,609.585,705.717,717.799,17.8,1.7,2.0,1.7,2.0
Airline fares,0.593,311.205,279.224,253.345,-18.6,-9.3,-3.0,-8.1,-8.1
