Expenditure category,RelativeimportanceMar.2023,Apr.2022,Mar.2023,Apr.2023,Apr.2022-Apr.2023,Mar.2023-Apr.2023,Jan.2023-Feb.2023,Feb.2023-Mar.2023,Mar.2023-Apr.2023
All items,100.000,289.109,301.836,303.363,4.9,0.5,0.4,0.1,0.4
Food,13.474,298.711,320.863,321.566,7.7,0.2,0.4,0.0,0.0
Food at home,8.663,282.161,301.918,302.328,7.1,0.1,0.3,-0.3,-0.2
Cereals and bakery products,1.174,314.787,353.866,353.742,12.4,0.0,0.3,0.6,0.2
"Meats, poultry, fish, and eggs",1.804,310.399,318.306,318.996,2.8,0.2,-0.1,-1.4,-0.3
Dairy and related products,0.804,251.030,271.384,271.102,8.0,-0.1,0.1,-0.1,-0.7
Fruits and vegetables,1.473,339.385,345.814,346.269,2.0,0.1,0.2,-1.3,-0.5
Nonalcoholic beverages and beverage materials,1.051,197.138,216.329,215.833,9.5,-0.2,1.0,0.2,-0.1
Other food at home,2.357,244.282,268.567,269.657,10.4,0.4,0.3,0.4,0.2
Food away from home(1),4.811,323.559,349.944,351.237,8.6,0.4,0.6,0.6,0.4
Energy,6.908,298.469,279.084,283.352,-5.1,1.5,-0.6,-3.5,0.6
Energy commodities,3.588,372.220,311.160,325.269,-12.6,4.5,0.5,-4.6,2.7
Fuel oil(1),0.129,482.516,403.040,384.903,-20.2,-4.5,-7.9,-4.0,-4.5
Motor fuel,3.394,365.314,304.575,319.843,-12.4,5.0,0.9,-4.7,2.8
Gasoline (all types),3.304,362.802,302.673,318.482,-12.2,5.2,1.0,-4.6,3.0
Energy services,3.320,240.865,259.647,255.185,5.9,-1.7,-1.7,-2.3,-1.7
Electricity,2.542,242.778,265.033,263.216,8.4,-0.7,0.5,-0.7,-0.7
Utility (piped) gas service,0.779,230.916,238.182,226.062,-2.1,-5.1,-8.0,-7.1,-4.9
All items less food and energy,79.617,290.846,305.476,306.899,5.5,0.5,0.5,0.4,0.4
Commodities less food and energy commodities,21.344,164.520,166.961,167.833,2.0,0.5,0.0,0.2,0.6
Apparel,2.605,127.126,133.112,131.762,3.6,-1.0,0.8,0.3,0.3
New vehicles,4.286,169.699,178.342,178.892,5.4,0.3,0.2,0.4,-0.2
Used cars and trucks,2.570,206.981,184.997,193.394,-6.6,4.5,-2.8,-0.9,4.4
Medical care commodities(1),1.457,385.307,398.917,400.755,4.0,0.5,0.1,0.6,0.5
Alcoholic beverages,0.836,271.376,282.588,283.961,4.6,0.5,-0.3,0.1,0.5
Tobacco and smoking products(1),0.498,"1,327.276","1,413.380","1,414.924",6.6,0.1,1.0,0.8,0.1
Services less energy services,58.274,368.565,392.024,393.769,6.8,0.4,0.6,0.4,0.4
Shelter,34.586,348.389,374.971,376.636,8.1,0.4,0.8,0.6,0.4
Rent of primary residence,7.542,362.951,392.910,394.898,8.8,0.5,0.8,0.5,0.6
Owners' equivalent rent of residences(2),25.437,356.439,383.502,385.366,8.1,0.5,0.7,0.5,0.5
Medical care services,6.470,591.940,595.745,594.346,0.4,-0.2,-0.7,-0.5,-0.1
Physicians' services(1),1.809,410.830,412.119,411.951,0.3,0.0,-0.5,-0.2,0.0
Hospital services(1)(3),1.909,374.501,383.420,385.355,2.9,0.5,0.0,-0.4,0.5
Transportation services,5.871,351.985,387.966,390.805,11.0,0.7,1.1,1.4,-0.2
Motor vehicle maintenance and repair(1),1.106,331.735,373.865,375.890,13.3,0.5,0.2,0.3,0.5
Motor vehicle insurance,2.578,592.317,677.445,684.166,15.5,1.0,0.9,1.2,1.4
Airline fares,0.616,297.143,286.814,294.550,-0.9,2.7,6.4,4.0,-2.6
