Expenditure category,RelativeimportanceFeb.2021,Mar.2020,Feb.2021,Mar.2021,Mar.2020-Mar.2021,Feb.2021-Mar.2021,Dec.2020-Jan.2021,Jan.2021-Feb.2021,Feb.2021-Mar.2021
All items,100.000,258.115,263.014,264.877,2.6,0.7,0.3,0.4,0.6
Food,14.052,262.708,271.363,271.812,3.5,0.2,0.1,0.2,0.1
Food at home,7.741,245.163,252.716,253.231,3.3,0.2,-0.1,0.3,0.1
Cereals and bakery products,0.993,277.646,284.095,284.746,2.6,0.2,-0.8,0.5,-0.1
"Meats, poultry, fish, and eggs",1.733,254.724,266.606,268.457,5.4,0.7,0.5,0.3,0.1
Dairy and related products,0.780,225.627,230.452,229.249,1.6,-0.5,-0.4,-0.2,-0.5
Fruits and vegetables,1.343,299.641,309.993,311.168,3.8,0.4,-0.2,0.7,1.0
Nonalcoholic beverages and beverage materials,0.935,174.454,180.202,180.018,3.2,-0.1,0.1,-0.1,-0.2
Other food at home,1.958,214.565,219.110,219.263,2.2,0.1,-0.3,0.1,0.0
Food away from home(1),6.311,290.216,300.540,300.897,3.7,0.1,0.3,0.1,0.1
Energy,6.561,199.573,213.277,225.861,13.2,5.9,3.5,3.9,5.0
Energy commodities,3.418,207.215,227.412,252.840,22.0,11.2,7.3,6.6,8.9
Fuel oil(1),0.096,229.794,267.613,276.100,20.2,3.2,5.4,9.9,3.2
Motor fuel,3.251,203.512,222.667,248.681,22.2,11.7,7.4,6.4,9.1
Gasoline (all types),3.181,202.205,221.689,247.652,22.5,11.7,7.4,6.4,9.1
Energy services,3.143,201.439,209.296,209.623,4.1,0.2,-0.3,0.9,0.6
Electricity,2.431,211.332,216.998,216.528,2.5,-0.2,-0.2,0.7,0.0
Utility (piped) gas service,0.712,168.994,183.006,185.624,9.8,1.4,-0.4,1.6,2.5
All items less food and energy,79.387,267.312,270.696,271.713,1.6,0.4,0.0,0.1,0.3
Commodities less food and energy commodities,20.172,144.718,146.532,147.160,1.7,0.4,0.1,-0.2,0.1
Apparel,2.766,123.815,119.998,120.746,-2.5,0.6,2.2,-0.7,-0.3
New vehicles,3.731,147.124,149.515,149.321,1.5,-0.1,-0.5,0.0,0.0
Used cars and trucks,2.711,140.689,150.221,153.873,9.4,2.4,-0.9,-0.9,0.5
Medical care commodities(1),1.553,384.498,374.905,375.111,-2.4,0.1,-0.1,-0.7,0.1
Alcoholic beverages,1.030,255.660,260.011,260.652,2.0,0.2,-0.1,-0.1,0.3
Tobacco and smoking products(1),0.617,"1,162.660","1,228.750","1,236.352",6.3,0.6,1.8,0.6,0.6
Services less energy services,59.215,343.990,348.361,349.607,1.6,0.4,0.0,0.2,0.4
Shelter,33.125,324.615,329.005,330.122,1.7,0.3,0.1,0.2,0.3
Rent of primary residence,7.804,339.519,345.242,345.717,1.8,0.1,0.1,0.2,0.2
Owners' equivalent rent of residences(2),24.115,332.864,338.918,339.565,2.0,0.2,0.1,0.3,0.2
Medical care services,7.323,557.889,572.378,573.009,2.7,0.1,0.5,0.5,0.1
Physicians' services(1),1.865,386.483,405.897,407.048,5.3,0.3,1.6,2.0,0.3
Hospital services(3),2.227,351.350,359.521,361.468,2.9,0.5,0.3,-0.1,0.6
Transportation services,5.095,321.610,313.160,316.345,-1.6,1.0,-0.3,-0.1,1.8
Motor vehicle maintenance and repair(1),1.094,304.131,311.627,314.660,3.5,1.0,0.2,0.3,1.0
Motor vehicle insurance,1.626,579.462,560.386,565.166,-2.5,0.9,1.6,0.7,3.3
Airline fares,0.600,232.113,197.204,197.134,-15.1,0.0,-3.2,-5.1,0.4
