Expenditure category,RelativeimportanceJul.2021,Aug.2020,Jul.2021,Aug.2021,Aug.2020-Aug.2021,Jul.2021-Aug.2021,May2021-Jun.2021,Jun.2021-Jul.2021,Jul.2021-Aug.2021
All items,100.000,259.918,273.003,273.567,5.3,0.2,0.9,0.5,0.3
Food,13.875,269.079,278.127,279.135,3.7,0.4,0.8,0.7,0.4
Food at home,7.644,252.352,259.022,259.825,3.0,0.3,0.8,0.7,0.4
Cereals and bakery products,0.975,284.472,289.533,288.990,1.6,-0.2,-0.3,1.2,0.0
"Meats, poultry, fish, and eggs",1.797,266.969,286.994,288.367,8.0,0.5,2.5,1.5,0.7
Dairy and related products,0.754,231.231,231.233,230.145,-0.5,-0.5,0.2,0.6,-1.0
Fruits and vegetables,1.306,306.754,312.875,313.672,2.3,0.3,0.7,-0.9,0.2
Nonalcoholic beverages and beverage materials,0.901,178.684,180.136,182.277,2.0,1.2,0.9,0.7,1.0
Other food at home,1.912,219.607,222.116,222.863,1.5,0.3,0.2,0.8,0.6
Food away from home(1),6.231,295.437,308.023,309.336,4.7,0.4,0.7,0.8,0.4
Energy,7.255,197.362,244.800,246.639,25.0,0.8,1.5,1.6,2.0
Energy commodities,4.055,198.496,280.040,281.730,41.9,0.6,2.6,2.3,2.7
Fuel oil(1),0.098,207.623,282.484,276.557,33.2,-2.1,2.9,0.6,-2.1
Motor fuel,3.892,195.352,276.650,278.461,42.5,0.7,2.5,2.4,2.8
Gasoline (all types),3.811,194.449,275.656,277.448,42.7,0.7,2.5,2.4,2.8
Energy services,3.200,205.636,221.196,223.272,8.6,0.9,0.2,0.8,1.1
Electricity,2.457,217.680,227.672,229.088,5.2,0.6,-0.3,0.4,1.0
Utility (piped) gas service,0.743,166.916,198.207,202.140,21.1,2.0,1.7,2.2,1.6
All items less food and energy,78.870,268.756,279.146,279.507,4.0,0.1,0.9,0.3,0.1
Commodities less food and energy commodities,20.673,145.391,155.873,156.581,7.7,0.5,2.2,0.5,0.3
Apparel,2.644,116.299,119.078,121.194,4.2,1.8,0.7,0.0,0.4
New vehicles,3.779,147.412,157.203,158.652,7.6,0.9,2.0,1.7,1.2
Used cars and trucks,3.485,149.765,200.425,197.535,31.9,-1.4,10.5,0.2,-1.5
Medical care commodities(1),1.502,385.409,376.323,375.685,-2.5,-0.2,-0.4,0.2,-0.2
Alcoholic beverages,1.005,257.678,263.226,264.315,2.6,0.4,0.5,0.3,0.3
Tobacco and smoking products(1),0.606,"1,180.537","1,253.276","1,254.492",6.3,0.1,0.6,0.5,0.1
Services less energy services,58.197,345.936,355.375,355.423,2.7,0.0,0.4,0.3,0.0
Shelter,32.573,326.997,335.812,336.284,2.8,0.1,0.5,0.4,0.2
Rent of primary residence,7.589,342.444,348.469,349.710,2.1,0.4,0.2,0.2,0.3
Owners' equivalent rent of residences(2),23.533,335.763,343.293,344.327,2.6,0.3,0.3,0.3,0.3
Medical care services,7.050,567.771,571.934,573.500,1.0,0.3,0.0,0.3,0.3
Physicians' services(1),1.808,393.025,408.445,408.490,3.9,0.0,0.3,0.4,0.0
Hospital services(3),2.167,353.332,363.254,365.843,3.5,0.7,0.2,0.5,0.9
Transportation services,5.219,311.422,332.917,325.652,4.6,-2.2,1.5,-1.1,-2.3
Motor vehicle maintenance and repair(1),1.076,307.554,318.031,320.504,4.2,0.8,0.3,0.9,0.8
Motor vehicle insurance,1.586,560.623,567.463,566.183,1.0,-0.2,1.2,-2.8,-2.8
Airline fares,0.714,199.496,243.613,212.882,6.7,-12.6,2.7,-0.1,-9.1
