Expenditure category,RelativeimportanceMay2021,Jun.2020,May2021,Jun.2021,Jun.2020-Jun.2021,May2021-Jun.2021,Mar.2021-Apr.2021,Apr.2021-May2021,May2021-Jun.2021
All items,100.000,257.797,269.195,271.696,5.4,0.9,0.8,0.6,0.9
Food,13.874,269.770,274.212,276.206,2.4,0.7,0.4,0.4,0.8
Food at home,7.647,255.042,255.516,257.412,0.9,0.7,0.4,0.4,0.8
Cereals and bakery products,0.979,286.092,286.649,286.761,0.2,0.0,0.4,0.5,-0.3
"Meats, poultry, fish, and eggs",1.751,281.139,275.776,282.993,0.7,2.6,0.5,1.3,2.5
Dairy and related products,0.762,228.437,230.380,230.152,0.8,-0.1,0.6,0.4,0.2
Fruits and vegetables,1.336,305.393,315.748,315.211,3.2,-0.2,0.8,0.0,0.7
Nonalcoholic beverages and beverage materials,0.902,179.190,177.814,179.527,0.2,1.0,0.3,-0.5,0.9
Other food at home,1.918,219.311,219.664,220.221,0.4,0.3,0.1,0.0,0.2
Food away from home(1),6.226,293.219,303.481,305.634,4.2,0.7,0.3,0.6,0.7
Energy,7.073,193.379,235.339,240.720,24.5,2.3,-0.1,0.0,1.5
Energy commodities,3.929,189.613,267.532,273.459,44.2,2.2,-1.4,-0.6,2.6
Fuel oil(1),0.096,194.267,272.990,280.786,44.5,2.9,-3.2,2.1,2.9
Motor fuel,3.768,186.494,264.135,269.983,44.8,2.2,-1.3,-0.7,2.5
Gasoline (all types),3.690,185.422,263.170,268.979,45.1,2.2,-1.4,-0.7,2.5
Energy services,3.144,206.368,214.335,219.425,6.3,2.4,1.5,0.7,0.2
Electricity,2.418,218.191,220.948,226.562,3.8,2.5,1.2,0.3,-0.3
Utility (piped) gas service,0.726,168.267,191.083,194.563,15.6,1.8,2.4,1.7,1.7
All items less food and energy,79.053,266.302,275.893,278.218,4.5,0.8,0.9,0.7,0.9
Commodities less food and energy commodities,20.473,142.908,152.217,155.284,8.7,2.0,2.0,1.8,2.2
Apparel,2.724,114.734,120.951,120.324,4.9,-0.5,0.3,1.2,0.7
New vehicles,3.709,147.108,152.143,154.847,5.3,1.8,0.5,1.6,2.0
Used cars and trucks,3.166,136.915,179.532,198.855,45.2,10.8,10.0,7.3,10.5
Medical care commodities(1),1.526,384.259,377.191,375.697,-2.2,-0.4,0.6,0.0,-0.4
Alcoholic beverages,1.013,258.033,261.711,262.913,1.9,0.5,0.2,0.4,0.5
Tobacco and smoking products(1),0.608,"1,165.761","1,240.082","1,247.577",7.0,0.6,0.2,0.1,0.6
Services less energy services,58.580,343.713,352.721,354.250,3.1,0.4,0.5,0.4,0.4
Shelter,32.704,325.814,332.454,334.222,2.6,0.5,0.4,0.3,0.5
Rent of primary residence,7.664,341.294,347.016,347.833,1.9,0.2,0.2,0.2,0.2
Owners' equivalent rent of residences(2),23.713,334.424,341.095,342.258,2.3,0.3,0.2,0.3,0.3
Medical care services,7.141,564.754,571.255,570.509,1.0,-0.1,0.0,-0.1,0.0
Physicians' services(1),1.821,390.718,405.744,406.812,4.1,0.3,-0.3,0.0,0.3
Hospital services(3),2.186,352.794,361.285,361.384,2.4,0.0,0.2,0.2,0.2
Transportation services,5.265,303.942,331.188,335.548,10.4,1.3,2.9,1.5,1.5
Motor vehicle maintenance and repair(1),1.078,305.736,314.164,315.209,3.1,0.3,0.2,-0.3,0.3
Motor vehicle insurance,1.613,511.639,569.010,569.656,11.3,0.1,2.5,0.7,1.2
Airline fares,0.744,206.066,250.209,256.684,24.6,2.6,10.2,7.0,2.7
