Expenditure category,RelativeimportanceMar.2019,Apr.2018,Mar.2019,Apr.2019,Apr.2018-Apr.2019,Mar.2019-Apr.2019,Jan.2019-Feb.2019,Feb.2019-Mar.2019,Mar.2019-Apr.2019
All items,100.000,250.546,254.202,255.548,2.0,0.5,0.2,0.4,0.3
Food,13.315,253.209,257.724,257.708,1.8,0.0,0.4,0.3,-0.1
Food at home,7.278,240.129,242.555,241.878,0.7,-0.3,0.4,0.4,-0.5
Cereals and bakery products,0.961,271.766,277.275,276.640,1.8,-0.2,0.7,0.3,-0.1
"Meats, poultry, fish, and eggs",1.590,251.922,249.062,249.203,-1.1,0.1,0.2,-0.2,-0.2
Dairy and related products,0.723,216.906,217.531,217.510,0.3,0.0,0.3,0.6,0.1
Fruits and vegetables,1.301,296.863,305.399,303.503,2.2,-0.6,0.9,1.6,-0.9
Nonalcoholic beverages and beverage materials,0.877,167.041,172.060,170.727,2.2,-0.8,0.7,0.0,-0.9
Other food at home,1.826,210.632,211.550,211.078,0.2,-0.2,0.3,0.1,-0.6
Food away from home(1),6.037,274.393,281.887,282.798,3.1,0.3,0.4,0.2,0.3
Energy,7.466,218.830,211.724,222.499,1.7,5.1,0.4,3.5,2.9
Energy commodities,4.128,246.387,231.228,253.547,2.9,9.7,1.5,6.2,5.4
Fuel oil,0.113,293.991,287.496,291.424,-0.9,1.4,2.6,2.1,1.3
Motor fuel,3.940,242.056,226.616,249.550,3.1,10.1,1.5,6.4,5.6
Gasoline (all types),3.853,240.962,225.282,248.499,3.1,10.3,1.5,6.5,5.7
Energy services,3.339,201.245,202.461,201.341,0.0,-0.6,-0.8,0.3,-0.1
Electricity,2.580,209.215,210.937,210.525,0.6,-0.2,-0.3,0.4,0.0
Utility (piped) gas service,0.759,174.318,174.089,171.004,-1.9,-1.8,-2.4,-0.1,-0.8
All items less food and energy,79.218,257.025,261.836,262.332,2.1,0.2,0.1,0.1,0.1
Commodities less food and energy commodities,19.566,145.131,144.994,144.851,-0.2,-0.1,-0.2,-0.2,-0.3
Apparel,3.052,129.365,125.785,125.542,-3.0,-0.2,0.3,-1.9,-0.8
New vehicles,3.722,146.069,147.788,147.840,1.2,0.0,-0.2,0.4,0.1
Used cars and trucks,2.405,139.368,140.513,140.458,0.8,0.0,-0.7,-0.4,-1.3
Medical care commodities,1.693,380.479,379.568,381.256,0.2,0.4,-1.0,0.4,0.9
Alcoholic beverages,0.965,248.818,252.087,251.758,1.2,-0.1,0.2,-0.1,-0.2
Tobacco and smoking products,0.666,"1,056.874","1,103.240","1,105.201",4.6,0.2,0.5,1.6,-0.1
Services less energy services,59.652,326.252,334.518,335.468,2.8,0.3,0.2,0.3,0.3
Shelter,33.238,305.716,315.135,316.263,3.4,0.4,0.3,0.4,0.4
Rent of primary residence,7.916,316.763,327.513,328.678,3.8,0.4,0.3,0.4,0.4
Owners' equivalent rent of residences(2),23.954,312.935,322.482,323.426,3.4,0.3,0.3,0.3,0.3
Medical care services,6.973,517.228,528.575,529.371,2.3,0.2,0.0,0.3,0.2
Physicians' services,1.717,381.076,381.045,382.150,0.3,0.3,0.1,-0.4,0.2
Hospital services(3),2.324,331.289,336.648,335.198,1.2,-0.4,-0.7,0.3,-0.5
Transportation services,5.936,321.437,323.982,325.114,1.1,0.3,-0.1,0.0,0.1
Motor vehicle maintenance and repair(1),1.132,284.367,294.226,295.266,3.8,0.4,0.4,0.8,0.4
Motor vehicle insurance,2.388,562.749,573.087,570.492,1.4,-0.5,0.1,-0.1,-0.2
Airline fares,0.682,273.817,259.698,268.767,-1.8,3.5,0.5,-0.6,-0.1
