Expenditure category,RelativeimportanceFeb.2019,Mar.2018,Feb.2019,Mar.2019,Mar.2018-Mar.2019,Feb.2019-Mar.2019,Dec.2018-Jan.2019,Jan.2019-Feb.2019,Feb.2019-Mar.2019
All items,100.000,249.554,252.776,254.202,1.9,0.6,0.0,0.2,0.4
Food,13.364,252.370,257.222,257.724,2.1,0.2,0.2,0.4,0.3
Food at home,7.304,239.158,242.057,242.555,1.4,0.2,0.1,0.4,0.4
Cereals and bakery products,0.962,272.345,275.996,277.275,1.8,0.5,-0.4,0.7,0.3
"Meats, poultry, fish, and eggs",1.596,249.516,248.597,249.062,-0.2,0.2,0.6,0.2,-0.2
Dairy and related products,0.724,216.497,216.595,217.531,0.5,0.4,-0.3,0.3,0.6
Fruits and vegetables,1.305,293.870,304.621,305.399,3.9,0.3,-0.3,0.9,1.6
Nonalcoholic beverages and beverage materials,0.884,167.758,172.488,172.060,2.6,-0.2,0.8,0.7,0.0
Other food at home,1.833,210.012,211.168,211.550,0.7,0.2,0.1,0.3,0.1
Food away from home(1),6.060,273.733,281.373,281.887,3.0,0.2,0.3,0.4,0.2
Energy,7.190,212.554,202.740,211.724,-0.4,4.4,-3.1,0.4,3.5
Energy commodities,3.829,232.716,213.270,231.228,-0.6,8.4,-5.3,1.5,6.2
Fuel oil,0.113,288.737,285.668,287.496,-0.4,0.6,-1.3,2.6,2.1
Motor fuel,3.641,228.068,208.242,226.616,-0.6,8.8,-5.5,1.5,6.4
Gasoline (all types),3.556,226.872,206.749,225.282,-0.7,9.0,-5.5,1.5,6.5
Energy services,3.361,202.625,202.690,202.461,-0.1,-0.1,-0.5,-0.8,0.3
Electricity,2.594,210.273,210.939,210.937,0.3,0.0,-0.6,-0.3,0.4
Utility (piped) gas service,0.767,176.567,174.950,174.089,-1.4,-0.5,-0.3,-2.4,-0.1
All items less food and energy,79.446,256.610,261.114,261.836,2.0,0.3,0.2,0.1,0.1
Commodities less food and energy commodities,19.624,145.050,144.609,144.994,0.0,0.3,0.4,-0.2,-0.2
Apparel,3.065,128.604,125.631,125.785,-2.2,0.1,1.1,0.3,-1.9
New vehicles,3.729,146.727,147.226,147.788,0.7,0.4,0.2,-0.2,0.4
Used cars and trucks,2.397,139.892,139.301,140.513,0.4,0.9,0.1,-0.7,-0.4
Medical care commodities,1.696,381.804,377.949,379.568,-0.6,0.4,0.1,-1.0,0.4
Alcoholic beverages,0.972,248.287,252.599,252.087,1.5,-0.2,0.0,0.2,-0.1
Tobacco and smoking products,0.660,"1,046.450","1,088.195","1,103.240",5.4,1.4,0.3,0.5,1.6
Services less energy services,59.822,325.610,333.586,334.518,2.7,0.3,0.2,0.2,0.3
Shelter,33.293,304.847,313.880,315.135,3.4,0.4,0.3,0.3,0.4
Rent of primary residence,7.932,315.883,326.351,327.513,3.7,0.4,0.3,0.3,0.4
Owners' equivalent rent of residences(2),24.026,312.107,321.627,322.482,3.3,0.3,0.3,0.3,0.3
Medical care services,7.000,516.713,527.683,528.575,2.3,0.2,0.3,0.0,0.3
Physicians' services,1.735,380.766,383.009,381.045,0.1,-0.5,0.4,0.1,-0.4
Hospital services(3),2.335,330.759,336.234,336.648,1.8,0.1,-0.3,-0.7,0.3
Transportation services,5.962,320.774,323.575,323.982,1.0,0.1,-0.2,-0.1,0.0
Motor vehicle maintenance and repair(1),1.130,283.656,291.993,294.226,3.7,0.8,0.4,0.4,0.8
Motor vehicle insurance,2.407,563.762,574.447,573.087,1.7,-0.2,-0.2,0.1,-0.1
Airline fares,0.684,267.482,259.049,259.698,-2.9,0.3,-0.9,0.5,-0.6
