Expenditure category,RelativeimportanceNov.2019,Dec.2018,Nov.2019,Dec.2019,Dec.2018-Dec.2019,Nov.2019-Dec.2019,Sep.2019-Oct.2019,Oct.2019-Nov.2019,Nov.2019-Dec.2019
All items,100.000,251.233,257.208,256.974,2.3,-0.1,0.4,0.3,0.2
Food,13.249,255.210,259.467,259.823,1.8,0.1,0.2,0.1,0.2
Food at home,7.169,239.989,241.726,241.750,0.7,0.0,0.3,0.1,0.1
Cereals and bakery products,0.946,274.321,276.166,275.036,0.3,-0.4,-0.1,0.1,-0.4
"Meats, poultry, fish, and eggs",1.580,247.327,250.491,252.893,2.3,1.0,0.6,0.3,1.3
Dairy and related products,0.728,216.652,221.515,221.924,2.4,0.2,0.1,0.6,0.0
Fruits and vegetables,1.252,301.134,297.472,297.105,-1.3,-0.1,0.9,-0.7,-0.3
Nonalcoholic beverages and beverage materials,0.860,168.339,170.675,170.006,1.0,-0.4,-0.3,0.6,-0.4
Other food at home,1.802,209.739,211.250,210.432,0.3,-0.4,0.2,0.0,-0.3
Food away from home(1),6.080,279.419,287.255,288.078,3.1,0.3,0.2,0.2,0.3
Energy,7.481,205.905,214.636,212.982,3.4,-0.8,2.7,0.8,1.4
Energy commodities,4.199,218.497,237.972,234.651,7.4,-1.4,3.5,1.1,2.8
Fuel oil,0.110,276.103,284.797,288.766,4.6,1.4,0.8,1.4,1.6
Motor fuel,4.019,213.838,233.851,230.189,7.6,-1.6,3.6,1.1,2.8
Gasoline (all types),3.931,212.152,232.575,228.857,7.9,-1.6,3.7,1.1,2.8
Energy services,3.282,203.800,201.387,201.446,-1.2,0.0,1.8,0.4,-0.3
Electricity,2.543,210.637,210.365,209.725,-0.4,-0.3,1.6,0.3,-0.5
Utility (piped) gas service,0.739,179.999,171.629,173.652,-3.5,1.2,2.4,1.1,0.3
All items less food and energy,79.271,259.083,265.108,264.935,2.3,-0.1,0.2,0.2,0.1
Commodities less food and energy commodities,19.167,142.840,143.722,142.920,0.1,-0.6,-0.1,0.0,0.0
Apparel,2.949,120.526,122.986,119.111,-1.2,-3.2,-1.8,0.1,0.4
New vehicles,3.627,146.126,145.728,146.220,0.1,0.3,-0.2,-0.1,0.1
Used cars and trucks,2.324,138.069,137.407,137.125,-0.7,-0.2,1.3,0.6,-0.8
Medical care commodities,1.689,378.190,383.025,387.533,2.5,1.2,1.2,0.1,1.5
Alcoholic beverages,0.955,251.131,252.463,252.361,0.5,0.0,-0.3,-0.3,0.1
Tobacco and smoking products,0.682,"1,082.248","1,142.857","1,141.600",5.5,-0.1,-0.4,0.8,0.2
Services less energy services,60.103,331.478,341.032,341.347,3.0,0.1,0.2,0.3,0.2
Shelter,33.489,311.652,321.267,321.766,3.2,0.2,0.1,0.3,0.2
Rent of primary residence,8.022,324.815,335.819,336.789,3.7,0.3,0.1,0.3,0.2
Owners' equivalent rent of residences(2),24.207,320.038,329.745,330.527,3.3,0.2,0.2,0.2,0.2
Medical care services,7.141,522.506,547.735,549.077,5.1,0.2,0.9,0.4,0.4
Physicians' services,1.714,379.885,385.010,385.092,1.4,0.0,0.2,0.1,0.1
Hospital services(3),2.356,334.964,345.227,344.933,3.0,-0.1,1.4,0.3,0.2
Transportation services,5.916,322.317,326.686,324.209,0.6,-0.8,0.1,0.0,-0.3
Motor vehicle maintenance and repair(1),1.138,289.705,299.260,299.614,3.4,0.1,0.2,0.1,0.1
Motor vehicle insurance,2.355,572.824,571.987,572.979,0.0,0.2,0.0,-0.2,0.2
Airline fares,0.698,248.290,268.994,252.411,1.7,-6.2,-0.4,-0.9,-1.6
