Expenditure category,RelativeimportanceJul.2019,Aug.2018,Jul.2019,Aug.2019,Aug.2018-Aug.2019,Jul.2019-Aug.2019,May2019-Jun.2019,Jun.2019-Jul.2019,Jul.2019-Aug.2019
All items,100.000,252.146,256.571,256.558,1.7,0.0,0.1,0.3,0.1
Food,13.220,254.077,258.274,258.410,1.7,0.1,0.0,0.0,0.0
Food at home,7.175,240.015,241.359,241.153,0.5,-0.1,-0.2,-0.1,-0.2
Cereals and bakery products,0.953,273.338,277.490,276.619,1.2,-0.3,-0.6,0.3,-0.3
"Meats, poultry, fish, and eggs",1.581,250.743,250.033,249.277,-0.6,-0.3,-0.7,0.1,-0.7
Dairy and related products,0.717,216.435,217.626,218.758,1.1,0.5,0.3,-0.3,0.2
Fruits and vegetables,1.263,297.644,299.350,298.600,0.3,-0.3,-0.5,0.3,-0.5
Nonalcoholic beverages and beverage materials,0.857,167.231,169.685,170.067,1.7,0.2,-0.6,-0.4,0.0
Other food at home,1.804,210.158,210.941,210.841,0.3,0.0,0.7,-0.7,0.3
Food away from home(1),6.045,276.648,284.891,285.507,3.2,0.2,0.3,0.2,0.2
Energy,7.774,226.939,222.492,216.978,-4.4,-2.5,-2.3,1.3,-1.9
Energy commodities,4.398,256.520,248.629,238.431,-7.1,-4.1,-3.5,2.4,-3.3
Fuel oil,0.108,296.617,278.773,271.766,-8.4,-2.5,-2.3,0.6,-0.9
Motor fuel,4.221,252.546,245.042,234.746,-7.0,-4.2,-3.6,2.5,-3.4
Gasoline (all types),4.134,251.367,244.000,233.625,-7.1,-4.3,-3.6,2.5,-3.5
Energy services,3.376,207.617,206.651,205.900,-0.8,-0.4,-0.7,0.0,-0.2
Electricity,2.655,217.967,219.083,217.811,-0.1,-0.6,-0.8,0.6,-0.3
Utility (piped) gas service,0.721,173.867,167.074,167.803,-3.5,0.4,-0.3,-1.8,0.1
All items less food and energy,79.006,258.012,263.566,264.169,2.4,0.2,0.3,0.3,0.3
Commodities less food and energy commodities,19.312,143.599,144.448,144.806,0.8,0.2,0.4,0.2,0.2
Apparel,2.937,122.447,122.161,123.641,1.0,1.2,1.1,0.4,0.2
New vehicles,3.669,146.149,147.035,146.456,0.2,-0.4,0.1,-0.2,-0.1
Used cars and trucks,2.421,141.095,142.756,144.026,2.1,0.9,1.6,0.9,1.1
Medical care commodities,1.681,382.171,380.278,382.519,0.1,0.6,-0.2,0.2,0.3
Alcoholic beverages,0.960,248.407,253.129,253.314,2.0,0.1,0.3,0.4,0.1
Tobacco and smoking products,0.670,"1,064.098","1,120.066","1,124.082",5.6,0.4,0.1,1.0,0.5
Services less energy services,59.694,329.086,337.867,338.619,2.9,0.2,0.3,0.3,0.3
Shelter,33.349,309.296,319.136,319.679,3.4,0.2,0.3,0.3,0.2
Rent of primary residence,7.941,320.651,331.605,332.638,3.7,0.3,0.4,0.3,0.2
Owners' equivalent rent of residences(2),23.994,316.401,326.023,326.977,3.3,0.3,0.3,0.2,0.2
Medical care services,6.999,516.841,535.515,539.066,4.3,0.7,0.4,0.5,0.9
Physicians' services,1.710,380.143,383.047,382.858,0.7,0.0,0.1,0.2,0.0
Hospital services(3),2.303,332.708,336.604,339.781,2.1,0.9,-0.1,0.5,1.4
Transportation services,5.902,321.387,325.105,324.396,0.9,-0.2,0.0,0.3,0.4
Motor vehicle maintenance and repair(1),1.126,286.931,295.377,297.884,3.8,0.8,0.4,-0.1,0.8
Motor vehicle insurance,2.349,565.113,569.011,568.972,0.7,0.0,0.3,0.3,0.1
Airline fares,0.698,255.877,268.314,259.849,1.6,-3.2,-0.9,2.3,1.7
