Expenditure category,RelativeimportanceMay2019,Jun.2018,May2019,Jun.2019,Jun.2018-Jun.2019,May2019-Jun.2019,Mar.2019-Apr.2019,Apr.2019-May2019,May2019-Jun.2019
All items,100.000,251.989,256.092,256.143,1.6,0.0,0.3,0.1,0.1
Food,13.237,253.231,258.110,258.064,1.9,0.0,-0.1,0.3,0.0
Food at home,7.212,239.158,242.145,241.407,0.9,-0.3,-0.5,0.3,-0.2
Cereals and bakery products,0.955,273.682,277.795,276.891,1.2,-0.3,-0.1,0.4,-0.6
"Meats, poultry, fish, and eggs",1.586,248.609,250.356,249.231,0.3,-0.4,-0.2,0.8,-0.7
Dairy and related products,0.719,216.126,217.841,217.433,0.6,-0.2,0.1,0.7,0.3
Fruits and vegetables,1.278,295.523,302.352,298.611,1.0,-1.2,-0.9,-0.8,-0.5
Nonalcoholic beverages and beverage materials,0.867,166.431,171.260,170.230,2.3,-0.6,-0.9,1.2,-0.6
Other food at home,1.807,210.259,210.815,212.056,0.9,0.6,-0.6,0.0,0.7
Food away from home(1),6.024,275.808,283.394,284.316,3.1,0.3,0.3,0.2,0.3
Energy,7.903,229.137,225.773,221.373,-3.4,-1.9,2.9,-0.6,-2.3
Energy commodities,4.595,260.848,259.310,246.818,-5.4,-4.8,5.4,-0.4,-3.5
Fuel oil,0.113,293.685,289.711,277.244,-5.6,-4.3,1.3,-0.3,-2.3
Motor fuel,4.411,257.041,255.584,243.163,-5.4,-4.9,5.6,-0.5,-3.6
Gasoline (all types),4.321,255.885,254.551,242.043,-5.4,-4.9,5.7,-0.5,-3.6
Energy services,3.308,207.631,202.101,206.219,-0.7,2.0,-0.1,-0.8,-0.7
Electricity,2.578,218.591,212.326,217.947,-0.3,2.6,0.0,-0.8,-0.8
Utility (piped) gas service,0.730,172.167,168.826,168.628,-2.1,-0.1,-0.8,-1.0,-0.3
All items less food and energy,78.860,257.697,262.590,263.177,2.1,0.2,0.1,0.1,0.3
Commodities less food and energy commodities,19.350,144.237,144.457,144.461,0.2,0.0,-0.3,-0.1,0.4
Apparel,2.997,125.382,124.429,123.749,-1.3,-0.5,-0.8,0.0,1.1
New vehicles,3.691,146.562,147.659,147.417,0.6,-0.2,0.1,0.1,0.1
Used cars and trucks,2.359,139.090,138.888,140.823,1.2,1.4,-1.3,-1.4,1.6
Medical care commodities,1.687,385.121,381.066,379.462,-1.5,-0.4,0.9,-0.4,-0.2
Alcoholic beverages,0.958,248.844,252.101,252.538,1.5,0.2,-0.2,0.4,0.3
Tobacco and smoking products,0.664,"1,060.067","1,108.299","1,109.099",4.6,0.1,-0.1,0.4,0.1
Services less energy services,59.511,328.068,336.204,337.197,2.8,0.3,0.3,0.2,0.3
Shelter,33.208,307.521,317.188,318.300,3.5,0.4,0.4,0.2,0.3
Rent of primary residence,7.901,318.318,329.333,330.648,3.9,0.4,0.4,0.2,0.4
Owners' equivalent rent of residences(2),23.900,314.472,324.143,325.189,3.4,0.3,0.3,0.3,0.3
Medical care services,6.961,518.307,531.566,532.956,2.8,0.3,0.2,0.5,0.4
Physicians' services,1.710,380.991,382.436,382.702,0.4,0.1,0.2,0.1,0.1
Hospital services(3),2.302,333.408,335.966,335.078,0.5,-0.3,-0.5,0.5,-0.1
Transportation services,5.936,323.646,326.397,326.667,0.9,0.1,0.1,0.1,0.0
Motor vehicle maintenance and repair(1),1.125,285.753,294.586,295.670,3.5,0.4,0.4,-0.2,0.4
Motor vehicle insurance,2.350,565.284,568.301,569.079,0.7,0.1,-0.2,-0.4,0.3
Airline fares,0.739,278.937,283.275,283.001,1.5,-0.1,-0.1,2.0,-0.9
