Expenditure category,RelativeimportanceDec.2018,Jan.2018,Dec.2018,Jan.2019,Jan.2018-Jan.2019,Dec.2018-Jan.2019,Oct.2018-Nov.2018,Nov.2018-Dec.2018,Dec.2018-Jan.2019
All items,100.000,247.867,251.233,251.712,1.6,0.2,0.0,0.0,0.0
Food,13.341,252.361,255.210,256.417,1.6,0.5,0.2,0.3,0.2
Food at home,7.286,239.828,239.989,241.381,0.6,0.6,0.1,0.3,0.1
Cereals and bakery products,0.962,272.273,274.321,275.050,1.0,0.3,0.6,0.4,-0.4
"Meats, poultry, fish, and eggs",1.597,247.284,247.327,248.169,0.4,0.3,0.3,0.1,0.6
Dairy and related products,0.729,217.897,216.652,217.079,-0.4,0.2,-0.2,0.2,-0.3
Fruits and vegetables,1.298,301.814,301.134,304.605,0.9,1.2,-0.1,1.4,-0.3
Nonalcoholic beverages and beverage materials,0.868,167.671,168.339,171.354,2.2,1.8,-0.3,0.2,0.8
Other food at home,1.832,209.611,209.739,210.006,0.2,0.1,0.2,-0.2,0.1
Food away from home(1),6.055,272.772,279.419,280.380,2.8,0.3,0.3,0.4,0.3
Energy,7.347,210.663,205.905,200.563,-4.8,-2.6,-2.8,-2.6,-3.1
Energy commodities,3.947,230.005,218.497,207.727,-9.7,-4.9,-5.0,-5.7,-5.3
Fuel oil,0.109,298.173,276.103,274.051,-8.1,-0.7,-2.9,-9.4,-1.3
Motor fuel,3.762,225.030,213.838,202.818,-9.9,-5.2,-5.1,-5.7,-5.5
Gasoline (all types),3.671,223.806,212.152,201.194,-10.1,-5.2,-5.2,-5.8,-5.5
Energy services,3.400,201.516,203.800,204.038,1.3,0.1,0.2,1.5,-0.5
Electricity,2.607,210.171,210.637,210.920,0.4,0.1,0.2,0.4,-0.6
Utility (piped) gas service,0.794,172.658,179.999,180.106,4.3,0.1,0.2,5.1,-0.3
All items less food and energy,79.312,254.638,259.083,260.122,2.2,0.4,0.2,0.2,0.2
Commodities less food and energy commodities,19.503,143.417,142.840,143.892,0.3,0.7,0.2,0.0,0.4
Apparel,2.959,122.266,120.526,122.422,0.1,1.6,-0.6,0.0,1.1
New vehicles,3.724,146.996,146.126,147.059,0.0,0.6,0.0,0.0,0.2
Used cars and trucks,2.391,136.555,138.069,138.800,1.6,0.5,2.5,-0.5,0.1
Medical care commodities,1.707,380.846,378.190,379.777,-0.3,0.4,0.5,-0.4,0.1
Alcoholic beverages,0.973,247.359,251.131,251.688,1.8,0.2,0.2,0.1,0.0
Tobacco and smoking products,0.661,"1,050.073","1,082.248","1,085.997",3.4,0.3,0.3,0.2,0.3
Services less energy services,59.809,323.500,331.478,332.444,2.8,0.3,0.2,0.2,0.2
Shelter,33.259,302.928,311.652,312.696,3.2,0.3,0.3,0.3,0.3
Rent of primary residence,7.943,314.788,324.815,325.597,3.4,0.2,0.3,0.2,0.3
Owners' equivalent rent of residences(2),24.054,310.828,320.038,320.789,3.2,0.2,0.3,0.2,0.3
Medical care services,6.974,513.135,522.506,525.698,2.4,0.6,0.4,0.4,0.3
Physicians' services,1.732,379.077,379.885,382.032,0.8,0.6,-0.1,0.1,0.4
Hospital services(3),2.340,328.635,334.964,336.225,2.3,0.4,0.5,0.5,-0.3
Transportation services,5.975,315.764,322.317,322.216,2.0,0.0,0.0,-0.1,-0.2
Motor vehicle maintenance and repair(1),1.128,283.305,289.705,290.758,2.6,0.4,0.4,-0.1,0.4
Motor vehicle insurance,2.415,554.166,572.824,572.950,3.4,0.0,-0.2,-0.1,-0.2
Airline fares,0.660,255.496,248.290,248.433,-2.8,0.1,-1.4,-1.3,-0.9
