Expenditure category,RelativeimportanceOct.2019,Nov.2018,Oct.2019,Nov.2019,Nov.2018-Nov.2019,Oct.2019-Nov.2019,Aug.2019-Sep.2019,Sep.2019-Oct.2019,Oct.2019-Nov.2019
All items,100.000,252.038,257.346,257.208,2.1,-0.1,0.0,0.4,0.3
Food,13.250,254.379,259.632,259.467,2.0,-0.1,0.1,0.2,0.1
Food at home,7.183,239.352,242.340,241.726,1.0,-0.3,0.0,0.3,0.1
Cereals and bakery products,0.946,273.240,276.470,276.166,1.1,-0.1,0.5,-0.1,0.1
"Meats, poultry, fish, and eggs",1.580,247.954,250.592,250.491,1.0,0.0,0.3,0.6,0.3
Dairy and related products,0.725,215.896,220.738,221.515,2.6,0.4,0.2,0.1,0.6
Fruits and vegetables,1.268,296.362,301.318,297.472,0.4,-1.3,-1.0,0.9,-0.7
Nonalcoholic beverages and beverage materials,0.860,167.891,170.842,170.675,1.7,-0.1,0.1,-0.3,0.6
Other food at home,1.804,210.407,211.492,211.250,0.4,-0.1,0.3,0.2,0.0
Food away from home(1),6.067,278.306,286.791,287.255,3.2,0.2,0.3,0.2,0.2
Energy,7.536,215.910,216.351,214.636,-0.6,-0.8,-1.4,2.7,0.8
Energy commodities,4.237,241.633,240.279,237.972,-1.5,-1.0,-2.3,3.5,1.1
Fuel oil,0.109,305.370,282.534,284.797,-6.7,0.8,-0.8,0.8,1.4
Motor fuel,4.059,236.934,236.346,233.851,-1.3,-1.1,-2.4,3.6,1.1
Gasoline (all types),3.973,235.381,235.168,232.575,-1.2,-1.1,-2.4,3.7,1.1
Energy services,3.299,200.148,202.556,201.387,0.6,-0.6,-0.1,1.8,0.4
Electricity,2.571,209.339,212.829,210.365,0.5,-1.2,0.0,1.6,0.3
Utility (piped) gas service,0.728,169.821,169.138,171.629,1.1,1.5,-0.7,2.4,1.1
All items less food and energy,79.214,259.105,265.059,265.108,2.3,0.0,0.1,0.2,0.2
Commodities less food and energy commodities,19.271,143.542,144.577,143.722,0.1,-0.6,-0.3,-0.1,0.0
Apparel,3.024,124.935,126.154,122.986,-1.6,-2.5,-0.4,-1.8,0.1
New vehicles,3.625,145.826,145.726,145.728,-0.1,0.0,-0.1,-0.2,-0.1
Used cars and trucks,2.340,138.010,138.407,137.407,-0.4,-0.7,-1.6,1.3,0.6
Medical care commodities,1.690,380.658,383.498,383.025,0.6,-0.1,-0.6,1.2,0.1
Alcoholic beverages,0.958,251.326,253.207,252.463,0.5,-0.3,-0.3,-0.3,-0.3
Tobacco and smoking products,0.676,"1,083.514","1,134.550","1,142.857",5.5,0.7,0.6,-0.4,0.8
Services less energy services,59.942,330.983,340.302,341.032,3.0,0.2,0.3,0.2,0.3
Shelter,33.418,310.950,320.762,321.267,3.3,0.2,0.3,0.1,0.3
Rent of primary residence,7.990,323.968,334.680,335.819,3.7,0.3,0.4,0.1,0.3
Owners' equivalent rent of residences(2),24.122,319.338,328.762,329.745,3.3,0.3,0.3,0.2,0.2
Medical care services,7.110,520.973,545.652,547.735,5.1,0.4,0.4,0.9,0.4
Physicians' services,1.713,379.872,384.901,385.010,1.4,0.0,0.4,0.2,0.1
Hospital services(3),2.349,334.242,344.363,345.227,3.3,0.3,0.0,1.4,0.3
Transportation services,5.911,324.168,326.582,326.686,0.8,0.0,0.3,0.1,0.0
Motor vehicle maintenance and repair(1),1.136,290.114,298.925,299.260,3.2,0.1,0.2,0.2,0.1
Motor vehicle insurance,2.354,573.338,571.975,571.987,-0.2,0.0,0.3,0.0,-0.2
Airline fares,0.700,263.809,269.871,268.994,2.0,-0.3,0.8,-0.4,-0.9
