Expenditure category,RelativeimportanceJun.2019,Jul.2018,Jun.2019,Jul.2019,Jul.2018-Jul.2019,Jun.2019-Jul.2019,Apr.2019-May2019,May2019-Jun.2019,Jun.2019-Jul.2019
All items,100.000,252.006,256.143,256.571,1.8,0.2,0.1,0.1,0.3
Food,13.232,253.746,258.064,258.274,1.8,0.1,0.3,0.0,0.0
Food at home,7.189,239.820,241.407,241.359,0.6,0.0,0.3,-0.2,-0.1
Cereals and bakery products,0.952,273.258,276.891,277.490,1.5,0.2,0.4,-0.6,0.3
"Meats, poultry, fish, and eggs",1.579,250.042,249.231,250.033,0.0,0.3,0.8,-0.7,0.1
Dairy and related products,0.718,215.622,217.433,217.626,0.9,0.1,0.7,0.3,-0.3
Fruits and vegetables,1.262,297.632,298.611,299.350,0.6,0.2,-0.8,-0.5,0.3
Nonalcoholic beverages and beverage materials,0.861,166.577,170.230,169.685,1.9,-0.3,1.2,-0.6,-0.4
Other food at home,1.817,210.736,212.056,210.941,0.1,-0.5,0.0,0.7,-0.7
Food away from home(1),6.043,276.125,284.316,284.891,3.2,0.2,0.2,0.3,0.2
Energy,7.748,227.107,221.373,222.492,-2.0,0.5,-0.6,-2.3,1.3
Energy commodities,4.373,257.338,246.818,248.629,-3.4,0.7,-0.4,-3.5,2.4
Fuel oil,0.108,296.602,277.244,278.773,-6.0,0.6,-0.3,-2.3,0.6
Motor fuel,4.196,253.424,243.163,245.042,-3.3,0.8,-0.5,-3.6,2.5
Gasoline (all types),4.108,252.232,242.043,244.000,-3.3,0.8,-0.5,-3.6,2.5
Energy services,3.375,207.091,206.219,206.651,-0.2,0.2,-0.8,-0.7,0.0
Electricity,2.645,217.900,217.947,219.083,0.5,0.5,-0.8,-0.8,0.6
Utility (piped) gas service,0.729,172.062,168.628,167.074,-2.9,-0.9,-1.0,-0.3,-1.8
All items less food and energy,79.021,257.867,263.177,263.566,2.2,0.1,0.1,0.3,0.3
Commodities less food and energy commodities,19.346,143.861,144.461,144.448,0.4,0.0,-0.1,0.4,0.2
Apparel,2.980,122.831,123.749,122.161,-0.5,-1.3,0.0,1.1,0.4
New vehicles,3.684,146.526,147.417,147.035,0.3,-0.3,0.1,0.1,-0.2
Used cars and trucks,2.392,140.687,140.823,142.756,1.5,1.4,-1.4,1.6,0.9
Medical care commodities,1.680,381.954,379.462,380.278,-0.4,0.2,-0.4,-0.2,0.2
Alcoholic beverages,0.959,248.469,252.538,253.129,1.9,0.2,0.4,0.3,0.4
Tobacco and smoking products,0.664,"1,062.895","1,109.099","1,120.066",5.4,1.0,0.4,0.1,1.0
Services less energy services,59.675,328.641,337.197,337.867,2.8,0.2,0.2,0.3,0.3
Shelter,33.318,308.393,318.300,319.136,3.5,0.3,0.2,0.3,0.3
Rent of primary residence,7.931,319.351,330.648,331.605,3.8,0.3,0.2,0.4,0.3
Owners' equivalent rent of residences(2),23.972,315.391,325.189,326.023,3.4,0.3,0.3,0.3,0.2
Medical care services,6.978,518.277,532.956,535.515,3.3,0.5,0.5,0.4,0.5
Physicians' services,1.711,380.404,382.702,383.047,0.7,0.1,0.1,0.1,0.2
Hospital services(3),2.296,334.033,335.078,336.604,0.8,0.5,0.5,-0.1,0.5
Transportation services,5.940,322.842,326.667,325.105,0.7,-0.5,0.1,0.0,0.3
Motor vehicle maintenance and repair(1),1.129,286.067,295.670,295.377,3.3,-0.1,-0.2,0.4,-0.1
Motor vehicle insurance,2.353,565.547,569.079,569.011,0.6,0.0,-0.4,0.3,0.3
Airline fares,0.738,264.994,283.001,268.314,1.3,-5.2,2.0,-0.9,2.3
