Expenditure category,RelativeimportanceSep.2019,Oct.2018,Sep.2019,Oct.2019,Oct.2018-Oct.2019,Sep.2019-Oct.2019,Jul.2019-Aug.2019,Aug.2019-Sep.2019,Sep.2019-Oct.2019
All items,100.000,252.885,256.759,257.346,1.8,0.2,0.1,0.0,0.4
Food,13.245,254.358,258.943,259.632,2.1,0.3,0.0,0.1,0.2
Food at home,7.176,239.882,241.543,242.340,1.0,0.3,-0.2,0.0,0.3
Cereals and bakery products,0.951,272.260,277.308,276.470,1.5,-0.3,-0.3,0.5,-0.1
"Meats, poultry, fish, and eggs",1.578,247.966,249.740,250.592,1.1,0.3,-0.7,0.3,0.6
Dairy and related products,0.724,216.800,219.771,220.738,1.8,0.4,0.2,0.2,0.1
Fruits and vegetables,1.254,298.531,297.309,301.318,0.9,1.3,-0.5,-1.0,0.9
Nonalcoholic beverages and beverage materials,0.861,169.570,170.630,170.842,0.8,0.1,0.0,0.1,-0.3
Other food at home,1.808,210.224,211.490,211.492,0.6,0.0,0.3,0.3,0.2
Food away from home(1),6.069,277.513,286.246,286.791,3.3,0.2,0.2,0.3,0.2
Energy,7.521,225.757,215.418,216.351,-4.2,0.4,-1.9,-1.4,2.7
Energy commodities,4.180,259.561,236.493,240.279,-7.4,1.6,-3.3,-2.3,3.5
Fuel oil,0.107,316.185,276.664,282.534,-10.6,2.1,-0.9,-0.8,0.8
Motor fuel,4.005,255.126,232.658,236.346,-7.4,1.6,-3.4,-2.4,3.6
Gasoline (all types),3.920,253.793,231.496,235.168,-7.3,1.6,-3.5,-2.4,3.7
Energy services,3.341,201.798,204.660,202.556,0.4,-1.0,-0.2,-0.1,1.8
Electricity,2.627,211.937,216.938,212.829,0.4,-1.9,-0.3,0.0,1.6
Utility (piped) gas service,0.714,168.770,165.562,169.138,0.2,2.2,0.1,-0.7,2.4
All items less food and energy,79.234,259.063,264.522,265.059,2.3,0.2,0.3,0.1,0.2
Commodities less food and energy commodities,19.318,144.134,144.596,144.577,0.3,0.0,0.2,-0.3,-0.1
Apparel,3.051,129.108,127.009,126.154,-2.3,-0.7,0.2,-0.4,-1.8
New vehicles,3.637,145.588,145.854,145.726,0.1,-0.1,-0.1,-0.1,-0.2
Used cars and trucks,2.349,136.450,138.653,138.407,1.4,-0.2,1.1,-1.6,1.3
Medical care commodities,1.676,379.662,379.530,383.498,1.0,1.0,0.3,-0.6,1.2
Alcoholic beverages,0.960,250.757,253.261,253.207,1.0,0.0,0.1,-0.3,-0.3
Tobacco and smoking products,0.674,"1,081.193","1,128.109","1,134.550",4.9,0.6,0.5,0.6,-0.4
Services less energy services,59.916,330.465,339.377,340.302,3.0,0.3,0.3,0.3,0.2
Shelter,33.475,310.382,320.569,320.762,3.3,0.1,0.2,0.3,0.1
Rent of primary residence,7.988,322.628,333.834,334.680,3.7,0.3,0.2,0.4,0.1
Owners' equivalent rent of residences(2),24.117,318.215,327.933,328.762,3.3,0.3,0.2,0.3,0.2
Medical care services,7.063,519.152,540.813,545.652,5.1,0.9,0.9,0.4,0.9
Physicians' services,1.715,380.489,384.454,384.901,1.2,0.1,0.0,0.4,0.2
Hospital services(3),2.321,332.853,339.512,344.363,3.5,1.4,1.4,0.0,1.4
Transportation services,5.890,324.131,324.717,326.582,0.8,0.6,0.4,0.3,0.1
Motor vehicle maintenance and repair(1),1.137,289.057,298.441,298.925,3.4,0.2,0.8,0.2,0.2
Motor vehicle insurance,2.347,573.050,569.106,571.975,-0.2,0.5,0.1,0.3,0.0
Airline fares,0.684,265.930,263.149,269.871,1.5,2.6,1.7,0.8,-0.4
