Expenditure category,RelativeimportanceJan.2019,Feb.2018,Jan.2019,Feb.2019,Feb.2018-Feb.2019,Jan.2019-Feb.2019,Nov.2018-Dec.2018,Dec.2018-Jan.2019,Jan.2019-Feb.2019
All items,100.000,248.991,251.712,252.776,1.5,0.4,0.0,0.0,0.2
Food,13.379,252.266,256.417,257.222,2.0,0.3,0.3,0.2,0.4
Food at home,7.315,239.190,241.381,242.057,1.2,0.3,0.3,0.1,0.4
Cereals and bakery products,0.962,271.245,275.050,275.996,1.8,0.3,0.4,-0.4,0.7
"Meats, poultry, fish, and eggs",1.600,247.095,248.169,248.597,0.6,0.2,0.1,0.6,0.2
Dairy and related products,0.729,216.412,217.079,216.595,0.1,-0.2,0.2,-0.3,0.3
Fruits and vegetables,1.310,298.503,304.605,304.621,2.0,0.0,1.4,-0.3,0.9
Nonalcoholic beverages and beverage materials,0.882,167.736,171.354,172.488,2.8,0.7,0.2,0.8,0.7
Other food at home,1.831,210.115,210.006,211.168,0.5,0.6,-0.2,0.1,0.3
Food away from home(1),6.064,273.435,280.380,281.373,2.9,0.4,0.4,0.3,0.4
Energy,7.143,213.519,200.563,202.740,-5.0,1.1,-2.6,-3.1,0.4
Energy commodities,3.745,233.414,207.727,213.270,-8.6,2.7,-5.7,-5.3,1.5
Fuel oil,0.108,292.718,274.051,285.668,-2.4,4.2,-9.4,-1.3,2.6
Motor fuel,3.561,228.666,202.818,208.242,-8.9,2.7,-5.7,-5.5,1.5
Gasoline (all types),3.475,227.420,201.194,206.749,-9.1,2.8,-5.8,-5.5,1.5
Energy services,3.398,203.932,204.038,202.690,-0.6,-0.7,1.5,-0.5,-0.8
Electricity,2.605,210.970,210.920,210.939,0.0,0.0,0.4,-0.6,-0.3
Utility (piped) gas service,0.793,179.557,180.106,174.950,-2.6,-2.9,5.1,-0.3,-2.4
All items less food and energy,79.478,255.783,260.122,261.114,2.1,0.4,0.2,0.2,0.1
Commodities less food and energy commodities,19.609,144.412,143.892,144.609,0.1,0.5,0.0,0.4,-0.2
Apparel,3.000,126.587,122.422,125.631,-0.8,2.6,0.0,1.1,0.3
New vehicles,3.740,146.807,147.059,147.226,0.3,0.1,0.0,0.2,-0.2
Used cars and trucks,2.399,137.768,138.800,139.301,1.1,0.4,-0.5,0.1,-0.7
Medical care commodities,1.711,381.975,379.777,377.949,-1.1,-0.5,-0.4,0.1,-1.0
Alcoholic beverages,0.973,248.166,251.688,252.599,1.8,0.4,0.1,0.0,0.2
Tobacco and smoking products,0.662,"1,049.343","1,085.997","1,088.195",3.7,0.2,0.2,0.3,0.5
Services less energy services,59.869,324.690,332.444,333.586,2.7,0.3,0.2,0.2,0.2
Shelter,33.307,303.653,312.696,313.880,3.4,0.4,0.3,0.3,0.3
Rent of primary residence,7.947,315.277,325.597,326.351,3.5,0.2,0.2,0.3,0.3
Owners' equivalent rent of residences(2),24.064,311.280,320.789,321.627,3.3,0.3,0.2,0.3,0.3
Medical care services,7.004,515.205,525.698,527.683,2.4,0.4,0.4,0.3,0.0
Physicians' services,1.738,380.470,382.032,383.009,0.7,0.3,0.1,0.4,0.1
Hospital services(3),2.344,329.701,336.225,336.234,2.0,0.0,0.5,-0.3,-0.7
Transportation services,5.962,320.089,322.216,323.575,1.1,0.4,-0.1,-0.2,-0.1
Motor vehicle maintenance and repair(1),1.130,284.032,290.758,291.993,2.8,0.4,-0.1,0.4,0.4
Motor vehicle insurance,2.411,563.365,572.950,574.447,2.0,0.3,-0.1,-0.2,0.1
Airline fares,0.659,265.272,248.433,259.049,-2.3,4.3,-1.3,-0.9,0.5
