Expenditure category,RelativeimportanceAug.2019,Sep.2018,Aug.2019,Sep.2019,Sep.2018-Sep.2019,Aug.2019-Sep.2019,Jun.2019-Jul.2019,Jul.2019-Aug.2019,Aug.2019-Sep.2019
All items,100.000,252.439,256.558,256.759,1.7,0.1,0.3,0.1,0.0
Food,13.228,254.393,258.410,258.943,1.8,0.2,0.0,0.0,0.1
Food at home,7.170,240.125,241.153,241.543,0.6,0.2,-0.1,-0.2,0.0
Cereals and bakery products,0.950,273.729,276.619,277.308,1.3,0.2,0.3,-0.3,0.5
"Meats, poultry, fish, and eggs",1.576,248.876,249.277,249.740,0.3,0.2,0.1,-0.7,0.3
Dairy and related products,0.721,216.638,218.758,219.771,1.4,0.5,-0.3,0.2,0.2
Fruits and vegetables,1.260,298.432,298.600,297.309,-0.4,-0.4,0.3,-0.5,-1.0
Nonalcoholic beverages and beverage materials,0.859,168.428,170.067,170.630,1.3,0.3,-0.4,0.0,0.1
Other food at home,1.804,210.590,210.841,211.490,0.4,0.3,-0.7,0.3,0.3
Food away from home(1),6.058,277.258,285.507,286.246,3.2,0.3,0.2,0.2,0.3
Energy,7.581,226.165,216.978,215.418,-4.8,-0.7,1.3,-1.9,-1.4
Energy commodities,4.217,257.575,238.431,236.493,-8.2,-0.8,2.4,-3.3,-2.3
Fuel oil,0.105,302.419,271.766,276.664,-8.5,1.8,0.6,-0.9,-0.8
Motor fuel,4.044,253.432,234.746,232.658,-8.2,-0.9,2.5,-3.4,-2.4
Gasoline (all types),3.959,252.216,233.625,231.496,-8.2,-0.9,2.5,-3.5,-2.4
Energy services,3.364,204.819,205.900,204.660,-0.1,-0.6,0.0,-0.2,-0.1
Electricity,2.639,215.536,217.811,216.938,0.7,-0.4,0.6,-0.3,0.0
Utility (piped) gas service,0.725,170.100,167.803,165.562,-2.7,-1.3,-1.8,0.1,-0.7
All items less food and energy,79.190,258.429,264.169,264.522,2.4,0.1,0.3,0.3,0.1
Commodities less food and energy commodities,19.361,143.641,144.806,144.596,0.7,-0.1,0.2,0.2,-0.3
Apparel,2.972,127.440,123.641,127.009,-0.3,2.7,0.4,0.2,-0.4
New vehicles,3.655,145.715,146.456,145.854,0.1,-0.4,-0.2,-0.1,-0.1
Used cars and trucks,2.442,135.130,144.026,138.653,2.6,-3.7,0.9,1.1,-1.6
Medical care commodities,1.691,380.535,382.519,379.530,-0.3,-0.8,0.2,0.3,-0.6
Alcoholic beverages,0.961,249.921,253.314,253.261,1.3,0.0,0.4,0.1,-0.3
Tobacco and smoking products,0.672,"1,065.017","1,124.082","1,128.109",5.9,0.4,1.0,0.5,0.6
Services less energy services,59.829,329.761,338.619,339.377,2.9,0.2,0.3,0.3,0.3
Shelter,33.408,309.702,319.679,320.569,3.5,0.3,0.3,0.2,0.3
Rent of primary residence,7.966,321.533,332.638,333.834,3.8,0.4,0.3,0.2,0.4
Owners' equivalent rent of residences(2),24.065,317.149,326.977,327.933,3.4,0.3,0.2,0.2,0.3
Medical care services,7.046,518.108,539.066,540.813,4.4,0.3,0.5,0.9,0.4
Physicians' services,1.709,380.928,382.858,384.454,0.9,0.4,0.2,0.0,0.4
Hospital services(3),2.324,332.595,339.781,339.512,2.1,-0.1,0.5,1.4,0.0
Transportation services,5.889,322.241,324.396,324.717,0.8,0.1,0.3,0.4,0.3
Motor vehicle maintenance and repair(1),1.135,288.457,297.884,298.441,3.5,0.2,-0.1,0.8,0.2
Motor vehicle insurance,2.349,567.838,568.972,569.106,0.2,0.0,0.3,0.1,0.3
Airline fares,0.676,258.196,259.849,263.149,1.9,1.3,2.3,1.7,0.8
