Expenditure category,RelativeimportanceJan.2016,Feb.2015,Jan.2016,Feb.2016,Feb.2015-Feb.2016,Jan.2016-Feb.2016,Nov.2015-Dec.2015,Dec.2015-Jan.2016,Jan.2016-Feb.2016
All items,100.000,234.722,236.916,237.111,1.0,0.1,-0.1,0.0,-0.2
Food,14.033,246.680,248.631,248.800,0.9,0.1,-0.2,0.0,0.2
Food at home,8.239,242.906,242.017,242.062,-0.3,0.0,-0.4,-0.2,0.2
Cereals and bakery products,1.101,273.052,274.580,274.801,0.6,0.1,-0.1,-0.2,0.2
"Meats, poultry, fish, and eggs",1.848,260.863,251.783,251.290,-3.7,-0.2,-1.1,-1.3,-0.1
Dairy and related products,0.845,225.535,220.869,219.732,-2.6,-0.5,0.0,-0.2,0.0
Fruits and vegetables,1.433,295.686,306.796,306.778,3.8,0.0,-0.2,1.3,0.8
Nonalcoholic beverages and beverage materials,0.983,168.901,168.718,169.248,0.2,0.3,-0.1,-0.2,0.6
Other food at home,2.029,208.954,208.810,209.385,0.2,0.3,-0.2,-0.2,-0.1
Food away from home(1),5.794,253.719,259.958,260.319,2.6,0.1,0.1,0.3,0.1
Energy,6.686,196.597,180.171,172.061,-12.5,-4.5,-2.8,-2.8,-6.0
Energy commodities,3.080,201.485,175.931,159.404,-20.9,-9.4,-4.8,-4.8,-12.5
Fuel oil(1),0.087,279.040,195.029,189.373,-32.1,-2.9,-7.8,-6.5,-2.9
Motor fuel,2.907,196.272,172.378,155.361,-20.8,-9.9,-4.8,-4.8,-12.9
Gasoline (all types),2.863,194.883,171.574,154.564,-20.7,-9.9,-4.8,-4.8,-13.0
Energy services(2),3.605,200.685,192.148,191.532,-4.6,-0.3,-0.7,-0.7,0.1
Electricity(2),2.848,208.696,203.169,202.528,-3.0,-0.3,-0.4,-0.7,-0.2
Utility (piped) gas service(2),0.758,173.978,156.513,155.981,-10.3,-0.3,-1.9,-0.6,1.0
All items less food and energy,79.281,240.083,244.528,245.680,2.3,0.5,0.2,0.3,0.3
Commodities less food and energy commodities,19.609,145.761,144.725,145.856,0.1,0.8,-0.1,0.2,0.3
Apparel,3.073,124.457,121.878,125.567,0.9,3.0,-0.2,0.6,1.6
New vehicles,3.752,147.345,147.456,148.268,0.6,0.6,0.0,0.3,0.2
Used cars and trucks,2.100,143.390,142.668,144.024,0.4,1.0,0.2,0.1,0.2
Medical care commodities,1.816,353.484,357.414,361.435,2.2,1.1,0.1,0.4,0.6
Alcoholic beverages,0.962,239.269,241.535,242.437,1.3,0.4,-0.1,0.5,0.2
Tobacco and smoking products,0.656,918.602,952.536,951.247,3.6,-0.1,0.3,0.2,0.2
Services less energy services,59.673,297.750,305.803,306.932,3.1,0.4,0.2,0.3,0.3
Shelter,33.225,275.390,283.498,284.435,3.3,0.3,0.2,0.3,0.3
Rent of primary residence(2),7.741,282.389,292.004,292.777,3.7,0.3,0.2,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.250,282.579,290.884,291.505,3.2,0.2,0.2,0.2,0.3
Medical care services,6.603,471.138,485.321,489.432,3.9,0.8,0.1,0.5,0.5
Physicians' services(2),1.681,361.242,370.911,372.091,3.0,0.3,-0.2,0.1,0.3
Hospital services(2)(4),2.208,286.308,297.252,301.007,5.1,1.3,0.1,0.4,0.5
Transportation services,5.873,287.914,294.420,295.533,2.6,0.4,0.3,0.4,0.2
Motor vehicle maintenance and repair(1),1.166,269.136,273.097,273.072,1.5,0.0,0.3,0.0,0.0
Motor vehicle insurance,2.381,454.335,475.456,477.297,5.1,0.4,0.5,0.4,0.4
Airline fare,0.667,288.626,278.334,283.520,-1.8,1.9,-0.1,1.2,0.1
