Expenditure category,RelativeimportanceOct.2016,Nov.2015,Oct.2016,Nov.2016,Nov.2015-Nov.2016,Oct.2016-Nov.2016,Aug.2016-Sep.2016,Sep.2016-Oct.2016,Oct.2016-Nov.2016
All items,100.000,237.336,241.729,241.353,1.7,-0.2,0.3,0.4,0.2
Food,13.723,248.306,248.073,247.435,-0.4,-0.3,0.0,0.0,0.0
Food at home,7.945,242.240,238.145,236.930,-2.2,-0.5,-0.1,-0.2,-0.1
Cereals and bakery products,1.071,273.752,272.502,271.896,-0.7,-0.2,0.1,0.0,0.1
"Meats, poultry, fish, and eggs",1.760,259.141,244.770,243.633,-6.0,-0.5,-0.2,-0.7,-0.1
Dairy and related products,0.818,220.613,218.183,216.773,-1.7,-0.6,0.1,0.3,-0.6
Fruits and vegetables,1.353,298.037,295.616,293.554,-1.5,-0.7,-0.3,0.2,-0.2
Nonalcoholic beverages and beverage materials,0.952,167.498,166.793,166.258,-0.7,-0.3,-0.4,-0.4,0.3
Other food at home,1.990,209.315,208.985,207.703,-0.8,-0.6,0.1,-0.1,-0.3
Food away from home(1),5.777,258.805,264.459,264.699,2.3,0.1,0.2,0.1,0.1
Energy,7.084,189.267,194.786,191.402,1.1,-1.7,2.9,3.5,1.2
Energy commodities,3.456,195.291,201.412,196.855,0.8,-2.3,5.5,6.7,2.5
Fuel oil(1),0.098,226.289,224.453,221.808,-2.0,-1.2,2.4,5.9,-1.2
Motor fuel,3.276,191.680,198.212,193.432,0.9,-2.4,5.7,6.9,2.6
Gasoline (all types),3.227,190.701,197.357,192.522,1.0,-2.4,5.8,7.0,2.7
Energy services(2),3.628,191.941,197.279,194.838,1.5,-1.2,0.7,0.5,-0.1
Electricity(2),2.835,202.479,206.397,202.984,0.2,-1.7,0.7,0.4,0.0
Utility (piped) gas service(2),0.792,157.750,167.049,167.469,6.2,0.3,0.8,0.9,-0.4
All items less food and energy,79.193,244.075,249.218,249.227,2.1,0.0,0.1,0.1,0.2
Commodities less food and energy commodities,19.348,145.624,145.701,144.593,-0.7,-0.8,-0.1,0.1,-0.3
Apparel,3.220,127.039,130.328,127.377,0.3,-2.3,-0.7,0.3,-0.5
New vehicles,3.664,146.804,146.896,147.027,0.2,0.1,-0.1,0.2,-0.1
Used cars and trucks,2.019,143.247,139.914,137.789,-3.8,-1.5,-0.3,-0.1,0.3
Medical care commodities,1.861,356.286,373.792,371.540,4.3,-0.6,0.6,0.1,-0.5
Alcoholic beverages,0.952,240.512,243.674,243.395,1.2,-0.1,0.3,0.4,-0.2
Tobacco and smoking products,0.657,943.157,973.535,975.110,3.4,0.2,0.4,0.3,0.4
Services less energy services,59.845,304.441,312.919,313.702,3.0,0.3,0.2,0.2,0.3
Shelter,33.472,281.932,291.407,291.953,3.6,0.2,0.4,0.4,0.3
Rent of primary residence(2),7.805,290.322,300.400,301.587,3.9,0.4,0.3,0.4,0.3
Owners' equivalent rent of residences(2)(3),24.401,289.480,298.645,299.738,3.5,0.4,0.4,0.3,0.3
Medical care services,6.664,481.894,499.717,500.697,3.9,0.2,0.0,0.0,0.2
Physicians' services(2),1.694,370.599,381.406,384.110,3.6,0.7,0.0,-0.1,0.6
Hospital services(2)(4),2.238,294.765,307.433,307.403,4.3,0.0,0.0,0.2,-0.1
Transportation services,5.858,294.800,299.622,302.164,2.5,0.8,0.0,-0.2,0.4
Motor vehicle maintenance and repair(1),1.153,272.090,275.645,277.348,1.9,0.6,-0.2,0.1,0.6
Motor vehicle insurance,2.437,471.933,496.658,503.440,6.7,1.4,0.4,0.2,1.0
Airline fare,0.636,294.143,270.922,274.761,-6.6,1.4,0.4,-2.2,-1.3
