Expenditure category,RelativeimportanceMay2016,Jun.2015,May2016,Jun.2016,Jun.2015-Jun.2016,May2016-Jun.2016,Mar.2016-Apr.2016,Apr.2016-May2016,May2016-Jun.2016
All items,100.000,238.638,240.236,241.038,1.0,0.3,0.4,0.2,0.2
Food,13.796,246.680,247.860,247.482,0.3,-0.2,0.2,-0.2,-0.1
Food at home,8.035,241.494,239.354,238.430,-1.3,-0.4,0.1,-0.5,-0.3
Cereals and bakery products,1.080,274.479,273.074,273.379,-0.4,0.1,0.3,-0.4,0.1
"Meats, poultry, fish, and eggs",1.802,261.189,248.989,248.016,-5.0,-0.4,-0.1,-0.5,-0.7
Dairy and related products,0.815,219.696,216.122,214.815,-2.2,-0.6,0.4,-0.6,-0.3
Fruits and vegetables,1.363,288.968,295.974,292.733,1.3,-1.1,-0.5,-0.7,-0.1
Nonalcoholic beverages and beverage materials,0.960,166.824,167.053,165.940,-0.5,-0.7,0.3,-0.1,-0.7
Other food at home,2.015,209.787,210.280,210.392,0.3,0.1,0.5,-0.5,0.0
Food away from home(1),5.761,255.846,262.074,262.529,2.6,0.2,0.2,0.2,0.2
Energy,7.051,220.861,192.673,200.035,-9.4,3.8,3.4,1.2,1.3
Energy commodities,3.477,247.867,201.355,209.953,-15.3,4.3,7.8,2.4,3.3
Fuel oil(1),0.091,267.649,208.488,215.295,-19.6,3.3,1.9,6.2,3.3
Motor fuel,3.304,245.147,198.667,207.389,-15.4,4.4,8.0,2.3,3.3
Gasoline (all types),3.258,244.226,198.011,206.681,-15.4,4.4,8.1,2.3,3.3
Energy services(2),3.574,204.843,193.152,199.691,-2.5,3.4,-0.1,0.2,-0.5
Electricity(2),2.834,217.468,205.038,213.474,-1.8,4.1,-0.3,-0.2,-0.5
Utility (piped) gas service(2),0.740,164.205,154.994,155.914,-5.0,0.6,0.6,1.7,-0.4
All items less food and energy,79.153,242.354,247.554,247.821,2.3,0.1,0.2,0.2,0.2
Commodities less food and energy commodities,19.541,146.444,146.251,145.574,-0.6,-0.5,-0.1,-0.2,-0.2
Apparel,3.177,124.954,127.758,125.472,0.4,-1.8,-0.3,0.8,-0.4
New vehicles,3.705,147.845,147.646,147.245,-0.4,-0.3,-0.3,-0.1,-0.2
Used cars and trucks,2.137,150.970,147.223,146.303,-3.1,-0.6,-0.3,-1.3,-1.1
Medical care commodities,1.816,354.524,362.439,366.033,3.2,1.0,0.5,-0.2,1.1
Alcoholic beverages,0.953,238.911,242.430,242.133,1.3,-0.1,0.2,-0.1,0.1
Tobacco and smoking products,0.648,929.542,953.769,962.838,3.6,1.0,0.1,0.2,0.6
Services less energy services,59.612,301.040,309.771,310.685,3.2,0.3,0.3,0.3,0.3
Shelter,33.162,278.461,286.924,288.069,3.5,0.4,0.3,0.4,0.3
Rent of primary residence(2),7.713,285.031,295.036,295.902,3.8,0.3,0.3,0.4,0.4
Owners' equivalent rent of residences(2)(3),24.151,285.436,293.759,294.702,3.2,0.3,0.3,0.3,0.3
Medical care services,6.619,475.546,493.291,493.503,3.8,0.0,0.3,0.5,0.2
Physicians' services(2),1.682,366.541,376.263,377.678,3.0,0.4,-0.1,1.0,0.3
Hospital services(2)(4),2.210,288.959,301.713,301.277,4.3,-0.1,0.3,0.7,0.1
Transportation services,5.949,293.930,302.381,302.768,3.0,0.1,0.7,0.3,0.3
Motor vehicle maintenance and repair(1),1.159,270.981,275.331,275.563,1.7,0.1,0.3,0.2,0.1
Motor vehicle insurance,2.405,457.774,487.021,487.631,6.5,0.1,1.2,0.9,0.2
Airline fare,0.732,324.953,309.540,309.679,-4.7,0.0,1.1,-1.5,1.6
