Expenditure category,RelativeimportanceFeb.2016,Mar.2015,Feb.2016,Mar.2016,Mar.2015-Mar.2016,Feb.2016-Mar.2016,Dec.2015-Jan.2016,Jan.2016-Feb.2016,Feb.2016-Mar.2016
All items,100.000,236.119,237.111,238.132,0.9,0.4,0.0,-0.2,0.1
Food,14.031,246.045,248.800,247.978,0.8,-0.3,0.0,0.2,-0.2
Food at home,8.233,241.588,242.062,240.329,-0.5,-0.7,-0.2,0.2,-0.5
Cereals and bakery products,1.101,273.812,274.801,273.162,-0.2,-0.6,-0.2,0.2,-0.6
"Meats, poultry, fish, and eggs",1.842,260.077,251.290,250.837,-3.6,-0.2,-1.3,-0.1,-0.3
Dairy and related products,0.840,224.449,219.732,218.131,-2.8,-0.7,-0.2,0.0,-0.5
Fruits and vegetables,1.432,289.858,306.778,298.162,2.9,-2.8,1.3,0.8,-1.9
Nonalcoholic beverages and beverage materials,0.985,167.706,169.248,168.187,0.3,-0.6,-0.2,0.6,-0.3
Other food at home,2.033,208.463,209.385,209.743,0.6,0.2,-0.2,-0.1,0.4
Food away from home(1),5.798,254.108,260.319,260.883,2.7,0.2,0.3,0.1,0.2
Energy,6.379,204.731,172.061,179.017,-12.6,4.0,-2.8,-6.0,0.9
Energy commodities,2.789,221.577,159.404,174.500,-21.2,9.5,-4.8,-12.5,1.9
Fuel oil(1),0.084,295.603,189.373,192.617,-34.8,1.7,-6.5,-2.9,1.7
Motor fuel,2.618,216.691,155.361,171.050,-21.1,10.1,-4.8,-12.9,2.2
Gasoline (all types),2.577,215.442,154.564,170.356,-20.9,10.2,-4.8,-13.0,2.2
Energy services(2),3.591,197.727,191.532,191.203,-3.3,-0.2,-0.7,0.1,0.2
Electricity(2),2.837,205.894,202.528,202.487,-1.7,0.0,-0.7,-0.2,0.4
Utility (piped) gas service(2),0.754,170.592,155.981,154.822,-9.2,-0.7,-0.6,1.0,-0.7
All items less food and energy,79.589,241.067,245.680,246.358,2.2,0.3,0.3,0.3,0.1
Commodities less food and energy commodities,19.746,146.887,145.856,146.367,-0.4,0.4,0.2,0.3,-0.2
Apparel,3.163,128.245,125.567,127.427,-0.6,1.5,0.6,1.6,-1.1
New vehicles,3.770,147.574,148.268,148.227,0.4,0.0,0.3,0.2,0.0
Used cars and trucks,2.118,147.023,144.024,146.178,-0.6,1.5,0.1,0.2,-0.1
Medical care commodities,1.834,353.995,361.435,362.386,2.4,0.3,0.4,0.6,0.3
Alcoholic beverages,0.965,239.437,242.437,242.230,1.2,-0.1,0.5,0.2,0.0
Tobacco and smoking products,0.655,919.240,951.247,953.512,3.7,0.2,0.2,0.2,0.5
Services less energy services,59.844,298.612,306.932,307.703,3.0,0.3,0.3,0.3,0.2
Shelter,33.308,276.360,284.435,285.196,3.2,0.3,0.3,0.3,0.2
Rent of primary residence(2),7.755,283.130,292.777,293.489,3.7,0.2,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.281,283.244,291.505,292.080,3.1,0.2,0.2,0.3,0.2
Medical care services,6.654,472.645,489.432,489.520,3.6,0.0,0.5,0.5,0.1
Physicians' services(2),1.685,363.531,372.091,372.672,2.5,0.2,0.1,0.3,0.2
Hospital services(2)(4),2.234,287.420,301.007,300.303,4.5,-0.2,0.4,0.5,-0.2
Transportation services,5.891,288.349,295.533,296.363,2.8,0.3,0.4,0.2,0.2
Motor vehicle maintenance and repair(1),1.165,268.907,273.072,273.980,1.9,0.3,0.0,0.0,0.3
Motor vehicle insurance,2.388,455.373,477.297,478.644,5.1,0.3,0.4,0.4,0.6
Airline fare,0.679,287.362,283.520,283.584,-1.3,0.0,1.2,0.1,-0.9
