Expenditure category,RelativeimportanceMar.2016,Apr.2015,Mar.2016,Apr.2016,Apr.2015-Apr.2016,Mar.2016-Apr.2016,Jan.2016-Feb.2016,Feb.2016-Mar.2016,Mar.2016-Apr.2016
All items,100.000,236.599,238.132,239.261,1.1,0.5,-0.2,0.1,0.4
Food,13.925,246.121,247.978,248.413,0.9,0.2,0.2,-0.2,0.2
Food at home,8.139,241.305,240.329,240.635,-0.3,0.1,0.2,-0.5,0.1
Cereals and bakery products,1.090,273.366,273.162,273.924,0.2,0.3,0.2,-0.6,0.3
"Meats, poultry, fish, and eggs",1.831,258.991,250.837,250.839,-3.1,0.0,-0.1,-0.3,-0.1
Dairy and related products,0.830,222.691,218.131,218.315,-2.0,0.1,0.0,-0.5,0.4
Fruits and vegetables,1.386,290.178,298.162,296.217,2.1,-0.7,0.8,-1.9,-0.5
Nonalcoholic beverages and beverage materials,0.975,168.401,168.187,168.771,0.2,0.3,0.6,-0.3,0.3
Other food at home,2.027,208.648,209.743,211.009,1.1,0.6,-0.1,0.4,0.5
Food away from home(1),5.785,254.727,260.883,261.517,2.7,0.2,0.1,0.2,0.2
Energy,6.609,203.715,179.017,185.652,-8.9,3.7,-6.0,0.9,3.4
Energy commodities,3.040,220.732,174.500,189.322,-14.2,8.5,-12.5,1.9,7.8
Fuel oil(1),0.085,270.850,192.617,196.349,-27.5,1.9,-2.9,1.7,1.9
Motor fuel,2.870,216.595,171.050,186.428,-13.9,9.0,-12.9,2.2,8.0
Gasoline (all types),2.828,215.461,170.356,185.808,-13.8,9.1,-13.0,2.2,8.1
Energy services(2),3.569,196.502,191.203,190.495,-3.1,-0.4,0.1,0.2,-0.1
Electricity(2),2.824,206.179,202.487,201.778,-2.1,-0.4,-0.2,0.4,-0.3
Utility (piped) gas service(2),0.746,164.839,154.822,154.130,-6.5,-0.4,1.0,-0.7,0.6
All items less food and energy,79.466,241.802,246.358,246.992,2.1,0.3,0.3,0.1,0.2
Commodities less food and energy commodities,19.730,147.303,146.367,146.565,-0.5,0.1,0.3,-0.2,-0.1
Apparel,3.196,128.593,127.427,127.770,-0.6,0.3,1.6,-1.1,-0.3
New vehicles,3.753,147.844,148.227,147.895,0.0,-0.2,0.2,0.0,-0.3
Used cars and trucks,2.141,149.788,146.178,147.489,-1.5,0.9,0.2,-0.1,-0.3
Medical care commodities,1.831,354.339,362.386,363.843,2.7,0.4,0.6,0.3,0.5
Alcoholic beverages,0.960,239.237,242.230,242.407,1.3,0.1,0.2,0.0,0.2
Tobacco and smoking products,0.653,917.843,953.512,952.185,3.7,-0.1,0.2,0.5,0.1
Services less energy services,59.737,299.544,307.703,308.619,3.0,0.3,0.3,0.2,0.3
Shelter,33.253,276.978,285.196,285.836,3.2,0.2,0.3,0.2,0.3
Rent of primary residence(2),7.741,283.598,293.489,294.175,3.7,0.2,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.225,283.920,292.080,292.855,3.1,0.3,0.3,0.2,0.3
Medical care services,6.626,476.163,489.520,490.848,3.1,0.3,0.5,0.1,0.3
Physicians' services(2),1.681,365.146,372.672,372.961,2.1,0.1,0.3,0.2,-0.1
Hospital services(2)(4),2.219,291.775,300.303,300.733,3.1,0.1,0.5,-0.2,0.3
Transportation services,5.882,289.971,296.363,299.635,3.3,1.1,0.2,0.2,0.7
Motor vehicle maintenance and repair(1),1.164,269.948,273.980,274.864,1.8,0.3,0.0,0.3,0.3
Motor vehicle insurance,2.385,456.564,478.644,483.823,6.0,1.1,0.4,0.6,1.2
Airline fare,0.676,294.603,283.584,295.909,0.4,4.3,0.1,-0.9,1.1
