Expenditure category,RelativeimportanceSep.2016,Oct.2015,Sep.2016,Oct.2016,Oct.2015-Oct.2016,Sep.2016-Oct.2016,Jul.2016-Aug.2016,Aug.2016-Sep.2016,Sep.2016-Oct.2016
All items,100.000,237.838,241.428,241.729,1.6,0.1,0.2,0.3,0.4
Food,13.731,249.052,247.917,248.073,-0.4,0.1,0.0,0.0,0.0
Food at home,7.955,243.779,238.120,238.145,-2.3,0.0,-0.2,-0.1,-0.2
Cereals and bakery products,1.071,275.753,272.089,272.502,-1.2,0.2,0.0,0.1,0.0
"Meats, poultry, fish, and eggs",1.776,261.568,246.642,244.770,-6.4,-0.8,-0.4,-0.2,-0.7
Dairy and related products,0.813,221.874,216.693,218.183,-1.7,0.7,0.0,0.1,0.3
Fruits and vegetables,1.345,297.931,293.423,295.616,-0.8,0.7,0.0,-0.3,0.2
Nonalcoholic beverages and beverage materials,0.952,169.045,166.573,166.793,-1.3,0.1,-0.1,-0.4,-0.4
Other food at home,1.997,210.636,209.426,208.985,-0.8,-0.2,-0.2,0.1,-0.1
Food away from home(1),5.777,258.363,264.102,264.459,2.4,0.1,0.2,0.2,0.1
Energy,7.132,194.501,195.852,194.786,0.1,-0.5,0.0,2.9,3.5
Energy commodities,3.395,203.338,197.603,201.412,-0.9,1.9,-0.9,5.5,6.7
Fuel oil(1),0.092,229.191,212.019,224.453,-2.1,5.9,-2.5,2.4,5.9
Motor fuel,3.221,199.996,194.660,198.212,-0.9,1.8,-0.9,5.7,6.9
Gasoline (all types),3.173,199.077,193.817,197.357,-0.9,1.8,-0.9,5.8,7.0
Energy services(2),3.737,194.713,202.941,197.279,1.3,-2.8,0.8,0.7,0.5
Electricity(2),2.949,205.604,214.381,206.397,0.4,-3.7,0.5,0.7,0.4
Utility (piped) gas service(2),0.788,159.422,165.881,167.049,4.8,0.7,2.1,0.8,0.9
All items less food and energy,79.137,243.985,248.731,249.218,2.1,0.2,0.3,0.1,0.1
Commodities less food and energy commodities,19.353,146.504,145.562,145.701,-0.5,0.1,0.1,-0.1,0.1
Apparel,3.177,129.446,128.429,130.328,0.7,1.5,0.2,-0.7,0.3
New vehicles,3.658,146.516,146.499,146.896,0.3,0.3,0.0,-0.1,0.2
Used cars and trucks,2.058,145.821,142.482,139.914,-4.1,-1.8,-0.6,-0.3,-0.1
Medical care commodities,1.865,355.894,374.142,373.792,5.0,-0.1,1.4,0.6,0.1
Alcoholic beverages,0.949,240.656,242.614,243.674,1.3,0.4,0.0,0.3,0.4
Tobacco and smoking products,0.656,940.901,970.921,973.535,3.5,0.3,0.7,0.4,0.3
Services less energy services,59.784,303.694,312.205,312.919,3.0,0.2,0.3,0.2,0.2
Shelter,33.403,281.499,290.445,291.407,3.5,0.3,0.3,0.4,0.4
Rent of primary residence(2),7.777,289.428,298.962,300.400,3.8,0.5,0.3,0.3,0.4
Owners' equivalent rent of residences(2)(3),24.349,288.700,297.636,298.645,3.4,0.3,0.3,0.4,0.3
Medical care services,6.669,480.245,499.483,499.717,4.1,0.0,1.0,0.0,0.0
Physicians' services(2),1.700,366.652,382.134,381.406,4.0,-0.2,0.7,0.0,-0.1
Hospital services(2)(4),2.234,295.282,306.404,307.433,4.1,0.3,1.7,0.0,0.2
Transportation services,5.836,291.969,298.129,299.622,2.6,0.5,0.1,0.0,-0.2
Motor vehicle maintenance and repair(1),1.154,271.804,275.331,275.645,1.4,0.1,0.0,-0.2,0.1
Motor vehicle insurance,2.418,465.401,492.119,496.658,6.7,0.9,0.5,0.4,0.2
Airline fare,0.629,285.837,267.457,270.922,-5.2,1.3,-0.1,0.4,-2.2
