Expenditure category,RelativeimportanceJun.2016,Jul.2015,Jun.2016,Jul.2016,Jul.2015-Jul.2016,Jun.2016-Jul.2016,Apr.2016-May2016,May2016-Jun.2016,Jun.2016-Jul.2016
All items,100.000,238.654,241.038,240.647,0.8,-0.2,0.2,0.2,0.0
Food,13.729,247.003,247.482,247.554,0.2,0.0,-0.2,-0.1,0.0
Food at home,7.978,241.993,238.430,238.207,-1.6,-0.1,-0.5,-0.3,-0.2
Cereals and bakery products,1.078,275.526,273.379,273.418,-0.8,0.0,-0.4,0.1,-0.2
"Meats, poultry, fish, and eggs",1.789,261.639,248.016,246.875,-5.6,-0.5,-0.5,-0.7,-0.6
Dairy and related products,0.808,221.443,214.815,214.605,-3.1,-0.1,-0.6,-0.3,-0.4
Fruits and vegetables,1.344,287.816,292.733,291.960,1.4,-0.3,-0.7,-0.1,0.3
Nonalcoholic beverages and beverage materials,0.950,167.421,165.940,166.648,-0.5,0.4,-0.1,-0.7,0.3
Other food at home,2.009,210.251,210.392,210.486,0.1,0.0,-0.5,0.0,-0.2
Food away from home(1),5.752,255.905,262.529,263.051,2.8,0.2,0.2,0.2,0.2
Energy,7.296,219.852,200.035,195.940,-10.9,-2.0,1.2,1.3,-1.6
Energy commodities,3.613,246.977,209.953,198.978,-19.4,-5.2,2.4,3.3,-4.4
Fuel oil(1),0.094,258.620,215.295,212.482,-17.8,-1.3,6.2,3.3,-1.3
Motor fuel,3.437,244.584,207.389,196.053,-19.8,-5.5,2.3,3.3,-4.6
Gasoline (all types),3.389,243.736,206.681,195.243,-19.9,-5.5,2.3,3.3,-4.7
Energy services(2),3.683,203.674,199.691,201.832,-0.9,1.1,0.2,-0.5,1.0
Electricity(2),2.941,216.406,213.474,214.193,-1.0,0.3,-0.2,-0.5,0.5
Utility (piped) gas service(2),0.742,162.733,155.914,162.129,-0.4,4.0,1.7,-0.4,3.1
All items less food and energy,78.975,242.436,247.821,247.768,2.2,0.0,0.2,0.2,0.1
Commodities less food and energy commodities,19.386,145.722,145.574,144.883,-0.6,-0.5,-0.2,-0.2,-0.1
Apparel,3.109,122.607,125.472,123.030,0.3,-1.9,0.8,-0.4,0.0
New vehicles,3.683,147.154,147.245,147.119,0.0,-0.1,-0.1,-0.2,0.2
Used cars and trucks,2.117,151.119,146.303,145.457,-3.7,-0.6,-1.3,-1.1,-1.0
Medical care commodities,1.828,355.235,366.033,368.147,3.6,0.6,-0.2,1.1,0.4
Alcoholic beverages,0.948,239.092,242.133,242.032,1.2,0.0,-0.1,0.1,-0.1
Tobacco and smoking products,0.652,935.913,962.838,962.630,2.9,0.0,0.2,0.6,-0.5
Services less energy services,59.589,301.665,310.685,311.076,3.1,0.1,0.3,0.3,0.2
Shelter,33.183,279.559,288.069,288.780,3.3,0.2,0.4,0.3,0.2
Rent of primary residence(2),7.710,286.090,295.902,296.862,3.8,0.3,0.4,0.4,0.3
Owners' equivalent rent of residences(2)(3),24.148,286.220,294.702,295.554,3.3,0.3,0.3,0.3,0.3
Medical care services,6.600,475.956,493.503,495.492,4.1,0.4,0.5,0.2,0.5
Physicians' services(2),1.683,367.450,377.678,380.083,3.4,0.6,1.0,0.3,0.7
Hospital services(2)(4),2.200,288.895,301.277,302.161,4.6,0.3,0.7,0.1,0.4
Transportation services,5.936,292.119,302.768,300.823,3.0,-0.6,0.3,0.3,-0.2
Motor vehicle maintenance and repair(1),1.156,271.175,275.563,276.058,1.8,0.2,0.2,0.1,0.2
Motor vehicle insurance,2.400,460.041,487.631,489.064,6.3,0.3,0.9,0.2,0.4
Airline fare,0.729,297.324,309.679,283.501,-4.6,-8.5,-1.5,1.6,-4.9
