Expenditure category,RelativeimportanceApr.2016,May2015,Apr.2016,May2016,May2015-May2016,Apr.2016-May2016,Feb.2016-Mar.2016,Mar.2016-Apr.2016,Apr.2016-May2016
All items,100.000,237.805,239.261,240.236,1.0,0.4,0.1,0.4,0.2
Food,13.883,246.187,248.413,247.860,0.7,-0.2,-0.2,0.2,-0.2
Food at home,8.111,241.019,240.635,239.354,-0.7,-0.5,-0.5,0.1,-0.5
Cereals and bakery products,1.088,273.595,273.924,273.074,-0.2,-0.3,-0.6,0.3,-0.4
"Meats, poultry, fish, and eggs",1.823,257.106,250.839,248.989,-3.2,-0.7,-0.3,-0.1,-0.5
Dairy and related products,0.827,221.039,218.315,216.122,-2.2,-1.0,-0.5,0.4,-0.6
Fruits and vegetables,1.370,293.011,296.217,295.974,1.0,-0.1,-1.9,-0.5,-0.7
Nonalcoholic beverages and beverage materials,0.974,166.795,168.771,167.053,0.2,-1.0,-0.3,0.3,-0.1
Other food at home,2.030,209.272,211.009,210.280,0.5,-0.3,0.4,0.5,-0.5
Food away from home(1),5.772,255.322,261.517,262.074,2.6,0.2,0.2,0.2,0.2
Energy,6.821,214.330,185.652,192.673,-10.1,3.8,0.9,3.4,1.2
Energy commodities,3.282,242.315,189.322,201.355,-16.9,6.4,1.9,7.8,2.4
Fuel oil(1),0.086,272.874,196.349,208.488,-23.6,6.2,1.7,1.9,6.2
Motor fuel,3.113,239.141,186.428,198.667,-16.9,6.6,2.2,8.0,2.3
Gasoline (all types),3.070,238.170,185.808,198.011,-16.9,6.6,2.2,8.1,2.3
Energy services(2),3.539,197.083,190.495,193.152,-2.0,1.4,0.2,-0.1,0.2
Electricity(2),2.801,207.683,201.778,205.038,-1.3,1.6,0.4,-0.3,-0.2
Utility (piped) gas service(2),0.739,162.639,154.130,154.994,-4.7,0.6,-0.7,0.6,1.7
All items less food and energy,79.295,242.119,246.992,247.554,2.2,0.2,0.1,0.2,0.2
Commodities less food and energy commodities,19.663,147.014,146.565,146.251,-0.5,-0.2,-0.2,-0.1,-0.2
Apparel,3.190,127.083,127.770,127.758,0.5,0.0,-1.1,-0.3,0.8
New vehicles,3.727,147.889,147.895,147.646,-0.2,-0.2,0.0,-0.3,-0.1
Used cars and trucks,2.150,150.713,147.489,147.223,-2.3,-0.2,-0.1,-0.3,-1.3
Medical care commodities,1.830,354.647,363.843,362.439,2.2,-0.4,0.3,0.5,-0.2
Alcoholic beverages,0.956,239.800,242.407,242.430,1.1,0.0,0.0,0.2,-0.1
Tobacco and smoking products,0.650,920.372,952.185,953.769,3.6,0.2,0.5,0.1,0.2
Services less energy services,59.632,300.264,308.619,309.771,3.2,0.4,0.2,0.3,0.3
Shelter,33.171,277.563,285.836,286.924,3.4,0.4,0.2,0.3,0.4
Rent of primary residence(2),7.722,284.245,294.175,295.036,3.8,0.3,0.3,0.3,0.4
Owners' equivalent rent of residences(2)(3),24.175,284.473,292.855,293.759,3.3,0.3,0.2,0.3,0.3
Medical care services,6.613,476.800,490.848,493.291,3.5,0.5,0.1,0.3,0.5
Physicians' services(2),1.674,365.214,372.961,376.263,3.0,0.9,0.2,-0.1,1.0
Hospital services(2)(4),2.212,292.257,300.733,301.713,3.2,0.3,-0.2,0.3,0.7
Transportation services,5.919,292.994,299.635,302.381,3.2,0.9,0.2,0.7,0.3
Motor vehicle maintenance and repair(1),1.162,270.764,274.864,275.331,1.7,0.2,0.3,0.3,0.2
Motor vehicle insurance,2.399,456.995,483.823,487.021,6.6,0.7,0.6,1.2,0.9
Airline fare,0.702,319.401,295.909,309.540,-3.1,4.6,-0.9,1.1,-1.5
