Expenditure category,RelativeimportanceJul.2016,Aug.2015,Jul.2016,Aug.2016,Aug.2015-Aug.2016,Jul.2016-Aug.2016,May2016-Jun.2016,Jun.2016-Jul.2016,Jul.2016-Aug.2016
All items,100.000,238.316,240.647,240.853,1.1,0.1,0.2,0.0,0.2
Food,13.756,247.671,247.554,247.719,0.0,0.1,-0.1,0.0,0.0
Food at home,7.983,242.746,238.207,238.088,-1.9,0.0,-0.3,-0.2,-0.2
Cereals and bakery products,1.080,274.968,273.418,273.104,-0.7,-0.1,0.1,-0.2,0.0
"Meats, poultry, fish, and eggs",1.783,263.601,246.875,246.547,-6.5,-0.1,-0.7,-0.6,-0.4
Dairy and related products,0.808,220.716,214.605,215.506,-2.4,0.4,-0.3,-0.4,0.0
Fruits and vegetables,1.343,291.344,291.960,292.156,0.3,0.1,-0.1,0.3,0.0
Nonalcoholic beverages and beverage materials,0.956,168.017,166.648,167.044,-0.6,0.2,-0.7,0.3,-0.1
Other food at home,2.013,209.892,210.486,209.761,-0.1,-0.3,0.0,-0.2,-0.2
Food away from home(1),5.772,256.449,263.051,263.649,2.8,0.2,0.2,0.2,0.2
Energy,7.158,213.248,195.940,193.524,-9.2,-1.2,1.3,-1.6,0.0
Energy commodities,3.430,233.619,198.978,193.119,-17.3,-2.9,3.3,-4.4,-0.9
Fuel oil(1),0.093,237.580,212.482,207.143,-12.8,-2.5,3.3,-1.3,-2.5
Motor fuel,3.255,231.305,196.053,190.209,-17.8,-3.0,3.3,-4.6,-0.9
Gasoline (all types),3.207,230.513,195.243,189.375,-17.8,-3.0,3.3,-4.7,-0.9
Energy services(2),3.728,203.246,201.832,202.521,-0.4,0.3,-0.5,1.0,0.8
Electricity(2),2.956,215.786,214.193,214.222,-0.7,0.0,-0.5,0.5,0.5
Utility (piped) gas service(2),0.773,162.885,162.129,164.715,1.1,1.6,-0.4,3.1,2.1
All items less food and energy,79.086,242.651,247.768,248.284,2.3,0.2,0.2,0.1,0.3
Commodities less food and energy commodities,19.326,145.808,144.883,145.151,-0.5,0.2,-0.2,-0.1,0.1
Apparel,3.054,124.547,123.030,124.871,0.3,1.5,-0.4,0.0,0.2
New vehicles,3.686,146.704,147.119,146.713,0.0,-0.3,-0.2,0.2,0.0
Used cars and trucks,2.108,150.908,145.457,144.858,-4.0,-0.4,-1.1,-1.0,-0.6
Medical care commodities,1.841,356.334,368.147,372.393,4.5,1.2,1.1,0.4,1.1
Alcoholic beverages,0.949,239.313,242.032,242.009,1.1,0.0,0.1,-0.1,0.0
Tobacco and smoking products,0.653,939.082,962.630,969.004,3.2,0.7,0.6,-0.5,0.7
Services less energy services,59.761,301.963,311.076,311.749,3.2,0.2,0.3,0.2,0.3
Shelter,33.320,280.093,288.780,289.605,3.4,0.3,0.3,0.2,0.3
Rent of primary residence(2),7.748,287.068,296.862,297.916,3.8,0.4,0.4,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.257,287.026,295.554,296.521,3.3,0.3,0.3,0.3,0.3
Medical care services,6.637,475.189,495.492,499.217,5.1,0.8,0.2,0.5,0.9
Physicians' services(2),1.696,366.365,380.083,382.156,4.3,0.5,0.3,0.7,0.7
Hospital services(2)(4),2.210,288.181,302.161,305.972,6.2,1.3,0.1,0.4,1.7
Transportation services,5.908,289.798,300.823,298.876,3.1,-0.6,0.3,-0.2,0.1
Motor vehicle maintenance and repair(1),1.160,270.838,276.058,275.923,1.9,0.0,0.1,0.2,0.0
Motor vehicle insurance,2.411,461.046,489.064,491.047,6.5,0.4,0.2,0.4,0.5
Airline fare,0.669,277.768,283.501,268.040,-3.5,-5.5,1.6,-4.9,-0.1
