Expenditure category,RelativeimportanceJun.2020,Jul.2019,Jun.2020,Jul.2020,Jul.2019-Jul.2020,Jun.2020-Jul.2020,Apr.2020-May2020,May2020-Jun.2020,Jun.2020-Jul.2020
All items,100.000,256.571,257.797,259.101,1.0,0.5,-0.1,0.6,0.6
Food,14.252,258.274,269.770,268.863,4.1,-0.3,0.7,0.6,-0.4
Food at home,7.971,241.359,255.042,252.563,4.6,-1.0,1.0,0.7,-1.1
Cereals and bakery products,1.020,277.490,286.092,285.204,2.8,-0.3,-0.2,0.4,-0.4
"Meats, poultry, fish, and eggs",1.864,250.033,281.139,271.028,8.4,-3.6,3.7,2.0,-3.8
Dairy and related products,0.789,217.626,228.437,227.114,4.4,-0.6,1.0,-0.4,-0.8
Fruits and vegetables,1.350,299.350,305.393,306.123,2.3,0.2,0.5,0.4,0.1
Nonalcoholic beverages and beverage materials,0.949,169.685,179.190,178.167,5.0,-0.6,0.0,0.7,-0.5
Other food at home,1.999,210.941,219.311,219.254,3.9,0.0,0.0,0.2,-0.2
Food away from home(1),6.282,284.891,293.219,294.599,3.4,0.5,0.4,0.5,0.5
Energy,6.069,222.492,193.379,197.665,-11.2,2.2,-1.8,5.1,2.5
Energy commodities,2.908,248.629,189.613,198.365,-20.2,4.6,-3.5,11.7,5.3
Fuel oil,0.071,278.773,194.267,203.084,-27.2,4.5,-6.3,10.2,4.3
Motor fuel,2.778,245.042,186.494,195.317,-20.3,4.7,-3.5,12.0,5.5
Gasoline (all types),2.715,244.000,185.422,194.397,-20.3,4.8,-3.5,12.3,5.6
Energy services,3.161,206.651,206.368,206.388,-0.1,0.0,-0.5,-0.2,0.0
Electricity,2.494,219.083,218.191,218.820,-0.1,0.3,-0.8,-0.3,0.3
Utility (piped) gas service,0.668,167.074,168.267,166.536,-0.3,-1.0,0.8,0.0,-1.0
All items less food and energy,79.679,263.566,266.302,267.703,1.6,0.5,-0.1,0.2,0.6
Commodities less food and energy commodities,20.071,144.448,142.908,143.696,-0.5,0.6,-0.2,0.2,0.7
Apparel,2.698,122.161,114.734,114.267,-6.5,-0.4,-2.3,1.7,1.1
New vehicles,3.745,147.035,147.108,147.803,0.5,0.5,0.3,0.0,0.8
Used cars and trucks,2.521,142.756,136.915,141.493,-0.9,3.3,-0.4,-1.2,2.3
Medical care commodities,1.624,380.278,384.259,384.377,1.1,0.0,0.1,0.2,0.0
Alcoholic beverages,1.043,253.129,258.033,256.960,1.5,-0.4,0.8,0.2,-0.3
Tobacco and smoking products,0.597,"1,120.066","1,165.761","1,178.054",5.2,1.1,-0.2,1.1,0.8
Services less energy services,59.607,337.867,343.713,345.493,2.3,0.5,0.0,0.3,0.6
Shelter,33.468,319.136,325.814,326.580,2.3,0.2,0.2,0.1,0.2
Rent of primary residence,7.871,331.605,341.294,341.950,3.1,0.2,0.3,0.1,0.2
Owners' equivalent rent of residences(2),24.277,326.023,334.424,335.144,2.8,0.2,0.3,0.1,0.2
Medical care services,7.372,535.515,564.754,567.299,5.9,0.5,0.6,0.5,0.5
Physicians' services,1.831,383.047,390.718,392.928,2.6,0.6,0.7,0.5,0.7
Hospital services(3),2.229,336.604,352.794,353.381,5.0,0.2,0.1,0.4,0.2
Transportation services,5.046,325.105,303.942,312.938,-3.7,3.0,-3.6,2.1,3.6
Motor vehicle maintenance and repair(1),1.095,295.377,305.736,305.573,3.5,-0.1,0.4,0.1,-0.1
Motor vehicle insurance,1.514,569.011,511.639,558.276,-1.9,9.1,-8.9,5.1,9.3
Airline fares,0.640,268.314,206.066,204.785,-23.7,-0.6,-4.9,2.6,5.4
