Expenditure category,RelativeimportanceDec.2019,Jan.2019,Dec.2019,Jan.2020,Jan.2019-Jan.2020,Dec.2019-Jan.2020,Oct.2019-Nov.2019,Nov.2019-Dec.2019,Dec.2019-Jan.2020
All items,100.000,251.712,256.974,257.971,2.5,0.4,0.2,0.2,0.1
Food,13.771,256.417,259.823,261.057,1.8,0.5,0.1,0.2,0.2
Food at home,7.579,241.381,241.750,243.110,0.7,0.6,0.1,0.0,0.1
Cereals and bakery products,0.984,275.050,275.036,275.916,0.3,0.3,0.1,-0.3,-0.4
"Meats, poultry, fish, and eggs",1.682,248.169,252.893,252.905,1.9,0.0,0.3,1.1,0.0
Dairy and related products,0.768,217.079,221.924,223.035,2.7,0.5,0.5,0.0,0.2
Fruits and vegetables,1.317,304.605,297.105,301.679,-1.0,1.5,-0.3,-0.3,0.1
Nonalcoholic beverages and beverage materials,0.903,171.354,170.006,172.313,0.6,1.4,0.5,-0.2,0.4
Other food at home,1.925,210.006,210.432,210.763,0.4,0.2,0.0,-0.3,0.2
Food away from home(1),6.191,280.380,288.078,289.137,3.1,0.4,0.2,0.3,0.4
Energy,6.706,200.563,212.982,213.043,6.2,0.0,0.8,1.6,-0.7
Energy commodities,3.610,207.727,234.651,232.906,12.1,-0.7,1.2,3.0,-1.6
Fuel oil,0.106,274.051,288.766,291.872,6.5,1.1,1.0,1.1,-0.4
Motor fuel,3.440,202.818,230.189,228.343,12.6,-0.8,1.3,3.1,-1.6
Gasoline (all types),3.362,201.194,228.857,227.010,12.8,-0.8,1.2,3.1,-1.6
Energy services,3.096,204.038,201.446,203.318,-0.4,0.9,0.2,-0.2,0.6
Electricity,2.405,210.920,209.725,212.018,0.5,1.1,0.2,-0.2,0.4
Utility (piped) gas service,0.691,180.106,173.652,174.272,-3.2,0.4,0.5,-0.5,1.0
All items less food and energy,79.524,260.122,264.935,266.004,2.3,0.4,0.2,0.1,0.2
Commodities less food and energy commodities,20.137,143.892,142.920,143.532,-0.3,0.4,-0.1,0.0,0.0
Apparel,2.810,122.422,119.111,120.853,-1.3,1.5,0.6,0.1,0.7
New vehicles,3.734,147.059,146.220,147.253,0.1,0.7,-0.1,0.1,0.0
Used cars and trucks,2.533,138.800,137.125,136.064,-2.0,-0.8,-0.7,-0.4,-1.2
Medical care commodities,1.643,379.777,387.533,386.331,1.7,-0.3,0.0,1.0,-0.6
Alcoholic beverages,1.023,251.688,252.361,253.592,0.8,0.5,-0.3,0.1,0.3
Tobacco and smoking products,0.587,"1,085.997","1,141.600","1,144.642",5.4,0.3,0.4,0.3,0.3
Services less energy services,59.387,332.444,341.347,342.694,3.1,0.4,0.3,0.2,0.3
Shelter,33.158,312.696,321.766,323.053,3.3,0.4,0.3,0.2,0.4
Rent of primary residence,7.792,325.597,336.789,337.825,3.8,0.3,0.3,0.3,0.4
Owners' equivalent rent of residences(2),24.071,320.789,330.527,331.522,3.3,0.3,0.2,0.2,0.3
Medical care services,7.190,525.698,549.077,552.721,5.1,0.7,0.4,0.3,0.3
Physicians' services,1.811,382.032,385.092,384.715,0.7,-0.1,0.1,0.1,-0.4
Hospital services(3),2.186,336.225,344.933,349.152,3.8,1.2,0.3,0.2,0.8
Transportation services,5.399,322.216,324.209,324.500,0.7,0.1,0.0,-0.1,0.3
Motor vehicle maintenance and repair(1),1.077,290.758,299.614,300.112,3.2,0.2,0.1,0.1,0.2
Motor vehicle insurance,1.701,572.950,572.979,572.693,0.0,0.0,-0.1,0.1,-0.2
Airline fares,0.786,248.433,252.411,255.200,2.7,1.1,-0.2,-0.6,0.7
