Expenditure category,RelativeimportanceJul.2020,Aug.2019,Jul.2020,Aug.2020,Aug.2019-Aug.2020,Jul.2020-Aug.2020,May2020-Jun.2020,Jun.2020-Jul.2020,Jul.2020-Aug.2020
All items,100.000,256.558,259.101,259.918,1.3,0.3,0.6,0.6,0.4
Food,14.133,258.410,268.863,269.079,4.1,0.1,0.6,-0.4,0.1
Food at home,7.853,241.153,252.563,252.352,4.6,-0.1,0.7,-1.1,-0.1
Cereals and bakery products,1.012,276.619,285.204,284.472,2.8,-0.3,0.4,-0.4,-0.2
"Meats, poultry, fish, and eggs",1.788,249.277,271.028,266.969,7.1,-1.5,2.0,-3.8,-1.7
Dairy and related products,0.780,218.758,227.114,231.231,5.7,1.8,-0.4,-0.8,1.5
Fruits and vegetables,1.346,298.600,306.123,306.754,2.7,0.2,0.4,0.1,0.2
Nonalcoholic beverages and beverage materials,0.939,170.067,178.167,178.684,5.1,0.3,0.7,-0.5,0.1
Other food at home,1.989,210.841,219.254,219.607,4.2,0.2,0.2,-0.2,0.5
Food away from home(1),6.279,285.507,294.599,295.437,3.5,0.3,0.5,0.5,0.3
Energy,6.172,216.978,197.665,197.362,-9.0,-0.2,5.1,2.5,0.9
Energy commodities,3.027,238.431,198.365,198.496,-16.7,0.1,11.7,5.3,2.0
Fuel oil,0.074,271.766,203.084,207.623,-23.6,2.2,10.2,4.3,3.9
Motor fuel,2.895,234.746,195.317,195.352,-16.8,0.0,12.0,5.5,2.0
Gasoline (all types),2.832,233.625,194.397,194.449,-16.8,0.0,12.3,5.6,2.0
Energy services,3.146,205.900,206.388,205.636,-0.1,-0.4,-0.2,0.0,-0.2
Electricity,2.488,217.811,218.820,217.680,-0.1,-0.5,-0.3,0.3,-0.2
Utility (piped) gas service,0.658,167.803,166.536,166.916,-0.5,0.2,0.0,-1.0,-0.2
All items less food and energy,79.695,264.169,267.703,268.756,1.7,0.4,0.2,0.6,0.4
Commodities less food and energy commodities,20.080,144.806,143.696,145.391,0.4,1.2,0.2,0.7,1.0
Apparel,2.673,123.641,114.267,116.299,-5.9,1.8,1.7,1.1,0.6
New vehicles,3.744,146.456,147.803,147.412,0.7,-0.3,0.0,0.8,0.0
Used cars and trucks,2.592,144.026,141.493,149.765,4.0,5.8,-1.2,2.3,5.4
Medical care commodities,1.616,382.519,384.377,385.409,0.8,0.3,0.2,0.0,-0.1
Alcoholic beverages,1.033,253.314,256.960,257.678,1.7,0.3,0.2,-0.3,0.3
Tobacco and smoking products,0.600,"1,124.082","1,178.054","1,180.537",5.0,0.2,1.1,0.8,0.4
Services less energy services,59.615,338.619,345.493,345.936,2.2,0.1,0.3,0.6,0.2
Shelter,33.378,319.679,326.580,326.997,2.3,0.1,0.1,0.2,0.1
Rent of primary residence,7.846,332.638,341.950,342.444,2.9,0.1,0.1,0.2,0.1
Owners' equivalent rent of residences(2),24.207,326.977,335.144,335.763,2.7,0.2,0.1,0.2,0.1
Medical care services,7.368,539.066,567.299,567.771,5.3,0.1,0.5,0.5,0.1
Physicians' services,1.832,382.858,392.928,393.025,2.7,0.0,0.5,0.7,0.1
Hospital services(3),2.222,339.781,353.381,353.332,4.0,0.0,0.4,0.2,0.1
Transportation services,5.169,324.396,312.938,311.422,-4.0,-0.5,2.1,3.6,0.0
Motor vehicle maintenance and repair(1),1.089,297.884,305.573,307.554,3.2,0.6,0.1,-0.1,0.6
Motor vehicle insurance,1.644,568.972,558.276,560.623,-1.5,0.4,5.1,9.3,0.5
Airline fares,0.632,259.849,204.785,199.496,-23.2,-2.6,2.6,5.4,1.2
