Expenditure category,RelativeimportanceMay2017,Jun.2016,May2017,Jun.2017,Jun.2016-Jun.2017,May2017-Jun.2017,Mar.2017-Apr.2017,Apr.2017-May2017,May2017-Jun.2017
All items,100.000,241.018,244.733,244.955,1.6,0.1,0.2,-0.1,0.0
Food,13.661,247.482,250.016,249.653,0.9,-0.1,0.2,0.2,0.0
Food at home,7.875,238.430,238.964,238.300,-0.1,-0.3,0.2,0.1,-0.1
Cereals and bakery products,1.058,273.379,272.445,272.429,-0.3,0.0,-0.3,0.3,-0.1
"Meats, poultry, fish, and eggs",1.732,248.016,243.815,245.756,-0.9,0.8,-0.6,0.3,0.6
Dairy and related products,0.804,214.815,217.015,215.192,0.2,-0.8,-0.2,0.3,-0.5
Fruits and vegetables,1.350,292.733,298.470,294.788,0.7,-1.2,2.2,-0.6,-0.1
Nonalcoholic beverages and beverage materials,0.951,165.940,168.555,167.242,0.8,-0.8,-0.3,1.1,-0.6
Other food at home,1.981,210.392,210.630,210.119,-0.1,-0.2,0.1,-0.1,-0.3
Food away from home(1),5.786,262.529,268.128,268.225,2.2,0.0,0.2,0.2,0.0
Energy,7.297,200.035,203.132,204.646,2.3,0.7,1.1,-2.7,-1.6
Energy commodities,3.620,209.953,213.613,209.905,0.0,-1.7,1.3,-6.2,-2.7
Fuel oil(1),0.100,215.295,233.216,224.542,4.3,-3.7,-0.3,-2.8,-3.7
Motor fuel,3.433,207.389,210.313,206.760,-0.3,-1.7,1.2,-6.4,-2.8
Gasoline (all types),3.383,206.681,209.441,205.881,-0.4,-1.7,1.2,-6.4,-2.8
Energy services(2),3.676,199.691,202.401,208.852,4.6,3.2,0.9,0.7,-0.5
Electricity(2),2.857,213.474,210.541,218.865,2.5,4.0,0.6,0.3,-0.6
Utility (piped) gas service(2),0.820,155.914,174.901,175.807,12.8,0.5,2.2,1.9,-0.2
All items less food and energy,79.042,247.794,251.835,252.014,1.7,0.1,0.1,0.1,0.1
Commodities less food and energy commodities,19.034,145.517,145.119,144.577,-0.6,-0.4,-0.2,-0.3,-0.1
Apparel,3.089,125.472,126.563,124.630,-0.7,-1.5,-0.3,-0.8,-0.1
New vehicles,3.647,147.245,148.033,147.262,0.0,-0.5,-0.2,-0.2,-0.3
Used cars and trucks,2.008,146.303,140.875,140.015,-4.3,-0.6,-0.5,-0.2,-0.7
Medical care commodities,1.837,364.501,373.631,376.182,3.2,0.7,-0.8,0.4,0.7
Alcoholic beverages,0.944,242.133,244.785,244.597,1.0,-0.1,0.3,-0.3,0.2
Tobacco and smoking products,0.684,962.838,"1,026.125","1,028.777",6.8,0.3,4.2,0.1,-0.4
Services less energy services,60.009,310.680,317.670,318.345,2.5,0.2,0.1,0.2,0.2
Shelter,33.639,288.069,296.503,297.446,3.3,0.3,0.3,0.2,0.2
Rent of primary residence(2),7.863,295.902,306.379,307.314,3.9,0.3,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.478,294.702,303.312,304.218,3.2,0.3,0.2,0.2,0.3
Medical care services,6.660,493.438,505.611,505.813,2.5,0.0,0.0,-0.1,0.3
Physicians' services(2),1.664,377.678,379.207,377.747,0.0,-0.4,-1.2,-0.2,-0.4
Hospital services(2)(4),2.277,301.277,316.653,318.313,5.7,0.5,1.0,0.1,0.9
Transportation services,6.009,302.768,311.178,312.012,3.1,0.3,-0.2,0.3,0.2
Motor vehicle maintenance and repair(1),1.159,275.563,280.388,279.294,1.4,-0.4,0.2,0.1,-0.4
Motor vehicle insurance,2.526,487.631,521.149,525.397,7.7,0.8,-0.4,1.1,1.0
Airline fares,0.697,309.679,300.609,296.384,-4.3,-1.4,-0.6,-2.7,-2.7
