Expenditure category,RelativeimportanceDec.2016,Jan.2016,Dec.2016,Jan.2017,Jan.2016-Jan.2017,Dec.2016-Jan.2017,Oct.2016-Nov.2016,Nov.2016-Dec.2016,Dec.2016-Jan.2017
All items,100.000,236.916,241.432,242.839,2.5,0.6,0.2,0.3,0.6
Food,13.698,248.631,247.313,248.242,-0.2,0.4,0.0,0.0,0.1
Food at home,7.899,242.017,236.464,237.365,-1.9,0.4,-0.1,-0.2,0.0
Cereals and bakery products,1.068,274.580,271.374,272.922,-0.6,0.6,0.1,-0.1,-0.1
"Meats, poultry, fish, and eggs",1.740,251.783,241.612,242.596,-3.6,0.4,-0.2,-0.5,0.7
Dairy and related products,0.818,220.869,217.929,219.804,-0.5,0.9,-0.2,0.1,0.8
Fruits and vegetables,1.338,306.796,291.957,291.679,-4.9,-0.1,-0.2,-0.6,-1.7
Nonalcoholic beverages and beverage materials,0.949,168.718,165.965,167.074,-1.0,0.7,0.1,-0.2,-0.3
Other food at home,1.986,208.810,208.301,208.804,0.0,0.2,-0.2,0.3,0.2
Food away from home(1),5.799,259.958,265.104,266.079,2.4,0.4,0.1,0.2,0.4
Energy,7.039,180.171,193.306,199.608,10.8,3.3,1.0,1.2,4.0
Energy commodities,3.447,175.931,200.633,211.110,20.0,5.2,2.0,2.4,7.6
Fuel oil(1),0.102,195.029,235.127,243.347,24.8,3.5,-1.2,6.0,3.5
Motor fuel,3.257,172.378,196.831,207.280,20.2,5.3,2.0,2.4,7.9
Gasoline (all types),3.208,171.574,195.915,206.360,20.3,5.3,2.1,2.4,7.8
Energy services(2),3.592,192.148,195.079,197.767,2.9,1.4,0.0,0.0,0.3
Electricity(2),2.794,203.169,203.146,205.230,1.0,1.0,0.0,0.0,0.0
Utility (piped) gas service(2),0.798,156.513,167.935,172.319,10.1,2.6,0.2,0.1,1.5
All items less food and energy,79.263,244.528,249.134,250.083,2.3,0.4,0.2,0.2,0.3
Commodities less food and energy commodities,19.101,144.725,143.668,144.365,-0.2,0.5,-0.2,0.0,0.4
Apparel,3.034,121.878,122.637,123.088,1.0,0.4,-0.3,-0.4,1.4
New vehicles,3.678,147.456,147.299,148.848,0.9,1.1,0.0,0.1,0.9
Used cars and trucks,1.986,142.668,137.475,137.397,-3.7,-0.1,0.2,0.2,-0.4
Medical care commodities,1.852,357.414,371.561,374.150,4.7,0.7,-0.4,0.5,0.3
Alcoholic beverages,0.952,241.535,243.414,244.516,1.2,0.5,-0.1,0.1,0.2
Tobacco and smoking products,0.665,952.536,983.271,984.721,3.4,0.1,0.3,0.4,0.1
Services less energy services,60.162,305.803,314.190,315.282,3.1,0.3,0.3,0.3,0.3
Shelter,33.652,283.498,292.612,293.560,3.5,0.3,0.3,0.3,0.2
Rent of primary residence(2),7.875,292.004,302.735,303.467,3.9,0.2,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.583,290.884,300.501,301.181,3.5,0.2,0.3,0.3,0.2
Medical care services,6.687,485.321,500.845,502.948,3.6,0.4,0.2,0.2,0.2
Physicians' services(2),1.710,370.911,384.519,384.882,3.8,0.1,0.5,0.2,0.0
Hospital services(2)(4),2.241,297.252,307.465,309.929,4.3,0.8,0.0,0.2,0.3
Transportation services,5.920,294.420,302.410,303.718,3.2,0.4,0.5,0.5,0.6
Motor vehicle maintenance and repair(1),1.165,273.097,278.002,279.523,2.4,0.5,0.6,0.2,0.5
Motor vehicle insurance,2.494,475.456,507.589,510.919,7.5,0.7,1.0,0.7,0.8
Airline fares,0.624,278.334,265.436,269.241,-3.3,1.4,-1.3,1.0,2.0
