Expenditure category,RelativeimportanceJan.2017,Feb.2016,Jan.2017,Feb.2017,Feb.2016-Feb.2017,Jan.2017-Feb.2017,Nov.2016-Dec.2016,Dec.2016-Jan.2017,Jan.2017-Feb.2017
All items,100.000,237.111,242.839,243.603,2.7,0.3,0.3,0.6,0.1
Food,13.669,248.800,248.242,248.791,0.0,0.2,0.0,0.1,0.2
Food at home,7.883,242.062,237.365,237.918,-1.7,0.2,-0.2,0.0,0.3
Cereals and bakery products,1.068,274.801,272.922,271.708,-1.1,-0.4,-0.1,-0.1,-0.4
"Meats, poultry, fish, and eggs",1.737,251.290,242.596,243.057,-3.3,0.2,-0.5,0.7,0.2
Dairy and related products,0.820,219.732,219.804,220.552,0.4,0.3,0.1,0.8,0.8
Fruits and vegetables,1.329,306.778,291.679,292.222,-4.7,0.2,-0.6,-1.7,0.7
Nonalcoholic beverages and beverage materials,0.950,169.248,167.074,169.451,0.1,1.4,-0.2,-0.3,1.5
Other food at home,1.979,209.385,208.804,208.914,-0.2,0.1,0.3,0.2,-0.4
Food away from home(1),5.786,260.319,266.079,266.626,2.4,0.2,0.2,0.4,0.2
Energy,7.226,172.061,199.608,198.195,15.2,-0.7,1.2,4.0,-1.0
Energy commodities,3.606,159.404,211.110,206.984,29.8,-2.0,2.4,7.6,-2.8
Fuel oil(1),0.105,189.373,243.347,242.467,28.0,-0.4,6.0,3.5,-0.4
Motor fuel,3.410,155.361,207.280,202.912,30.6,-2.1,2.4,7.9,-2.9
Gasoline (all types),3.359,154.564,206.360,201.957,30.7,-2.1,2.4,7.8,-3.0
Energy services(2),3.620,191.532,197.767,198.820,3.8,0.5,0.0,0.3,1.0
Electricity(2),2.807,202.528,205.230,206.416,1.9,0.6,0.0,0.0,0.8
Utility (piped) gas service(2),0.814,155.981,172.319,172.967,10.9,0.4,0.1,1.5,1.5
All items less food and energy,79.104,245.680,250.083,251.143,2.2,0.4,0.2,0.3,0.2
Commodities less food and energy commodities,19.083,145.856,144.365,145.140,-0.5,0.5,0.0,0.4,0.0
Apparel,3.028,125.567,123.088,126.100,0.4,2.4,-0.4,1.4,0.6
New vehicles,3.695,148.268,148.848,148.993,0.5,0.1,0.1,0.9,-0.2
Used cars and trucks,1.973,144.024,137.397,137.899,-4.3,0.4,0.2,-0.4,-0.6
Medical care commodities,1.854,361.435,374.150,376.078,4.1,0.5,0.5,0.3,-0.2
Alcoholic beverages,0.950,242.437,244.516,244.622,0.9,0.0,0.1,0.2,-0.1
Tobacco and smoking products,0.662,951.247,984.721,984.756,3.5,0.0,0.4,0.1,0.4
Services less energy services,60.022,306.932,315.282,316.506,3.1,0.4,0.3,0.3,0.3
Shelter,33.565,284.435,293.560,294.444,3.5,0.3,0.3,0.2,0.3
Rent of primary residence(2),7.849,292.777,303.467,304.211,3.9,0.2,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.496,291.505,301.181,301.785,3.5,0.2,0.3,0.2,0.3
Medical care services,6.676,489.432,502.948,506.105,3.4,0.6,0.2,0.2,0.2
Physicians' services(2),1.702,372.091,384.882,385.353,3.6,0.1,0.2,0.0,0.1
Hospital services(2)(4),2.246,301.007,309.929,313.974,4.3,1.3,0.2,0.3,0.4
Transportation services,5.911,295.533,303.718,306.221,3.6,0.8,0.5,0.6,0.7
Motor vehicle maintenance and repair(1),1.164,273.072,279.523,279.782,2.5,0.1,0.2,0.5,0.1
Motor vehicle insurance,2.496,477.297,510.919,513.469,7.6,0.5,0.7,0.8,0.5
Airline fares,0.630,283.520,269.241,280.517,-1.1,4.2,1.0,2.0,2.4
