Expenditure category,RelativeimportanceAug.2017,Sep.2016,Aug.2017,Sep.2017,Sep.2016-Sep.2017,Aug.2017-Sep.2017,Jun.2017-Jul.2017,Jul.2017-Aug.2017,Aug.2017-Sep.2017
All items,100.000,241.428,245.519,246.819,2.2,0.5,0.1,0.4,0.5
Food,13.643,247.917,250.493,250.993,1.2,0.2,0.2,0.1,0.1
Food at home,7.846,238.120,238.843,239.128,0.4,0.1,0.2,-0.2,0.0
Cereals and bakery products,1.055,272.089,272.544,271.750,-0.1,-0.3,-0.4,0.3,0.1
"Meats, poultry, fish, and eggs",1.756,246.642,247.985,247.613,0.4,-0.2,0.7,-0.2,-0.4
Dairy and related products,0.799,216.693,216.537,216.564,-0.1,0.0,0.3,-0.4,-0.6
Fruits and vegetables,1.330,293.423,295.009,297.047,1.2,0.7,0.5,-0.2,-0.2
Nonalcoholic beverages and beverage materials,0.938,166.573,166.822,167.429,0.5,0.4,-0.3,-0.4,0.4
Other food at home,1.968,209.426,209.905,210.159,0.4,0.1,0.0,-0.1,0.2
Food away from home(1),5.797,264.102,269.522,270.353,2.4,0.3,0.2,0.3,0.3
Energy,7.372,195.852,205.894,215.711,10.1,4.8,-0.1,2.8,6.1
Energy commodities,3.598,197.603,212.978,234.982,18.9,10.3,0.0,6.1,12.6
Fuel oil(1),0.097,212.019,226.590,245.085,15.6,8.2,-2.0,2.9,8.2
Motor fuel,3.415,194.660,209.881,232.076,19.2,10.6,0.0,6.3,13.0
Gasoline (all types),3.365,193.817,209.000,231.182,19.3,10.6,0.0,6.3,13.1
Energy services(2),3.774,202.941,208.454,207.339,2.2,-0.5,-0.2,-0.1,-0.2
Electricity(2),2.963,214.381,219.078,218.117,1.7,-0.4,0.4,0.0,0.0
Utility (piped) gas service(2),0.811,165.881,173.646,172.111,3.8,-0.9,-2.3,-0.5,-0.8
All items less food and energy,78.985,248.731,252.460,252.941,1.7,0.2,0.1,0.2,0.1
Commodities less food and energy commodities,18.813,145.562,143.895,144.108,-1.0,0.1,-0.1,-0.1,-0.2
Apparel,3.020,128.429,124.147,128.150,-0.2,3.2,0.3,0.1,-0.1
New vehicles,3.578,146.499,145.712,145.037,-1.0,-0.5,-0.5,0.0,-0.4
Used cars and trucks,1.980,142.482,139.350,137.141,-3.7,-1.6,-0.5,-0.2,-0.2
Medical care commodities,1.868,374.142,381.114,377.869,1.0,-0.9,1.0,-0.1,-0.8
Alcoholic beverages,0.942,242.614,245.042,245.884,1.3,0.3,0.1,0.1,0.4
Tobacco and smoking products,0.684,970.921,"1,029.619","1,031.891",6.3,0.2,-0.1,-0.1,0.4
Services less energy services,60.172,312.205,319.559,320.210,2.6,0.2,0.2,0.4,0.2
Shelter,33.832,290.445,299.157,299.844,3.2,0.2,0.1,0.5,0.3
Rent of primary residence(2),7.917,298.962,309.479,310.268,3.8,0.3,0.2,0.4,0.2
Owners' equivalent rent of residences(2)(3),24.632,297.636,306.201,307.106,3.2,0.3,0.3,0.3,0.2
Medical care services,6.662,499.483,507.390,508.078,1.7,0.1,0.3,0.2,0.1
Physicians' services(2),1.658,382.134,378.990,379.169,-0.8,0.0,0.1,0.4,0.2
Hospital services(2)(4),2.290,306.404,319.394,320.449,4.6,0.3,0.5,0.2,0.2
Transportation services,5.957,298.129,309.469,309.704,3.9,0.1,0.2,0.4,0.3
Motor vehicle maintenance and repair(1),1.156,275.331,280.488,282.203,2.5,0.6,0.1,0.3,0.6
Motor vehicle insurance,2.565,492.119,530.908,532.455,8.2,0.3,0.3,1.0,0.5
Airline fares,0.600,267.457,259.359,259.143,-3.1,-0.1,0.7,-1.0,-0.1
