Expenditure category,RelativeimportanceFeb.2017,Mar.2016,Feb.2017,Mar.2017,Mar.2016-Mar.2017,Feb.2017-Mar.2017,Dec.2016-Jan.2017,Jan.2017-Feb.2017,Feb.2017-Mar.2017
All items,100.000,238.132,243.603,243.801,2.4,0.1,0.6,0.1,-0.3
Food,13.657,247.978,248.791,249.165,0.5,0.2,0.1,0.2,0.3
Food at home,7.877,240.329,237.918,238.256,-0.9,0.1,0.0,0.3,0.5
Cereals and bakery products,1.060,273.162,271.708,272.174,-0.4,0.2,-0.1,-0.4,0.3
"Meats, poultry, fish, and eggs",1.735,250.837,243.057,244.306,-2.6,0.5,0.7,0.2,0.3
Dairy and related products,0.821,218.131,220.552,218.567,0.2,-0.9,0.8,0.8,-0.6
Fruits and vegetables,1.327,298.162,292.222,292.932,-1.8,0.2,-1.7,0.7,1.6
Nonalcoholic beverages and beverage materials,0.960,168.187,169.451,168.455,0.2,-0.6,-0.3,1.5,-0.1
Other food at home,1.974,209.743,208.914,210.002,0.1,0.5,0.2,-0.4,0.7
Food away from home(1),5.780,260.883,266.626,267.055,2.4,0.2,0.4,0.2,0.2
Energy,7.153,179.017,198.195,198.597,10.9,0.2,4.0,-1.0,-3.2
Energy commodities,3.524,174.500,206.984,209.029,19.8,1.0,7.6,-2.8,-6.0
Fuel oil(1),0.105,192.617,242.467,240.619,24.9,-0.8,3.5,-0.4,-0.8
Motor fuel,3.328,171.050,202.912,205.155,19.9,1.1,7.9,-2.9,-6.1
Gasoline (all types),3.277,170.356,201.957,204.217,19.9,1.1,7.8,-3.0,-6.2
Energy services(2),3.628,191.203,198.820,197.709,3.4,-0.6,0.3,1.0,-0.3
Electricity(2),2.814,202.487,206.416,205.692,1.6,-0.4,0.0,0.8,-0.1
Utility (piped) gas service(2),0.814,154.822,172.967,170.755,10.3,-1.3,1.5,1.5,-0.8
All items less food and energy,79.191,246.358,251.143,251.290,2.0,0.1,0.3,0.2,-0.1
Commodities less food and energy commodities,19.125,146.367,145.140,145.527,-0.6,0.3,0.4,0.0,-0.3
Apparel,3.092,127.427,126.100,128.250,0.6,1.7,1.4,0.6,-0.7
New vehicles,3.687,148.227,148.993,148.543,0.2,-0.3,0.9,-0.2,-0.3
Used cars and trucks,1.974,146.178,137.899,139.372,-4.7,1.1,-0.4,-0.6,-0.9
Medical care commodities,1.858,362.386,376.078,376.440,3.9,0.1,0.3,-0.2,0.2
Alcoholic beverages,0.948,242.230,244.622,244.978,1.1,0.1,0.2,-0.1,0.2
Tobacco and smoking products,0.660,953.512,984.756,987.910,3.6,0.3,0.1,0.4,0.5
Services less energy services,60.066,307.703,316.506,316.481,2.9,0.0,0.3,0.3,-0.1
Shelter,33.561,285.196,294.444,295.044,3.5,0.2,0.2,0.3,0.1
Rent of primary residence(2),7.843,293.489,304.211,304.868,3.9,0.2,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.468,292.080,301.785,302.259,3.5,0.2,0.2,0.3,0.2
Medical care services,6.697,489.520,506.105,505.991,3.4,0.0,0.2,0.2,0.1
Physicians' services(2),1.699,372.672,385.353,383.965,3.0,-0.4,0.0,0.1,-0.3
Hospital services(2)(4),2.268,300.303,313.974,314.529,4.7,0.2,0.3,0.4,0.4
Transportation services,5.941,296.363,306.221,307.490,3.8,0.4,0.6,0.7,0.4
Motor vehicle maintenance and repair(1),1.162,273.980,279.782,279.600,2.1,-0.1,0.5,0.1,-0.1
Motor vehicle insurance,2.501,478.644,513.469,517.619,8.1,0.8,0.8,0.5,1.2
Airline fares,0.654,283.584,280.517,283.583,0.0,1.1,2.0,2.4,0.4
