Expenditure category,RelativeimportanceJun.2017,Jul.2016,Jun.2017,Jul.2017,Jul.2016-Jul.2017,Jun.2017-Jul.2017,Apr.2017-May2017,May2017-Jun.2017,Jun.2017-Jul.2017
All items,100.000,240.628,244.955,244.786,1.7,-0.1,-0.1,0.0,0.1
Food,13.628,247.554,249.653,250.214,1.1,0.2,0.2,0.0,0.2
Food at home,7.846,238.207,238.300,238.953,0.3,0.3,0.1,-0.1,0.2
Cereals and bakery products,1.057,273.418,272.429,271.950,-0.5,-0.2,0.3,-0.1,-0.4
"Meats, poultry, fish, and eggs",1.744,246.875,245.756,247.761,0.4,0.8,0.3,0.6,0.7
Dairy and related products,0.796,214.605,215.192,216.434,0.9,0.6,0.3,-0.5,0.3
Fruits and vegetables,1.332,291.960,294.788,294.935,1.0,0.0,-0.6,-0.1,0.5
Nonalcoholic beverages and beverage materials,0.942,166.648,167.242,167.085,0.3,-0.1,1.1,-0.6,-0.3
Other food at home,1.974,210.486,210.119,210.624,0.1,0.2,-0.1,-0.3,0.0
Food away from home(1),5.782,263.051,268.225,268.649,2.1,0.2,0.2,0.0,0.2
Energy,7.345,195.940,204.646,202.554,3.4,-1.0,-2.7,-1.6,-0.1
Energy commodities,3.554,198.978,209.905,205.222,3.1,-2.2,-6.2,-2.7,0.0
Fuel oil(1),0.096,212.482,224.542,220.152,3.6,-2.0,-2.8,-3.7,-2.0
Motor fuel,3.372,196.053,206.760,202.051,3.1,-2.3,-6.4,-2.8,0.0
Gasoline (all types),3.322,195.243,205.881,201.173,3.0,-2.3,-6.4,-2.8,0.0
Energy services(2),3.790,201.832,208.852,209.084,3.6,0.1,0.7,-0.5,-0.2
Electricity(2),2.967,214.193,218.865,219.696,2.6,0.4,0.3,-0.6,0.4
Utility (piped) gas service(2),0.823,162.129,175.807,174.301,7.5,-0.9,1.9,-0.2,-2.3
All items less food and energy,79.027,247.744,252.014,251.936,1.7,0.0,0.1,0.1,0.1
Commodities less food and energy commodities,18.946,144.832,144.577,143.915,-0.6,-0.5,-0.3,-0.1,-0.1
Apparel,3.039,123.030,124.630,122.485,-0.4,-1.7,-0.8,-0.1,0.3
New vehicles,3.624,147.119,147.262,146.190,-0.6,-0.7,-0.2,-0.3,-0.5
Used cars and trucks,1.994,145.457,140.015,139.519,-4.1,-0.4,-0.2,-0.7,-0.5
Medical care commodities,1.848,366.784,376.182,380.302,3.7,1.1,0.4,0.7,1.0
Alcoholic beverages,0.943,242.032,244.597,244.706,1.1,0.0,-0.3,0.2,0.1
Tobacco and smoking products,0.685,962.630,"1,028.777","1,030.729",7.1,0.2,0.1,-0.4,-0.1
Services less energy services,60.081,311.072,318.345,318.674,2.4,0.1,0.2,0.2,0.2
Shelter,33.716,288.780,297.446,297.919,3.2,0.2,0.2,0.2,0.1
Rent of primary residence(2),7.880,296.862,307.314,308.173,3.8,0.3,0.3,0.3,0.2
Owners' equivalent rent of residences(2)(3),24.529,295.554,304.218,305.037,3.2,0.3,0.2,0.3,0.3
Medical care services,6.656,495.431,505.813,506.681,2.3,0.2,-0.1,0.3,0.3
Physicians' services(2),1.656,380.083,377.747,377.989,-0.6,0.1,-0.2,-0.4,0.1
Hospital services(2)(4),2.287,302.161,318.313,319.387,5.7,0.3,0.1,0.9,0.5
Transportation services,6.020,300.823,312.012,310.567,3.2,-0.5,0.3,0.2,0.2
Motor vehicle maintenance and repair(1),1.153,276.058,279.294,279.605,1.3,0.1,0.1,-0.4,0.1
Motor vehicle insurance,2.545,489.064,525.397,526.394,7.6,0.2,1.1,1.0,0.3
Airline fares,0.687,283.501,296.384,276.308,-2.5,-6.8,-2.7,-2.7,0.7
