Expenditure category,RelativeimportanceNov.2017,Dec.2016,Nov.2017,Dec.2017,Dec.2016-Dec.2017,Nov.2017-Dec.2017,Sep.2017-Oct.2017,Oct.2017-Nov.2017,Nov.2017-Dec.2017
All items,100.000,241.432,246.669,246.524,2.1,-0.1,0.1,0.4,0.1
Food,13.600,247.313,250.871,251.238,1.6,0.1,0.0,0.0,0.2
Food at home,7.795,236.464,238.403,238.579,0.9,0.1,0.0,-0.1,0.1
Cereals and bakery products,1.039,271.374,269.646,269.847,-0.6,0.1,-0.5,-0.2,0.2
"Meats, poultry, fish, and eggs",1.741,241.612,247.027,248.420,2.8,0.6,0.6,-0.3,0.9
Dairy and related products,0.797,217.929,216.878,216.916,-0.5,0.0,-0.3,0.3,-0.4
Fruits and vegetables,1.331,291.957,296.791,296.476,1.5,-0.1,0.0,-0.5,-0.2
Nonalcoholic beverages and beverage materials,0.930,165.965,166.271,166.006,0.0,-0.2,0.0,-0.6,-0.1
Other food at home,1.956,208.301,209.624,209.401,0.5,-0.1,-0.2,0.4,-0.1
Food away from home(1),5.805,265.104,271.152,271.811,2.5,0.2,0.1,0.2,0.2
Energy,7.462,193.306,209.383,206.598,6.9,-1.3,-1.0,3.9,-1.2
Energy commodities,3.854,200.633,229.195,222.389,10.8,-3.0,-2.3,7.1,-2.5
Fuel oil(1),0.112,235.127,263.132,270.955,15.2,3.0,2.3,5.0,3.0
Motor fuel,3.649,196.831,225.322,217.972,10.7,-3.3,-2.5,7.2,-2.7
Gasoline (all types),3.593,195.915,224.227,216.781,10.7,-3.3,-2.4,7.3,-2.7
Energy services(2),3.608,195.079,200.225,201.066,3.1,0.4,0.4,0.6,0.3
Electricity(2),2.802,203.146,208.111,208.406,2.6,0.1,0.5,0.5,0.1
Utility (piped) gas service(2),0.807,167.935,173.504,175.909,4.7,1.4,0.3,0.6,1.2
All items less food and energy,78.938,249.134,253.492,253.558,1.8,0.0,0.2,0.1,0.3
Commodities less food and energy commodities,18.647,143.668,143.295,142.647,-0.7,-0.5,0.1,-0.1,0.2
Apparel,3.037,122.637,125.398,120.614,-1.6,-3.8,-0.1,-1.3,-0.5
New vehicles,3.555,147.299,145.442,146.522,-0.5,0.7,-0.2,0.3,0.6
Used cars and trucks,1.907,137.475,134.901,136.118,-1.0,0.9,0.7,1.0,1.4
Medical care commodities,1.846,371.561,378.328,380.087,2.3,0.5,0.0,0.6,1.0
Alcoholic beverages,0.945,243.414,246.991,246.791,1.4,-0.1,0.1,0.2,0.0
Tobacco and smoking products,0.694,983.271,"1,048.219","1,046.785",6.5,-0.1,1.6,0.2,-0.6
Services less energy services,60.291,314.190,321.690,322.250,2.6,0.2,0.3,0.2,0.3
Shelter,33.902,292.612,301.185,301.985,3.2,0.3,0.3,0.2,0.4
Rent of primary residence(2),7.961,302.735,312.670,313.904,3.7,0.4,0.3,0.3,0.4
Owners' equivalent rent of residences(2)(3),24.749,300.501,309.101,310.041,3.2,0.3,0.3,0.2,0.3
Medical care services,6.650,500.845,508.879,509.045,1.6,0.0,0.3,-0.1,0.2
Physicians' services(2),1.641,384.519,377.037,377.734,-1.8,0.2,0.2,-0.8,0.3
Hospital services(2)(4),2.304,307.465,322.871,323.114,5.1,0.1,0.5,0.1,0.3
Transportation services,6.012,302.410,313.772,313.645,3.7,0.0,0.2,0.1,0.3
Motor vehicle maintenance and repair(1),1.158,278.002,282.502,283.107,1.8,0.2,0.4,-0.3,0.2
Motor vehicle insurance,2.614,507.589,543.613,547.586,7.9,0.7,0.1,0.8,0.6
Airline fares,0.617,265.436,267.970,254.947,-4.0,-4.9,0.6,-2.4,-0.5
