Expenditure category,RelativeimportanceApr.2017,May2016,Apr.2017,May2017,May2016-May2017,Apr.2017-May2017,Feb.2017-Mar.2017,Mar.2017-Apr.2017,Apr.2017-May2017
All items,100.000,240.229,244.524,244.733,1.9,0.1,-0.3,0.2,-0.1
Food,13.657,247.860,249.739,250.016,0.9,0.1,0.3,0.2,0.2
Food at home,7.877,239.354,238.817,238.964,-0.2,0.1,0.5,0.2,0.1
Cereals and bakery products,1.057,273.074,271.865,272.445,-0.2,0.2,0.3,-0.3,0.3
"Meats, poultry, fish, and eggs",1.730,248.989,243.330,243.815,-2.1,0.2,0.3,-0.6,0.3
Dairy and related products,0.807,216.122,217.827,217.015,0.4,-0.4,-0.6,-0.2,0.3
Fruits and vegetables,1.349,295.974,298.164,298.470,0.8,0.1,1.6,2.2,-0.6
Nonalcoholic beverages and beverage materials,0.950,167.053,168.354,168.555,0.9,0.1,-0.1,-0.3,1.1
Other food at home,1.983,210.280,210.668,210.630,0.2,0.0,0.7,0.1,-0.1
Food away from home(1),5.780,262.074,267.652,268.128,2.3,0.2,0.2,0.2,0.2
Energy,7.294,192.673,202.869,203.132,5.4,0.1,-3.2,1.1,-2.7
Energy commodities,3.677,201.355,216.791,213.613,6.1,-1.5,-6.0,1.3,-6.2
Fuel oil(1),0.103,208.488,239.822,233.216,11.9,-2.8,-0.8,-0.3,-2.8
Motor fuel,3.485,198.667,213.288,210.313,5.9,-1.4,-6.1,1.2,-6.4
Gasoline (all types),3.434,198.011,212.424,209.441,5.8,-1.4,-6.2,1.2,-6.4
Energy services(2),3.616,193.152,198.915,202.401,4.8,1.8,-0.3,0.9,0.7
Electricity(2),2.807,205.038,206.671,210.541,2.7,1.9,-0.1,0.6,0.3
Utility (piped) gas service(2),0.809,154.994,172.597,174.901,12.8,1.3,-0.8,2.2,1.9
All items less food and energy,79.049,247.544,251.642,251.835,1.7,0.1,-0.1,0.1,0.1
Commodities less food and energy commodities,19.122,146.230,145.665,145.119,-0.8,-0.4,-0.3,-0.2,-0.3
Apparel,3.135,127.758,128.349,126.563,-0.9,-1.4,-0.7,-0.3,-0.8
New vehicles,3.660,147.646,148.457,148.033,0.3,-0.3,-0.3,-0.2,-0.2
Used cars and trucks,2.006,147.223,140.654,140.875,-4.3,0.2,-0.9,-0.5,-0.2
Medical care commodities,1.837,361.866,373.231,373.631,3.3,0.1,0.2,-0.8,0.4
Alcoholic beverages,0.948,242.430,245.500,244.785,1.0,-0.3,0.2,0.3,-0.3
Tobacco and smoking products,0.685,953.769,"1,025.961","1,026.125",7.6,0.0,0.5,4.2,0.1
Services less energy services,59.927,309.770,316.971,317.670,2.6,0.2,-0.1,0.1,0.2
Shelter,33.578,286.924,295.706,296.503,3.3,0.3,0.1,0.3,0.2
Rent of primary residence(2),7.846,295.036,305.477,306.379,3.8,0.3,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.455,293.759,302.767,303.312,3.3,0.2,0.2,0.2,0.2
Medical care services,6.668,493.270,505.855,505.611,2.5,0.0,0.1,0.0,-0.1
Physicians' services(2),1.668,376.263,379.886,379.207,0.8,-0.2,-0.3,-1.2,-0.2
Hospital services(2)(4),2.282,301.713,317.053,316.653,5.0,-0.1,0.4,1.0,0.1
Transportation services,5.970,302.381,308.908,311.178,2.9,0.7,0.4,-0.2,0.3
Motor vehicle maintenance and repair(1),1.159,275.331,280.170,280.388,1.8,0.1,-0.1,0.2,0.1
Motor vehicle insurance,2.504,487.021,516.203,521.149,7.0,1.0,1.2,-0.4,1.1
Airline fares,0.683,309.540,294.034,300.609,-2.9,2.2,0.4,-0.6,-2.7
