Expenditure category,RelativeimportanceOct.2017,Nov.2016,Oct.2017,Nov.2017,Nov.2016-Nov.2017,Oct.2017-Nov.2017,Aug.2017-Sep.2017,Sep.2017-Oct.2017,Oct.2017-Nov.2017
All items,100.000,241.353,246.663,246.669,2.2,0.0,0.5,0.1,0.4
Food,13.627,247.435,251.364,250.871,1.4,-0.2,0.1,0.0,0.0
Food at home,7.832,236.930,239.543,238.403,0.6,-0.5,0.0,0.0,-0.1
Cereals and bakery products,1.044,271.896,270.858,269.646,-0.8,-0.4,0.1,-0.5,-0.2
"Meats, poultry, fish, and eggs",1.751,243.633,248.413,247.027,1.4,-0.6,-0.4,0.6,-0.3
Dairy and related products,0.798,216.773,217.170,216.878,0.0,-0.1,-0.6,-0.3,0.3
Fruits and vegetables,1.345,293.554,299.700,296.791,1.1,-1.0,-0.2,0.0,-0.5
Nonalcoholic beverages and beverage materials,0.940,166.258,167.990,166.271,0.0,-1.0,0.4,0.0,-0.6
Other food at home,1.955,207.703,209.528,209.624,0.9,0.0,0.2,-0.2,0.4
Food away from home(1),5.794,264.699,270.658,271.152,2.4,0.2,0.3,0.1,0.2
Energy,7.388,191.402,207.290,209.383,9.4,1.0,6.1,-1.0,3.9
Energy commodities,3.754,196.855,223.219,229.195,16.4,2.7,12.6,-2.3,7.1
Fuel oil(1),0.107,221.808,250.640,263.132,18.6,5.0,8.2,2.3,5.0
Motor fuel,3.557,193.432,219.640,225.322,16.5,2.6,13.0,-2.5,7.2
Gasoline (all types),3.503,192.522,218.591,224.227,16.5,2.6,13.1,-2.4,7.3
Energy services(2),3.634,194.838,201.661,200.225,2.8,-0.7,-0.2,0.4,0.6
Electricity(2),2.833,202.984,210.424,208.111,2.5,-1.1,0.0,0.5,0.5
Utility (piped) gas service(2),0.801,167.469,172.373,173.504,3.6,0.7,-0.8,0.3,0.6
All items less food and energy,78.985,249.227,253.638,253.492,1.7,-0.1,0.1,0.2,0.1
Commodities less food and energy commodities,18.775,144.593,144.273,143.295,-0.9,-0.7,-0.2,0.1,-0.1
Apparel,3.138,127.377,129.570,125.398,-1.6,-3.2,-0.1,-0.1,-1.3
New vehicles,3.541,147.027,144.868,145.442,-1.1,0.4,-0.4,-0.2,0.3
Used cars and trucks,1.921,137.789,135.867,134.901,-2.1,-0.7,-0.2,0.7,1.0
Medical care commodities,1.840,371.540,377.038,378.328,1.8,0.3,-0.8,0.0,0.6
Alcoholic beverages,0.944,243.395,246.621,246.991,1.5,0.2,0.4,0.1,0.2
Tobacco and smoking products,0.693,975.110,"1,047.932","1,048.219",7.5,0.0,0.4,1.6,0.2
Services less energy services,60.210,313.702,321.253,321.690,2.5,0.1,0.2,0.3,0.2
Shelter,33.865,291.953,300.846,301.185,3.2,0.1,0.3,0.3,0.2
Rent of primary residence(2),7.932,301.587,311.501,312.670,3.7,0.4,0.2,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.677,299.738,308.190,309.101,3.1,0.3,0.2,0.3,0.2
Medical care services,6.655,500.697,509.256,508.879,1.6,-0.1,0.1,0.3,-0.1
Physicians' services(2),1.650,384.110,379.072,377.037,-1.8,-0.5,0.2,0.2,-0.8
Hospital services(2)(4),2.300,307.403,322.368,322.871,5.0,0.2,0.2,0.5,0.1
Transportation services,5.983,302.164,312.290,313.772,3.8,0.5,0.3,0.2,0.1
Motor vehicle maintenance and repair(1),1.162,277.348,283.257,282.502,1.9,-0.3,0.6,0.4,-0.3
Motor vehicle insurance,2.584,503.440,537.222,543.613,8.0,1.2,0.5,0.1,0.8
Airline fares,0.615,274.761,267.297,267.970,-2.5,0.3,-0.1,0.6,-2.4
