Expenditure category,RelativeimportanceSep.2017,Oct.2016,Sep.2017,Oct.2017,Oct.2016-Oct.2017,Sep.2017-Oct.2017,Jul.2017-Aug.2017,Aug.2017-Sep.2017,Sep.2017-Oct.2017
All items,100.000,241.729,246.819,246.663,2.0,-0.1,0.4,0.5,0.1
Food,13.598,248.073,250.993,251.364,1.3,0.1,0.1,0.1,0.0
Food at home,7.814,238.145,239.128,239.543,0.6,0.2,-0.2,0.0,0.0
Cereals and bakery products,1.046,272.502,271.750,270.858,-0.6,-0.3,0.3,0.1,-0.5
"Meats, poultry, fish, and eggs",1.744,244.770,247.613,248.413,1.5,0.3,-0.2,-0.4,0.6
Dairy and related products,0.795,218.183,216.564,217.170,-0.5,0.3,-0.4,-0.6,-0.3
Fruits and vegetables,1.332,295.616,297.047,299.700,1.4,0.9,-0.2,-0.2,0.0
Nonalcoholic beverages and beverage materials,0.936,166.793,167.429,167.990,0.7,0.3,-0.4,0.4,0.0
Other food at home,1.960,208.985,210.159,209.528,0.3,-0.3,-0.1,0.2,-0.2
Food away from home(1),5.784,264.459,270.353,270.658,2.3,0.1,0.3,0.3,0.1
Energy,7.683,194.786,215.711,207.290,6.4,-3.9,2.8,6.1,-1.0
Energy commodities,3.949,201.412,234.982,223.219,10.8,-5.0,6.1,12.6,-2.3
Fuel oil(1),0.104,224.453,245.085,250.640,11.7,2.3,2.9,8.2,2.3
Motor fuel,3.756,198.212,232.076,219.640,10.8,-5.4,6.3,13.0,-2.5
Gasoline (all types),3.702,197.357,231.182,218.591,10.8,-5.4,6.3,13.1,-2.4
Energy services(2),3.734,197.279,207.339,201.661,2.2,-2.7,-0.1,-0.2,0.4
Electricity(2),2.935,206.397,218.117,210.424,2.0,-3.5,0.0,0.0,0.5
Utility (piped) gas service(2),0.800,167.049,172.111,172.373,3.2,0.2,-0.5,-0.8,0.3
All items less food and energy,78.719,249.218,252.941,253.638,1.8,0.3,0.2,0.1,0.2
Commodities less food and energy commodities,18.741,145.701,144.108,144.273,-1.0,0.1,-0.1,-0.2,0.1
Apparel,3.101,130.328,128.150,129.570,-0.6,1.1,0.1,-0.1,-0.1
New vehicles,3.543,146.896,145.037,144.868,-1.4,-0.1,0.0,-0.4,-0.2
Used cars and trucks,1.938,139.914,137.141,135.867,-2.9,-0.9,-0.2,-0.2,0.7
Medical care commodities,1.842,373.792,377.869,377.038,0.9,-0.2,-0.1,-0.8,0.0
Alcoholic beverages,0.940,243.674,245.884,246.621,1.2,0.3,0.1,0.4,0.1
Tobacco and smoking products,0.682,973.535,"1,031.891","1,047.932",7.6,1.6,-0.1,0.4,1.6
Services less energy services,59.977,312.919,320.210,321.253,2.7,0.3,0.4,0.2,0.3
Shelter,33.731,291.407,299.844,300.846,3.2,0.3,0.5,0.3,0.3
Rent of primary residence(2),7.895,300.400,310.268,311.501,3.7,0.4,0.4,0.2,0.3
Owners' equivalent rent of residences(2)(3),24.575,298.645,307.106,308.190,3.2,0.4,0.3,0.2,0.3
Medical care services,6.635,499.717,508.078,509.256,1.9,0.2,0.2,0.1,0.3
Physicians' services(2),1.650,381.406,379.169,379.072,-0.6,0.0,0.4,0.2,0.2
Hospital services(2)(4),2.285,307.433,320.449,322.368,4.9,0.6,0.2,0.2,0.5
Transportation services,5.930,299.622,309.704,312.290,4.2,0.8,0.4,0.3,0.2
Motor vehicle maintenance and repair(1),1.157,275.645,282.203,283.257,2.8,0.4,0.3,0.6,0.4
Motor vehicle insurance,2.559,496.658,532.455,537.222,8.2,0.9,1.0,0.5,0.1
Airline fares,0.596,270.922,259.143,267.297,-1.3,3.1,-1.0,-0.1,0.6
