Expenditure category,RelativeimportanceMar.2017,Apr.2016,Mar.2017,Apr.2017,Apr.2016-Apr.2017,Mar.2017-Apr.2017,Jan.2017-Feb.2017,Feb.2017-Mar.2017,Mar.2017-Apr.2017
All items,100.000,239.261,243.801,244.524,2.2,0.3,0.1,-0.3,0.2
Food,13.666,248.413,249.165,249.739,0.5,0.2,0.2,0.3,0.2
Food at home,7.882,240.635,238.256,238.817,-0.8,0.2,0.3,0.5,0.2
Cereals and bakery products,1.061,273.924,272.174,271.865,-0.8,-0.1,-0.4,0.3,-0.3
"Meats, poultry, fish, and eggs",1.742,250.839,244.306,243.330,-3.0,-0.4,0.2,0.3,-0.6
Dairy and related products,0.813,218.315,218.567,217.827,-0.2,-0.3,0.8,-0.6,-0.2
Fruits and vegetables,1.330,296.217,292.932,298.164,0.7,1.8,0.7,1.6,2.2
Nonalcoholic beverages and beverage materials,0.954,168.771,168.455,168.354,-0.2,-0.1,1.5,-0.1,-0.3
Other food at home,1.983,211.009,210.002,210.668,-0.2,0.3,-0.4,0.7,0.1
Food away from home(1),5.784,261.517,267.055,267.652,2.3,0.2,0.2,0.2,0.2
Energy,7.161,185.652,198.597,202.869,9.3,2.2,-1.0,-3.2,1.1
Energy commodities,3.556,189.322,209.029,216.791,14.5,3.7,-2.8,-6.0,1.3
Fuel oil(1),0.104,196.349,240.619,239.822,22.1,-0.3,-0.4,-0.8,-0.3
Motor fuel,3.362,186.428,205.155,213.288,14.4,4.0,-2.9,-6.1,1.2
Gasoline (all types),3.311,185.808,204.217,212.424,14.3,4.0,-3.0,-6.2,1.2
Energy services(2),3.605,190.495,197.709,198.915,4.4,0.6,1.0,-0.3,0.9
Electricity(2),2.802,201.778,205.692,206.671,2.4,0.5,0.8,-0.1,0.6
Utility (piped) gas service(2),0.803,154.130,170.755,172.597,12.0,1.1,1.5,-0.8,2.2
All items less food and energy,79.173,246.992,251.290,251.642,1.9,0.1,0.2,-0.1,0.1
Commodities less food and energy commodities,19.160,146.565,145.527,145.665,-0.6,0.1,0.0,-0.3,-0.2
Apparel,3.142,127.770,128.250,128.349,0.5,0.1,0.6,-0.7,-0.3
New vehicles,3.673,147.895,148.543,148.457,0.4,-0.1,-0.2,-0.3,-0.2
Used cars and trucks,1.994,147.489,139.372,140.654,-4.6,0.9,-0.6,-0.9,-0.5
Medical care commodities,1.858,363.843,376.440,373.231,2.6,-0.9,-0.2,0.2,-0.8
Alcoholic beverages,0.948,242.407,244.978,245.500,1.3,0.2,-0.1,0.2,0.3
Tobacco and smoking products,0.661,952.185,987.910,"1,025.961",7.7,3.9,0.4,0.5,4.2
Services less energy services,60.012,308.619,316.481,316.971,2.7,0.2,0.3,-0.1,0.1
Shelter,33.602,285.836,295.044,295.706,3.5,0.2,0.3,0.1,0.3
Rent of primary residence(2),7.854,294.175,304.868,305.477,3.8,0.2,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.486,292.855,302.259,302.767,3.4,0.2,0.3,0.2,0.2
Medical care services,6.690,490.848,505.991,505.855,3.1,0.0,0.2,0.1,0.0
Physicians' services(2),1.691,372.961,383.965,379.886,1.9,-1.1,0.1,-0.3,-1.2
Hospital services(2)(4),2.271,300.733,314.529,317.053,5.4,0.8,0.4,0.4,1.0
Transportation services,5.961,299.635,307.490,308.908,3.1,0.5,0.7,0.4,-0.2
Motor vehicle maintenance and repair(1),1.160,274.864,279.600,280.170,1.9,0.2,0.1,-0.1,0.2
Motor vehicle insurance,2.519,483.823,517.619,516.203,6.7,-0.3,0.5,1.2,-0.4
Airline fares,0.660,295.909,283.583,294.034,-0.6,3.7,2.4,0.4,-0.6
