Expenditure category,RelativeimportanceDec.2017,Jan.2017,Dec.2017,Jan.2018,Jan.2017-Jan.2018,Dec.2017-Jan.2018,Oct.2017-Nov.2017,Nov.2017-Dec.2017,Dec.2017-Jan.2018
All items,100.000,242.839,246.524,247.867,2.1,0.5,0.3,0.2,0.5
Food,13.384,248.242,251.238,252.361,1.7,0.4,0.0,0.2,0.2
Food at home,7.382,237.365,238.579,239.828,1.0,0.5,-0.1,0.2,0.1
Cereals and bakery products,0.964,272.922,269.847,272.273,-0.2,0.9,-0.2,0.1,0.3
"Meats, poultry, fish, and eggs",1.635,242.596,248.420,247.284,1.9,-0.5,-0.2,0.8,-0.2
Dairy and related products,0.744,219.804,216.916,217.897,-0.9,0.5,0.0,-0.1,0.0
Fruits and vegetables,1.302,291.679,296.476,301.814,3.5,1.8,-0.3,0.0,0.5
Nonalcoholic beverages and beverage materials,0.873,167.074,166.006,167.671,0.4,1.0,-0.4,-0.1,0.0
Other food at home,1.864,208.804,209.401,209.611,0.4,0.1,0.3,-0.1,0.0
Food away from home(1),6.002,266.079,271.811,272.772,2.5,0.4,0.2,0.2,0.4
Energy,7.513,199.608,206.598,210.663,5.5,2.0,3.2,-0.2,3.0
Energy commodities,4.094,211.110,222.389,230.005,9.0,3.4,5.8,-0.7,5.8
Fuel oil,0.109,243.347,270.955,298.173,22.5,10.0,5.6,0.9,9.5
Motor fuel,3.908,207.280,217.972,225.030,8.6,3.2,5.9,-0.7,5.6
Gasoline (all types),3.823,206.360,216.781,223.806,8.5,3.2,6.0,-0.8,5.7
Energy services(2),3.419,197.767,201.066,201.516,1.9,0.2,0.5,0.4,-0.8
Electricity(2),2.628,205.230,208.406,210.171,2.4,0.8,0.5,0.2,-0.2
Utility (piped) gas service(2),0.791,172.319,175.909,172.658,0.2,-1.8,0.7,1.0,-2.6
All items less food and energy,79.103,250.083,253.558,254.638,1.8,0.4,0.1,0.2,0.3
Commodities less food and energy commodities,19.849,144.365,142.647,143.417,-0.7,0.5,-0.1,0.2,0.4
Apparel,3.018,123.088,120.614,122.266,-0.7,1.4,-0.9,-0.3,1.7
New vehicles,3.805,148.848,146.522,146.996,-1.2,0.3,0.2,0.5,-0.1
Used cars and trucks,2.402,137.397,136.118,136.555,-0.6,0.3,0.5,0.7,0.4
Medical care commodities,1.748,374.150,380.087,380.846,1.8,0.2,0.5,0.9,-0.1
Alcoholic beverages,0.974,244.516,246.791,247.359,1.2,0.2,0.2,0.0,0.0
Tobacco and smoking products,0.651,984.721,"1,046.785","1,050.073",6.6,0.3,0.2,-0.4,0.3
Services less energy services,59.254,315.282,322.250,323.500,2.6,0.4,0.2,0.3,0.3
Shelter,32.843,293.560,301.985,302.928,3.2,0.3,0.2,0.3,0.2
Rent of primary residence(2),7.823,303.467,313.904,314.788,3.7,0.3,0.3,0.3,0.3
Owners' equivalent rent of residences(2)(3),23.747,301.181,310.041,310.828,3.2,0.3,0.2,0.3,0.3
Medical care services,6.924,502.948,509.045,513.135,2.0,0.8,-0.1,0.2,0.6
Physicians' services(2),1.755,384.882,377.734,379.077,-1.5,0.4,-0.6,0.2,0.3
Hospital services(2)(4),2.300,309.929,323.114,328.635,6.0,1.7,0.2,0.3,1.3
Transportation services,5.926,303.718,313.645,315.764,4.0,0.7,0.1,0.3,0.8
Motor vehicle maintenance and repair(1),1.123,279.523,283.107,283.305,1.4,0.1,-0.3,0.2,0.1
Motor vehicle insurance,2.352,510.919,547.586,554.166,8.5,1.2,0.6,0.6,1.3
Airline fares,0.691,269.241,254.947,255.496,-5.1,0.2,-1.3,-0.4,-0.6
