Expenditure category,RelativeimportanceJan.2018,Feb.2017,Jan.2018,Feb.2018,Feb.2017-Feb.2018,Jan.2018-Feb.2018,Nov.2017-Dec.2017,Dec.2017-Jan.2018,Jan.2018-Feb.2018
All items,100.000,243.603,247.867,248.991,2.2,0.5,0.2,0.5,0.2
Food,13.371,248.791,252.361,252.266,1.4,0.0,0.2,0.2,0.0
Food at home,7.380,237.918,239.828,239.190,0.5,-0.3,0.2,0.1,-0.2
Cereals and bakery products,0.967,271.708,272.273,271.245,-0.2,-0.4,0.1,0.3,-0.1
"Meats, poultry, fish, and eggs",1.619,243.057,247.284,247.095,1.7,-0.1,0.8,-0.2,-0.2
Dairy and related products,0.743,220.552,217.897,216.412,-1.9,-0.7,-0.1,0.0,-0.3
Fruits and vegetables,1.318,292.222,301.814,298.503,2.1,-1.1,0.0,0.5,-0.5
Nonalcoholic beverages and beverage materials,0.877,169.451,167.671,167.736,-1.0,0.0,-0.1,0.0,-0.1
Other food at home,1.856,208.914,209.611,210.115,0.6,0.2,-0.1,0.0,-0.1
Food away from home(1),5.991,266.626,272.772,273.435,2.6,0.2,0.2,0.4,0.2
Energy,7.619,198.195,210.663,213.519,7.7,1.4,-0.2,3.0,0.1
Energy commodities,4.211,206.984,230.005,233.414,12.8,1.5,-0.7,5.8,-0.9
Fuel oil,0.120,242.467,298.173,292.718,20.7,-1.8,0.9,9.5,-3.6
Motor fuel,4.013,202.912,225.030,228.666,12.7,1.6,-0.7,5.6,-0.8
Gasoline (all types),3.925,201.957,223.806,227.420,12.6,1.6,-0.8,5.7,-0.9
Energy services(2),3.408,198.820,201.516,203.932,2.6,1.2,0.4,-0.8,1.4
Electricity(2),2.636,206.416,210.171,210.970,2.2,0.4,0.2,-0.2,0.4
Utility (piped) gas service(2),0.772,172.967,172.658,179.557,3.8,4.0,1.0,-2.6,4.7
All items less food and energy,79.010,251.143,254.638,255.783,1.8,0.4,0.2,0.3,0.2
Commodities less food and energy commodities,19.848,145.140,143.417,144.412,-0.5,0.7,0.2,0.4,0.1
Apparel,3.042,126.100,122.266,126.587,0.4,3.5,-0.3,1.7,1.5
New vehicles,3.797,148.993,146.996,146.807,-1.5,-0.1,0.5,-0.1,-0.5
Used cars and trucks,2.397,137.899,136.555,137.768,-0.1,0.9,0.7,0.4,-0.3
Medical care commodities,1.742,376.078,380.846,381.975,1.6,0.3,0.9,-0.1,-0.3
Alcoholic beverages,0.971,244.622,247.359,248.166,1.4,0.3,0.0,0.0,0.2
Tobacco and smoking products,0.650,984.756,"1,050.073","1,049.343",6.6,-0.1,-0.4,0.3,0.1
Services less energy services,59.162,316.506,323.500,324.690,2.6,0.4,0.3,0.3,0.2
Shelter,32.767,294.444,302.928,303.653,3.1,0.2,0.3,0.2,0.2
Rent of primary residence(2),7.803,304.211,314.788,315.277,3.6,0.2,0.3,0.3,0.2
Owners' equivalent rent of residences(2)(3),23.679,301.785,310.828,311.280,3.1,0.1,0.3,0.3,0.2
Medical care services,6.942,506.105,513.135,515.205,1.8,0.4,0.2,0.6,0.0
Physicians' services(2),1.752,385.353,379.077,380.470,-1.3,0.4,0.2,0.3,0.2
Hospital services(2)(4),2.327,313.974,328.635,329.701,5.0,0.3,0.3,1.3,-0.5
Transportation services,5.933,306.221,315.764,320.089,4.5,1.4,0.3,0.8,1.0
Motor vehicle maintenance and repair(1),1.118,279.782,283.305,284.032,1.5,0.3,0.2,0.1,0.3
Motor vehicle insurance,2.368,513.469,554.166,563.365,9.7,1.7,0.6,1.3,1.7
Airline fares,0.688,280.517,255.496,265.272,-5.4,3.8,-0.4,-0.6,0.6
