Expenditure category,RelativeimportanceMar.2018,Apr.2017,Mar.2018,Apr.2018,Apr.2017-Apr.2018,Mar.2018-Apr.2018,Jan.2018-Feb.2018,Feb.2018-Mar.2018,Mar.2018-Apr.2018
All items,100.000,244.524,249.554,250.546,2.5,0.4,0.2,-0.1,0.2
Food,13.281,249.739,252.370,253.209,1.4,0.3,0.0,0.1,0.3
Food at home,7.310,238.817,239.158,240.129,0.5,0.4,-0.2,0.1,0.3
Cereals and bakery products,0.961,271.865,272.345,271.766,0.0,-0.2,-0.1,0.4,-0.2
"Meats, poultry, fish, and eggs",1.622,243.330,249.516,251.922,3.5,1.0,-0.2,0.8,0.7
Dairy and related products,0.733,217.827,216.497,216.906,-0.4,0.2,-0.3,0.3,0.4
Fruits and vegetables,1.275,298.164,293.870,296.863,-0.4,1.0,-0.5,-0.7,1.0
Nonalcoholic beverages and beverage materials,0.871,168.354,167.758,167.041,-0.8,-0.4,-0.1,0.4,-0.6
Other food at home,1.847,210.668,210.012,210.632,0.0,0.3,-0.1,-0.2,0.0
Food away from home(1),5.971,267.652,273.733,274.393,2.5,0.2,0.2,0.1,0.2
Energy,7.635,202.869,212.554,218.830,7.9,3.0,0.1,-2.8,1.4
Energy commodities,4.232,216.791,232.716,246.387,13.7,5.9,-0.9,-4.7,3.0
Fuel oil,0.115,239.822,288.737,293.991,22.6,1.8,-3.6,-0.7,2.7
Motor fuel,4.039,213.288,228.068,242.056,13.5,6.1,-0.8,-4.9,3.0
Gasoline (all types),3.952,212.424,226.872,240.962,13.4,6.2,-0.9,-4.9,3.0
Energy services(2),3.404,198.915,202.625,201.245,1.2,-0.7,1.4,-0.2,-0.5
Electricity(2),2.620,206.671,210.273,209.215,1.2,-0.5,0.4,0.0,-0.6
Utility (piped) gas service(2),0.784,172.597,176.567,174.318,1.0,-1.3,4.7,-1.2,-0.4
All items less food and energy,79.083,251.642,256.610,257.025,2.1,0.2,0.2,0.2,0.1
Commodities less food and energy commodities,19.938,145.665,145.050,145.131,-0.4,0.1,0.1,-0.1,-0.1
Apparel,3.178,128.349,128.604,129.365,0.8,0.6,1.5,-0.6,0.3
New vehicles,3.764,148.457,146.727,146.069,-1.6,-0.4,-0.5,0.0,-0.5
Used cars and trucks,2.439,140.654,139.892,139.368,-0.9,-0.4,-0.3,-0.3,-1.6
Medical care commodities,1.735,373.231,381.804,380.479,1.9,-0.3,-0.3,0.1,-0.2
Alcoholic beverages,0.968,245.500,248.287,248.818,1.4,0.2,0.2,0.1,0.3
Tobacco and smoking products,0.643,"1,025.961","1,046.450","1,056.874",3.0,1.0,0.1,-0.2,1.3
Services less energy services,59.145,316.971,325.610,326.252,2.9,0.2,0.2,0.3,0.2
Shelter,32.752,295.706,304.847,305.716,3.4,0.3,0.2,0.4,0.3
Rent of primary residence(2),7.777,305.477,315.883,316.763,3.7,0.3,0.2,0.3,0.4
Owners' equivalent rent of residences(2)(3),23.615,302.767,312.107,312.935,3.4,0.3,0.2,0.3,0.3
Medical care services,6.943,505.855,516.713,517.228,2.2,0.1,0.0,0.5,0.2
Physicians' services(2),1.747,379.886,380.766,381.076,0.3,0.1,0.2,0.2,0.0
Hospital services(2)(4),2.326,317.053,330.759,331.289,4.5,0.2,-0.5,0.6,0.2
Transportation services,5.987,308.908,320.774,321.437,4.1,0.2,1.0,0.2,-0.4
Motor vehicle maintenance and repair(1),1.112,280.170,283.656,284.367,1.5,0.3,0.3,-0.1,0.3
Motor vehicle insurance,2.393,516.203,563.762,562.749,9.0,-0.2,1.7,0.3,-0.2
Airline fares,0.716,294.034,267.482,273.817,-6.9,2.4,0.6,0.6,-2.7
