Expenditure category,RelativeimportanceNov.2018,Dec.2017,Nov.2018,Dec.2018,Dec.2017-Dec.2018,Nov.2018-Dec.2018,Sep.2018-Oct.2018,Oct.2018-Nov.2018,Nov.2018-Dec.2018
All items,100.000,246.524,252.038,251.233,1.9,-0.3,0.3,0.0,-0.1
Food,13.255,251.238,254.379,255.210,1.6,0.3,-0.1,0.2,0.4
Food at home,7.244,238.579,239.352,239.989,0.6,0.3,-0.2,0.2,0.3
Cereals and bakery products,0.955,269.847,273.240,274.321,1.7,0.4,-0.6,0.6,0.4
"Meats, poultry, fish, and eggs",1.596,248.420,247.954,247.327,-0.4,-0.3,0.0,0.3,0.0
Dairy and related products,0.724,216.916,215.896,216.652,-0.1,0.4,-0.4,-0.2,0.3
Fruits and vegetables,1.273,296.476,296.362,301.134,1.6,1.6,-0.7,0.0,1.7
Nonalcoholic beverages and beverage materials,0.863,166.006,167.891,168.339,1.4,0.3,0.2,-0.4,0.3
Other food at home,1.832,209.401,210.407,209.739,0.2,-0.3,0.0,0.3,-0.3
Food away from home(1),6.011,271.811,278.306,279.419,2.8,0.4,0.1,0.3,0.4
Energy,7.679,206.598,215.910,205.905,-0.3,-4.6,2.4,-2.2,-3.5
Energy commodities,4.351,222.389,241.633,218.497,-1.8,-9.6,2.9,-4.1,-7.4
Fuel oil,0.121,270.955,305.370,276.103,1.9,-9.6,3.7,-2.9,-11.4
Motor fuel,4.155,217.972,236.934,213.838,-1.9,-9.7,3.0,-4.1,-7.4
Gasoline (all types),4.060,216.781,235.381,212.152,-2.1,-9.9,3.0,-4.2,-7.5
Energy services,3.329,201.066,200.148,203.800,1.4,1.8,1.7,0.4,1.8
Electricity,2.582,208.406,209.339,210.637,1.1,0.6,2.3,0.3,0.7
Utility (piped) gas service,0.747,175.909,169.821,179.999,2.3,6.0,-0.6,0.7,5.6
All items less food and energy,79.065,253.558,259.105,259.083,2.2,0.0,0.2,0.2,0.2
Commodities less food and energy commodities,19.536,142.647,143.542,142.840,0.1,-0.5,0.3,0.2,0.1
Apparel,3.057,120.614,124.935,120.526,-0.1,-3.5,0.1,-0.9,0.0
New vehicles,3.704,146.522,145.826,146.126,-0.3,0.2,-0.2,0.0,0.0
Used cars and trucks,2.382,136.118,138.010,138.069,1.4,0.0,2.6,2.4,-0.2
Medical care commodities,1.713,380.087,380.658,378.190,-0.5,-0.6,-0.1,0.4,-0.2
Alcoholic beverages,0.970,246.791,251.326,251.131,1.8,-0.1,0.1,0.3,0.0
Tobacco and smoking products,0.659,"1,046.785","1,083.514","1,082.248",3.4,-0.1,1.3,0.4,-0.4
Services less energy services,59.529,322.250,330.983,331.478,2.9,0.1,0.2,0.2,0.3
Shelter,33.078,301.985,310.950,311.652,3.2,0.2,0.2,0.3,0.3
Rent of primary residence,7.897,313.904,323.968,324.815,3.5,0.3,0.2,0.4,0.2
Owners' equivalent rent of residences(2),23.924,310.041,319.338,320.038,3.2,0.2,0.3,0.3,0.2
Medical care services,6.932,509.045,520.973,522.506,2.6,0.3,0.2,0.4,0.4
Physicians' services,1.726,377.734,379.872,379.885,0.6,0.0,0.0,-0.3,0.0
Hospital services(3),2.327,323.114,334.242,334.964,3.7,0.2,0.0,0.5,0.5
Transportation services,5.990,313.645,324.168,322.317,2.8,-0.6,0.1,-0.3,-0.2
Motor vehicle maintenance and repair(1),1.126,283.107,290.114,289.705,2.3,-0.1,0.2,0.4,-0.1
Motor vehicle insurance,2.409,547.586,573.338,572.824,4.6,-0.1,0.5,-0.5,-0.2
Airline fares,0.699,254.947,263.809,248.290,-2.6,-5.9,0.0,-2.4,-1.5
