Expenditure category,RelativeimportanceJun.2018,Jul.2017,Jun.2018,Jul.2018,Jul.2017-Jul.2018,Jun.2018-Jul.2018,Apr.2018-May2018,May2018-Jun.2018,Jun.2018-Jul.2018
All items,100.000,244.786,251.989,252.006,2.9,0.0,0.2,0.1,0.2
Food,13.198,250.214,253.231,253.746,1.4,0.2,0.0,0.2,0.1
Food at home,7.239,238.953,239.158,239.820,0.4,0.3,-0.2,0.2,0.2
Cereals and bakery products,0.957,271.950,273.682,273.258,0.5,-0.2,0.0,0.6,-0.2
"Meats, poultry, fish, and eggs",1.601,247.761,248.609,250.042,0.9,0.6,-0.7,-0.6,0.3
Dairy and related products,0.725,216.434,216.126,215.622,-0.4,-0.2,-0.1,0.7,-0.6
Fruits and vegetables,1.270,294.935,295.523,297.632,0.9,0.7,-0.3,0.5,1.0
Nonalcoholic beverages and beverage materials,0.856,167.085,166.431,166.577,-0.3,0.1,0.4,0.3,0.0
Other food at home,1.831,210.624,210.259,210.736,0.1,0.2,-0.2,0.1,0.1
Food away from home(1),5.959,268.649,275.808,276.125,2.8,0.1,0.3,0.2,0.1
Energy,8.151,202.554,229.137,227.107,12.1,-0.9,0.9,-0.3,-0.5
Energy commodities,4.697,205.222,260.848,257.338,25.4,-1.3,1.6,0.6,-0.6
Fuel oil,0.116,220.152,293.685,296.602,34.7,1.0,-0.7,2.9,1.2
Motor fuel,4.509,202.051,257.041,253.424,25.4,-1.4,1.7,0.6,-0.6
Gasoline (all types),4.415,201.173,255.885,252.232,25.4,-1.4,1.7,0.5,-0.6
Energy services,3.454,209.084,207.631,207.091,-1.0,-0.3,-0.1,-1.5,-0.4
Electricity,2.697,219.696,218.591,217.900,-0.8,-0.3,0.1,-1.4,-0.4
Utility (piped) gas service,0.757,174.301,172.167,172.062,-1.3,-0.1,-0.6,-1.7,-0.5
All items less food and energy,78.651,251.936,257.697,257.867,2.4,0.1,0.2,0.2,0.2
Commodities less food and energy commodities,19.635,143.915,144.237,143.861,0.0,-0.3,-0.1,0.0,0.1
Apparel,3.069,122.485,125.382,122.831,0.3,-2.0,0.0,-0.9,-0.3
New vehicles,3.723,146.190,146.562,146.526,0.2,0.0,0.3,0.4,0.3
Used cars and trucks,2.401,139.519,139.090,140.687,0.8,1.1,-0.9,0.7,1.3
Medical care commodities,1.733,380.302,385.121,381.954,0.4,-0.8,1.3,0.2,-1.1
Alcoholic beverages,0.961,244.706,248.844,248.469,1.5,-0.2,-0.2,0.5,-0.1
Tobacco and smoking products,0.645,"1,030.729","1,060.067","1,062.895",3.1,0.3,0.4,-0.4,0.1
Services less energy services,59.016,318.674,328.068,328.641,3.1,0.2,0.3,0.2,0.3
Shelter,32.720,297.919,307.521,308.393,3.5,0.3,0.3,0.1,0.3
Rent of primary residence,7.761,308.173,318.318,319.351,3.6,0.3,0.3,0.3,0.3
Owners' equivalent rent of residences(2),23.564,305.037,314.472,315.391,3.4,0.3,0.2,0.3,0.3
Medical care services,6.898,506.681,518.307,518.277,2.3,0.0,-0.1,0.5,0.1
Physicians' services,1.732,377.989,380.991,380.404,0.6,-0.2,0.1,0.0,-0.2
Hospital services(3),2.322,319.387,333.408,334.033,4.6,0.2,0.5,0.8,0.4
Transportation services,5.982,310.567,323.646,322.842,4.0,-0.2,0.0,0.2,0.5
Motor vehicle maintenance and repair(1),1.109,279.605,285.753,286.067,2.3,0.1,0.2,0.3,0.1
Motor vehicle insurance,2.376,526.394,565.284,565.547,7.4,0.0,0.4,0.3,0.2
Airline fares,0.739,276.308,278.937,264.994,-4.1,-5.0,-1.9,-0.9,2.7
