Expenditure category,RelativeimportanceMay2018,Jun.2017,May2018,Jun.2018,Jun.2017-Jun.2018,May2018-Jun.2018,Mar.2018-Apr.2018,Apr.2018-May2018,May2018-Jun.2018
All items,100.000,244.955,251.588,251.989,2.9,0.2,0.2,0.2,0.1
Food,13.212,249.653,253.098,253.231,1.4,0.1,0.3,0.0,0.2
Food at home,7.255,238.300,239.287,239.158,0.4,-0.1,0.3,-0.2,0.2
Cereals and bakery products,0.952,272.429,271.910,273.682,0.5,0.7,-0.2,0.0,0.6
"Meats, poultry, fish, and eggs",1.609,245.756,249.449,248.609,1.2,-0.3,0.7,-0.7,-0.6
Dairy and related products,0.725,215.192,215.659,216.126,0.4,0.2,0.4,-0.1,0.7
Fruits and vegetables,1.279,294.788,297.211,295.523,0.2,-0.6,1.0,-0.3,0.5
Nonalcoholic beverages and beverage materials,0.857,167.242,166.401,166.431,-0.5,0.0,-0.6,0.4,0.3
Other food at home,1.833,210.119,210.159,210.259,0.1,0.0,0.0,-0.2,0.1
Food away from home(1),5.957,268.225,275.307,275.808,2.8,0.2,0.2,0.3,0.2
Energy,8.082,204.646,226.810,229.137,12.0,1.0,1.4,0.9,-0.3
Energy commodities,4.690,209.905,260.020,260.848,24.3,0.3,3.0,1.6,0.6
Fuel oil,0.116,224.542,292.165,293.685,30.8,0.5,2.7,-0.7,2.9
Motor fuel,4.500,206.760,256.175,257.041,24.3,0.3,3.0,1.7,0.6
Gasoline (all types),4.408,205.881,255.096,255.885,24.3,0.3,3.0,1.7,0.5
Energy services(2),3.392,208.852,203.553,207.631,-0.6,2.0,-0.5,-0.1,-1.5
Electricity(2),2.628,218.865,212.646,218.591,-0.1,2.8,-0.6,0.1,-1.4
Utility (piped) gas service(2),0.764,175.807,173.420,172.167,-2.1,-0.7,-0.4,-0.6,-1.7
All items less food and energy,78.706,252.014,257.469,257.697,2.3,0.1,0.1,0.2,0.2
Commodities less food and energy commodities,19.735,144.577,144.745,144.237,-0.2,-0.4,-0.1,-0.1,0.0
Apparel,3.147,124.630,128.362,125.382,0.6,-2.3,0.3,0.0,-0.9
New vehicles,3.724,147.262,146.349,146.562,-0.5,0.1,-0.5,0.3,0.4
Used cars and trucks,2.395,140.015,138.506,139.090,-0.7,0.4,-1.6,-0.9,0.7
Medical care commodities,1.730,376.182,383.734,385.121,2.4,0.4,-0.2,1.3,0.2
Alcoholic beverages,0.960,244.597,248.126,248.844,1.7,0.3,0.3,-0.2,0.5
Tobacco and smoking products,0.646,"1,028.777","1,059.665","1,060.067",3.0,0.0,1.3,0.4,-0.4
Services less energy services,58.971,318.345,327.298,328.068,3.1,0.2,0.2,0.3,0.2
Shelter,32.707,297.446,306.913,307.521,3.4,0.2,0.3,0.3,0.1
Rent of primary residence(2),7.753,307.314,317.490,318.318,3.6,0.3,0.4,0.3,0.3
Owners' equivalent rent of residences(2)(3),23.541,304.218,313.656,314.472,3.4,0.3,0.3,0.2,0.3
Medical care services,6.894,505.813,517.220,518.307,2.5,0.2,0.2,-0.1,0.5
Physicians' services(2),1.736,377.747,381.309,380.991,0.9,-0.1,0.0,0.1,0.0
Hospital services(2)(4),2.314,318.313,331.651,333.408,4.7,0.5,0.2,0.5,0.8
Transportation services,5.979,312.012,322.966,323.646,3.7,0.2,-0.4,0.0,0.2
Motor vehicle maintenance and repair(1),1.107,279.294,284.851,285.753,2.3,0.3,0.3,0.2,0.3
Motor vehicle insurance,2.376,525.397,564.445,565.284,7.6,0.1,-0.2,0.4,0.3
Airline fares,0.745,296.384,280.804,278.937,-5.9,-0.7,-2.7,-1.9,-0.9
