Expenditure category,RelativeimportanceOct.2018,Nov.2017,Oct.2018,Nov.2018,Nov.2017-Nov.2018,Oct.2018-Nov.2018,Aug.2018-Sep.2018,Sep.2018-Oct.2018,Oct.2018-Nov.2018
All items,100.000,246.669,252.885,252.038,2.2,-0.3,0.1,0.3,0.0
Food,13.210,250.871,254.358,254.379,1.4,0.0,0.0,-0.1,0.2
Food at home,7.235,238.403,239.882,239.352,0.4,-0.2,-0.1,-0.2,0.2
Cereals and bakery products,0.948,269.646,272.260,273.240,1.3,0.4,0.6,-0.6,0.6
"Meats, poultry, fish, and eggs",1.591,247.027,247.966,247.954,0.4,0.0,-1.0,0.0,0.3
Dairy and related products,0.725,216.878,216.800,215.896,-0.5,-0.4,-0.3,-0.4,-0.2
Fruits and vegetables,1.278,296.791,298.531,296.362,-0.1,-0.7,-0.5,-0.7,0.0
Nonalcoholic beverages and beverage materials,0.869,166.271,169.570,167.891,1.0,-1.0,0.6,0.2,-0.4
Other food at home,1.824,209.624,210.224,210.407,0.4,0.1,0.2,0.0,0.3
Food away from home(1),5.974,271.152,277.513,278.306,2.6,0.3,0.2,0.1,0.3
Energy,8.003,209.383,225.757,215.910,3.1,-4.4,-0.5,2.4,-2.2
Energy commodities,4.658,229.195,259.561,241.633,5.4,-6.9,-0.2,2.9,-4.1
Fuel oil,0.125,263.132,316.185,305.370,16.1,-3.4,0.3,3.7,-2.9
Motor fuel,4.459,225.322,255.126,236.934,5.2,-7.1,-0.2,3.0,-4.1
Gasoline (all types),4.363,224.227,253.793,235.381,5.0,-7.3,-0.2,3.0,-4.2
Energy services,3.345,200.225,201.798,200.148,0.0,-0.8,-0.8,1.7,0.4
Electricity,2.606,208.111,211.937,209.339,0.6,-1.2,-0.5,2.3,0.3
Utility (piped) gas service,0.739,173.504,168.770,169.821,-2.1,0.6,-1.7,-0.6,0.7
All items less food and energy,78.788,253.492,259.063,259.105,2.2,0.0,0.1,0.2,0.2
Commodities less food and energy commodities,19.551,143.295,144.134,143.542,0.2,-0.4,-0.3,0.3,0.2
Apparel,3.149,125.398,129.108,124.935,-0.4,-3.2,0.9,0.1,-0.9
New vehicles,3.686,145.442,145.588,145.826,0.3,0.2,-0.1,-0.2,0.0
Used cars and trucks,2.347,134.901,136.450,138.010,2.3,1.1,-3.0,2.6,2.4
Medical care commodities,1.703,378.328,379.662,380.658,0.6,0.3,-0.1,-0.1,0.4
Alcoholic beverages,0.965,246.991,250.757,251.326,1.8,0.2,0.5,0.1,0.3
Tobacco and smoking products,0.656,"1,048.219","1,081.193","1,083.514",3.4,0.2,0.3,1.3,0.4
Services less energy services,59.236,321.690,330.465,330.983,2.9,0.2,0.2,0.2,0.2
Shelter,32.907,301.185,310.382,310.950,3.2,0.2,0.2,0.2,0.3
Rent of primary residence,7.838,312.670,322.628,323.968,3.6,0.4,0.2,0.2,0.4
Owners' equivalent rent of residences(2),23.760,309.101,318.215,319.338,3.3,0.4,0.2,0.3,0.3
Medical care services,6.884,508.879,519.152,520.973,2.4,0.4,0.2,0.2,0.4
Physicians' services,1.723,377.037,380.489,379.872,0.8,-0.2,0.3,0.0,-0.3
Hospital services(3),2.310,322.871,332.853,334.242,3.5,0.4,-0.3,0.0,0.5
Transportation services,5.970,313.772,324.131,324.168,3.3,0.0,0.5,0.1,-0.3
Motor vehicle maintenance and repair(1),1.118,282.502,289.057,290.114,2.7,0.4,0.5,0.2,0.4
Motor vehicle insurance,2.400,543.613,573.050,573.338,5.5,0.1,0.8,0.5,-0.5
Airline fares,0.702,267.970,265.930,263.809,-1.6,-0.8,1.0,0.0,-2.4
