Expenditure category,RelativeimportanceApr.2018,May2017,Apr.2018,May2018,May2017-May2018,Apr.2018-May2018,Feb.2018-Mar.2018,Mar.2018-Apr.2018,Apr.2018-May2018
All items,100.000,244.733,250.546,251.588,2.8,0.4,-0.1,0.2,0.2
Food,13.273,250.016,253.209,253.098,1.2,0.0,0.1,0.3,0.0
Food at home,7.311,238.964,240.129,239.287,0.1,-0.4,0.1,0.3,-0.2
Cereals and bakery products,0.955,272.445,271.766,271.910,-0.2,0.1,0.4,-0.2,0.0
"Meats, poultry, fish, and eggs",1.631,243.815,251.922,249.449,2.3,-1.0,0.8,0.7,-0.7
Dairy and related products,0.732,217.015,216.906,215.659,-0.6,-0.6,0.3,0.4,-0.1
Fruits and vegetables,1.283,298.470,296.863,297.211,-0.4,0.1,-0.7,1.0,-0.3
Nonalcoholic beverages and beverage materials,0.864,168.555,167.041,166.401,-1.3,-0.4,0.4,-0.6,0.4
Other food at home,1.845,210.630,210.632,210.159,-0.2,-0.2,-0.2,0.0,-0.2
Food away from home(1),5.962,268.128,274.393,275.307,2.7,0.3,0.1,0.2,0.3
Energy,7.830,203.132,218.830,226.810,11.7,3.6,-2.8,1.4,0.9
Energy commodities,4.463,213.613,246.387,260.020,21.7,5.5,-4.7,3.0,1.6
Fuel oil,0.117,233.216,293.991,292.165,25.3,-0.6,-0.7,2.7,-0.7
Motor fuel,4.270,210.313,242.056,256.175,21.8,5.8,-4.9,3.0,1.7
Gasoline (all types),4.181,209.441,240.962,255.096,21.8,5.9,-4.9,3.0,1.7
Energy services(2),3.367,202.401,201.245,203.553,0.6,1.1,-0.2,-0.5,-0.1
Electricity(2),2.596,210.541,209.215,212.646,1.0,1.6,0.0,-0.6,0.1
Utility (piped) gas service(2),0.771,174.901,174.318,173.420,-0.8,-0.5,-1.2,-0.4,-0.6
All items less food and energy,78.898,251.835,257.025,257.469,2.2,0.2,0.2,0.1,0.2
Commodities less food and energy commodities,19.870,145.119,145.131,144.745,-0.3,-0.3,-0.1,-0.1,-0.1
Apparel,3.185,126.563,129.365,128.362,1.4,-0.8,-0.6,0.3,0.0
New vehicles,3.732,148.033,146.069,146.349,-1.1,0.2,0.0,-0.5,0.3
Used cars and trucks,2.420,140.875,139.368,138.506,-1.7,-0.6,-0.3,-1.6,-0.9
Medical care commodities,1.722,373.631,380.479,383.734,2.7,0.9,0.1,-0.2,1.3
Alcoholic beverages,0.966,244.785,248.818,248.126,1.4,-0.3,0.1,0.3,-0.2
Tobacco and smoking products,0.647,"1,026.125","1,056.874","1,059.665",3.3,0.3,-0.2,1.3,0.4
Services less energy services,59.027,317.670,326.252,327.298,3.0,0.3,0.3,0.2,0.3
Shelter,32.715,296.503,305.716,306.913,3.5,0.4,0.4,0.3,0.3
Rent of primary residence(2),7.768,306.379,316.763,317.490,3.6,0.2,0.3,0.4,0.3
Owners' equivalent rent of residences(2)(3),23.584,303.312,312.935,313.656,3.4,0.2,0.3,0.3,0.2
Medical care services,6.923,505.611,517.228,517.220,2.3,0.0,0.5,0.2,-0.1
Physicians' services(2),1.742,379.207,381.076,381.309,0.6,0.1,0.2,0.0,0.1
Hospital services(2)(4),2.321,316.653,331.289,331.651,4.7,0.1,0.6,0.2,0.5
Transportation services,5.975,311.178,321.437,322.966,3.8,0.5,0.2,-0.4,0.0
Motor vehicle maintenance and repair(1),1.110,280.388,284.367,284.851,1.6,0.2,-0.1,0.3,0.2
Motor vehicle insurance,2.379,521.149,562.749,564.445,8.3,0.3,0.3,-0.2,0.4
Airline fares,0.730,300.609,273.817,280.804,-6.6,2.6,0.6,-2.7,-1.9
