Expenditure category,RelativeimportanceMay2015,Jun.2014,May2015,Jun.2015,Jun.2014-Jun.2015,May2015-Jun.2015,Mar.2015-Apr.2015,Apr.2015-May2015,May2015-Jun.2015
All items,100.000,238.343,237.805,238.638,0.1,0.4,0.1,0.4,0.3
Food,14.090,242.326,246.187,246.680,1.8,0.2,0.0,0.0,0.3
Food at home,8.271,239.147,241.019,241.494,1.0,0.2,-0.2,-0.2,0.4
Cereals and bakery products,1.136,270.860,273.595,274.479,1.3,0.3,-0.3,-0.1,0.5
"Meats, poultry, fish, and eggs",1.959,252.865,257.106,261.189,3.3,1.6,-0.7,-0.5,1.4
Dairy and related products(1),0.853,224.522,221.039,219.696,-2.1,-0.6,-0.8,-0.7,-0.6
Fruits and vegetables,1.341,295.139,293.011,288.968,-2.1,-1.4,0.2,0.3,-0.4
Nonalcoholic beverages and beverage materials,0.942,164.700,166.795,166.824,1.3,0.0,0.5,-0.2,0.1
Other food at home,2.041,205.996,209.272,209.787,1.8,0.2,0.1,0.1,0.3
Food away from home(1),5.818,248.445,255.322,255.846,3.0,0.2,0.2,0.2,0.2
Energy,8.101,259.858,214.330,220.861,-15.0,3.0,-1.3,4.3,1.7
Energy commodities,4.381,322.920,242.315,247.867,-23.2,2.3,-1.9,9.6,3.1
Fuel oil(1),0.123,370.317,272.874,267.649,-27.7,-1.9,-8.4,0.7,-1.9
Motor fuel,4.173,319.692,239.141,245.147,-23.3,2.5,-1.7,10.2,3.3
Gasoline (all types),4.110,318.334,238.170,244.226,-23.3,2.5,-1.7,10.4,3.4
Energy services(2),3.720,211.038,197.083,204.843,-2.9,3.9,-0.5,-1.0,0.2
Electricity(2),2.951,217.529,207.683,217.468,0.0,4.7,0.0,-1.2,0.2
Utility (piped) gas service(2),0.768,188.769,162.639,164.205,-13.0,1.0,-2.6,0.0,0.3
All items less food and energy,77.810,238.157,242.119,242.354,1.8,0.1,0.3,0.1,0.2
Commodities less food and energy commodities,19.413,147.087,147.014,146.444,-0.4,-0.4,0.1,-0.1,-0.1
Apparel,3.385,127.302,127.083,124.954,-1.8,-1.7,-0.3,-0.5,-0.1
New vehicles,3.539,146.067,147.889,147.845,1.2,0.0,0.1,0.2,0.1
Used cars and trucks,1.668,151.978,150.713,150.970,-0.7,0.2,0.6,-0.4,-0.4
Medical care commodities,1.774,343.224,354.647,354.524,3.3,0.0,0.1,0.4,0.0
Alcoholic beverages,1.006,236.569,239.800,238.911,1.0,-0.4,0.0,0.2,-0.2
Tobacco and smoking products,0.712,907.216,920.372,929.542,2.5,1.0,0.0,0.4,0.8
Services less energy services,58.397,293.668,300.264,301.040,2.5,0.3,0.3,0.2,0.3
Shelter,32.768,270.314,277.563,278.461,3.0,0.3,0.3,0.2,0.3
Rent of primary residence(2),7.153,275.321,284.245,285.031,3.5,0.3,0.3,0.3,0.4
Owners' equivalent rent of residences(2)(3),24.305,277.256,284.473,285.436,3.0,0.3,0.3,0.3,0.4
Medical care services,5.974,464.960,476.800,475.546,2.3,-0.3,0.9,0.2,-0.2
Physicians' services(2),1.586,359.056,365.214,366.541,2.1,0.4,0.5,0.1,0.2
Hospital services(2)(4),1.892,278.695,292.257,288.959,3.7,-1.1,1.9,0.5,-1.1
Transportation services,5.678,289.018,292.994,293.930,1.7,0.3,0.1,0.7,0.4
Motor vehicle maintenance and repair(1),1.163,265.656,270.764,270.981,2.0,0.1,0.4,0.3,0.1
Motor vehicle insurance,2.312,435.654,456.995,457.774,5.1,0.2,0.4,0.2,0.3
Airline fare,0.771,342.697,319.401,324.953,-5.2,1.7,-1.3,5.7,2.0
