Expenditure category,RelativeimportanceFeb.2015,Mar.2014,Feb.2015,Mar.2015,Mar.2014-Mar.2015,Feb.2015-Mar.2015,Dec.2014-Jan.2015,Jan.2015-Feb.2015,Feb.2015-Mar.2015
All items,100.000,236.293,234.722,236.119,-0.1,0.6,-0.7,0.2,0.2
Food,14.303,240.398,246.680,246.045,2.3,-0.3,0.0,0.2,-0.2
Food at home,8.445,236.973,242.906,241.588,1.9,-0.5,-0.2,0.1,-0.5
Cereals and bakery products,1.148,270.660,273.052,273.812,1.2,0.3,0.7,-0.2,0.4
"Meats, poultry, fish, and eggs",2.013,245.301,260.863,260.077,6.0,-0.3,-0.1,0.3,-0.5
Dairy and related products(1),0.882,223.063,225.535,224.449,0.6,-0.5,-0.9,-1.0,-0.5
Fruits and vegetables,1.371,292.944,295.686,289.858,-1.1,-2.0,-0.9,-0.3,-1.4
Nonalcoholic beverages and beverage materials,0.966,165.703,168.901,167.706,1.2,-0.7,0.1,0.6,-0.6
Other food at home,2.064,205.366,208.954,208.463,1.5,-0.2,-0.1,0.5,-0.1
Food away from home(1),5.858,246.878,253.719,254.108,2.9,0.2,0.2,0.3,0.2
Energy,7.528,250.543,196.597,204.731,-18.3,4.1,-9.7,1.0,1.1
Energy commodities,3.691,311.216,201.485,221.577,-28.8,10.0,-18.0,2.1,3.8
Fuel oil(1),0.128,393.705,279.040,295.603,-24.9,5.9,-9.9,1.9,5.9
Motor fuel,3.470,306.059,196.272,216.691,-29.2,10.4,-18.6,2.2,3.9
Gasoline (all types),3.407,304.464,194.883,215.442,-29.2,10.5,-18.7,2.4,3.9
Energy services(2),3.837,203.597,200.685,197.727,-2.9,-1.5,-0.1,-0.2,-1.5
Electricity(2),3.004,204.131,208.696,205.894,0.9,-1.3,0.9,0.3,-1.1
Utility (piped) gas service(2),0.833,199.340,173.978,170.592,-14.4,-1.9,-3.4,-2.0,-2.7
All items less food and energy,78.169,236.913,240.083,241.067,1.8,0.4,0.2,0.2,0.2
Commodities less food and energy commodities,19.500,147.226,145.761,146.887,-0.2,0.8,-0.1,0.2,0.3
Apparel,3.359,128.888,124.457,128.245,-0.5,3.0,0.3,0.3,0.5
New vehicles,3.572,146.348,147.345,147.574,0.8,0.2,-0.1,0.2,0.2
Used cars and trucks,1.608,148.920,143.390,147.023,-1.3,2.5,-0.1,1.0,1.2
Medical care commodities,1.792,339.567,353.484,353.995,4.2,0.1,-0.3,0.7,0.1
Alcoholic beverages,1.017,236.512,239.269,239.437,1.2,0.1,-0.3,0.0,0.2
Tobacco and smoking products,0.720,895.841,918.602,919.240,2.6,0.1,-0.2,0.5,0.4
Services less energy services,58.668,291.518,297.750,298.612,2.4,0.3,0.3,0.1,0.2
Shelter,32.938,268.431,275.390,276.360,3.0,0.4,0.3,0.2,0.3
Rent of primary residence(2),7.200,273.486,282.389,283.130,3.5,0.3,0.2,0.3,0.3
Owners' equivalent rent of residences(2)(3),24.460,275.817,282.579,283.244,2.7,0.2,0.2,0.2,0.3
Medical care services,5.981,463.678,471.138,472.645,1.9,0.3,0.1,-0.2,0.4
Physicians' services(2),1.589,357.465,361.242,363.531,1.7,0.6,0.1,-0.4,0.6
Hospital services(2)(4),1.878,277.974,286.308,287.420,3.4,0.4,0.2,-0.2,0.6
Transportation services,5.653,282.663,287.914,288.349,2.0,0.2,0.4,0.3,0.0
Motor vehicle maintenance and repair(1),1.171,264.146,269.136,268.907,1.8,-0.1,0.1,0.1,-0.1
Motor vehicle insurance,2.329,430.163,454.335,455.373,5.9,0.2,0.6,0.9,0.5
Airline fare,0.705,302.464,288.626,287.362,-5.0,-0.4,-0.3,0.2,-1.7
