Expenditure category,RelativeimportanceNov.2015,Dec.2014,Nov.2015,Dec.2015,Dec.2014-Dec.2015,Nov.2015-Dec.2015,Sep.2015-Oct.2015,Oct.2015-Nov.2015,Nov.2015-Dec.2015
All items,100.000,234.812,237.336,236.525,0.7,-0.3,0.2,0.0,-0.1
Food,14.239,245.976,248.306,247.903,0.8,-0.2,0.1,-0.1,-0.2
Food at home,8.329,242.457,242.240,241.375,-0.4,-0.4,0.1,-0.3,-0.5
Cereals and bakery products,1.139,270.635,273.752,273.245,1.0,-0.2,0.8,-0.5,-0.1
"Meats, poultry, fish, and eggs",1.978,261.055,259.141,255.298,-2.2,-1.5,-0.5,-0.6,-1.4
Dairy and related products(1),0.853,229.870,220.613,220.848,-3.9,0.1,-0.2,-0.6,0.1
Fruits and vegetables,1.367,297.429,298.037,299.078,0.6,0.3,0.5,0.6,-0.5
Nonalcoholic beverages and beverage materials,0.948,166.978,167.498,167.482,0.3,0.0,0.2,-0.5,-0.1
Other food at home,2.045,206.831,209.315,208.915,1.0,-0.2,0.1,-0.3,-0.3
Food away from home(1),5.909,252.628,258.805,259.097,2.6,0.1,0.2,0.2,0.1
Energy,7.168,209.785,189.267,183.378,-12.6,-3.1,0.3,-1.3,-2.4
Energy commodities,3.538,230.195,195.291,184.048,-20.0,-5.8,0.4,-2.4,-4.0
Fuel oil(1),0.102,303.844,226.289,208.561,-31.4,-7.8,-1.1,-1.3,-7.8
Motor fuel,3.352,225.165,191.680,180.452,-19.9,-5.9,0.4,-2.5,-4.0
Gasoline (all types),3.297,223.404,190.701,179.496,-19.7,-5.9,0.4,-2.4,-3.9
Energy services(2),3.630,199.592,191.941,190.918,-4.3,-0.5,0.2,-0.1,-0.8
Electricity(2),2.883,204.275,202.479,201.787,-1.2,-0.3,0.4,0.3,-0.4
Utility (piped) gas service(2),0.747,182.908,157.750,155.746,-14.9,-1.3,-0.7,-1.9,-2.3
All items less food and energy,78.594,238.775,244.075,243.779,2.1,-0.1,0.2,0.2,0.1
Commodities less food and energy commodities,19.268,145.127,145.624,144.522,-0.4,-0.8,-0.1,-0.2,-0.1
Apparel,3.390,123.942,127.039,122.792,-0.9,-3.3,-0.8,-0.3,-0.2
New vehicles,3.520,146.524,146.804,146.817,0.2,0.0,-0.2,0.1,-0.1
Used cars and trucks,1.588,141.957,143.247,142.474,0.4,-0.5,-0.3,-0.1,0.1
Medical care commodities,1.786,349.750,356.286,355.030,1.5,-0.4,0.2,0.3,-0.1
Alcoholic beverages,1.011,238.856,240.512,240.128,0.5,-0.2,0.6,-0.1,-0.1
Tobacco and smoking products,0.731,916.707,943.157,949.439,3.6,0.7,0.4,0.5,0.3
Services less energy services,59.326,296.021,304.441,304.699,2.9,0.1,0.3,0.3,0.2
Shelter,33.349,273.598,281.932,282.394,3.2,0.2,0.3,0.2,0.2
Rent of primary residence(2),7.321,280.874,290.322,291.204,3.7,0.3,0.3,0.2,0.2
Owners' equivalent rent of residences(2)(3),24.781,281.288,289.480,290.133,3.1,0.2,0.2,0.2,0.2
Medical care services,6.050,468.393,481.894,481.983,2.9,0.0,0.8,0.4,0.1
Physicians' services(2),1.612,361.659,370.599,370.324,2.4,-0.1,0.0,1.1,0.0
Hospital services(2)(4),1.912,282.547,294.765,294.377,4.2,-0.1,2.0,-0.2,0.0
Transportation services,5.725,286.585,294.800,294.081,2.6,-0.2,0.2,0.6,0.3
Motor vehicle maintenance and repair(1),1.171,268.588,272.090,272.967,1.6,0.3,0.3,0.1,0.3
Motor vehicle insurance,2.392,448.933,471.933,474.392,5.7,0.5,-0.2,1.1,0.5
Airline fare,0.711,287.175,294.143,278.658,-3.0,-5.3,1.5,1.2,-1.1
